,dropoutFn,nlayers,learningrate,nstart,layerForm,dR,activationFn,testAccuracy,valAccuracy
31,<function dropout at 0x7fa1df404a60>,3,1.0,256,cone,0.5,3,0.1473136842250824,0.14695339947938918
32,<function dropout at 0x7fa1df404a60>,3,1.0,512,cone,0.0,3,0.1473136991262436,0.14695339649915695
33,<function dropout at 0x7fa1df404a60>,3,1.0,512,cone,0.5,3,0.1473136842250824,0.14695339947938918
34,<function dropout at 0x7fa1df404a60>,3,1.0,1024,cone,0.0,3,0.1473136842250824,0.1469534024596214
35,<function dropout at 0x7fa1df404a60>,3,1.0,1024,cone,0.5,3,0.1473136991262436,0.14695339351892472
36,<function dropout at 0x7fa1df404a60>,3,0.1,256,cone,0.0,3,0.949739933013916,0.949462389945984
37,<function dropout at 0x7fa1df404a60>,3,0.1,256,cone,0.5,3,0.9341421127319336,0.9111110985279085
38,<function dropout at 0x7fa1df404a60>,3,0.1,512,cone,0.0,3,0.9618716835975647,0.9483871102333069
39,<function dropout at 0x7fa1df404a60>,3,0.1,512,cone,0.5,3,0.9410744905471802,0.9118280053138732
40,<function dropout at 0x7fa1df404a60>,3,0.1,1024,cone,0.0,3,0.968804121017456,0.9569892704486848
41,<function dropout at 0x7fa1df404a60>,3,0.1,1024,cone,0.5,3,0.9636048674583435,0.9419354617595672
42,<function dropout at 0x7fa1df404a60>,3,0.01,256,cone,0.0,3,0.9532062411308289,0.9243727862834931
43,<function dropout at 0x7fa1df404a60>,3,0.01,256,cone,0.5,3,0.909878671169281,0.8777777791023254
44,<function dropout at 0x7fa1df404a60>,3,0.01,512,cone,0.0,3,0.9618717432022095,0.945878130197525
45,<function dropout at 0x7fa1df404a60>,3,0.01,512,cone,0.5,3,0.908145546913147,0.8774193465709687
46,<function dropout at 0x7fa1df404a60>,3,0.01,1024,cone,0.0,3,0.9653379917144775,0.9519713342189788
47,<function dropout at 0x7fa1df404a60>,3,0.01,1024,cone,0.5,3,0.9306758642196655,0.9089605927467347
48,<function dropout at 0x7fa1df404a60>,4,10.0,256,cone,0.0,3,0.1473136842250824,0.1469534009695053
49,<function dropout at 0x7fa1df404a60>,4,10.0,256,cone,0.5,3,0.1473136842250824,0.1469534024596214
