,dropoutFn,dR,nlayers,learningrate,layerForm,testAccuracy,activationFn,valAccuracy,nstart
0,<function dropout at 0x7fd689680a60>,0.0,2,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
1,<function dropout at 0x7fd689680a60>,0.0,2,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
2,<function dropout at 0x7fd689680a60>,0.0,2,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
3,<function dropout at 0x7fd689680a60>,0.0,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
4,<function dropout at 0x7fd689680a60>,0.0,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
5,<function dropout at 0x7fd689680a60>,0.0,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
6,<function dropout at 0x7fd689680a60>,0.0,2,0.1,rect,0.5526315569877625,3,0.5366667032241822,256
7,<function dropout at 0x7fd689680a60>,0.0,2,0.1,rect,0.5789473056793213,3,0.5200000405311584,512
8,<function dropout at 0x7fd689680a60>,0.0,2,0.1,rect,0.46052634716033936,3,0.5100000262260438,1024
9,<function dropout at 0x7fd689680a60>,0.0,2,0.01,rect,0.6315789222717285,3,0.5666667222976685,256
10,<function dropout at 0x7fd689680a60>,0.0,2,0.01,rect,0.6052631735801697,3,0.536666750907898,512
11,<function dropout at 0x7fd689680a60>,0.0,2,0.01,rect,0.5921052098274231,3,0.5633333861827851,1024
12,<function dropout at 0x7fd689680a60>,0.0,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
13,<function dropout at 0x7fd689680a60>,0.0,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
14,<function dropout at 0x7fd689680a60>,0.0,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
15,<function dropout at 0x7fd689680a60>,0.0,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
16,<function dropout at 0x7fd689680a60>,0.0,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
17,<function dropout at 0x7fd689680a60>,0.0,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
18,<function dropout at 0x7fd689680a60>,0.0,3,0.1,rect,0.6184210777282715,3,0.5333333611488342,256
19,<function dropout at 0x7fd689680a60>,0.0,3,0.1,rect,0.5,3,0.543333375453949,512
20,<function dropout at 0x7fd689680a60>,0.0,3,0.1,rect,0.5263158082962036,3,0.5133333653211594,1024
21,<function dropout at 0x7fd689680a60>,0.0,3,0.01,rect,0.6184210777282715,3,0.6000000834465026,256
22,<function dropout at 0x7fd689680a60>,0.0,3,0.01,rect,0.5789473652839661,3,0.5200000524520874,512
23,<function dropout at 0x7fd689680a60>,0.0,3,0.01,rect,0.5921052098274231,3,0.5500000476837159,1024
24,<function dropout at 0x7fd689680a60>,0.0,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
25,<function dropout at 0x7fd689680a60>,0.0,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
26,<function dropout at 0x7fd689680a60>,0.0,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
27,<function dropout at 0x7fd689680a60>,0.0,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
28,<function dropout at 0x7fd689680a60>,0.0,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
29,<function dropout at 0x7fd689680a60>,0.0,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
30,<function dropout at 0x7fd689680a60>,0.0,4,0.1,rect,0.5657894611358643,3,0.546666705608368,256
31,<function dropout at 0x7fd689680a60>,0.0,4,0.1,rect,0.5263157486915588,3,0.5433333814144135,512
32,<function dropout at 0x7fd689680a60>,0.0,4,0.1,rect,0.5657894611358643,3,0.5233333796262742,1024
33,<function dropout at 0x7fd689680a60>,0.0,4,0.01,rect,0.5789473652839661,3,0.5166666865348817,256
34,<function dropout at 0x7fd689680a60>,0.0,4,0.01,rect,0.6052631139755249,3,0.5300000250339508,512
35,<function dropout at 0x7fd689680a60>,0.0,4,0.01,rect,0.5921052694320679,3,0.5566667199134828,1024
36,<function dropout at 0x7fd689680a60>,0.0,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
37,<function dropout at 0x7fd689680a60>,0.0,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
38,<function dropout at 0x7fd689680a60>,0.0,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
39,<function dropout at 0x7fd689680a60>,0.0,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
40,<function dropout at 0x7fd689680a60>,0.0,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
41,<function dropout at 0x7fd689680a60>,0.0,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
42,<function dropout at 0x7fd689680a60>,0.0,8,0.1,rect,0.5657894611358643,3,0.5100000500679016,256
43,<function dropout at 0x7fd689680a60>,0.0,8,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
44,<function dropout at 0x7fd689680a60>,0.0,8,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
45,<function dropout at 0x7fd689680a60>,0.0,8,0.01,rect,0.5921052694320679,3,0.5300000250339508,256
46,<function dropout at 0x7fd689680a60>,0.0,8,0.01,rect,0.5921052098274231,3,0.5333333909511567,512
47,<function dropout at 0x7fd689680a60>,0.0,8,0.01,rect,0.6052631735801697,3,0.5066667020320893,1024
48,<function dropout at 0x7fd689680a60>,0.0,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
49,<function dropout at 0x7fd689680a60>,0.0,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
50,<function dropout at 0x7fd689680a60>,0.0,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
51,<function dropout at 0x7fd689680a60>,0.0,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
52,<function dropout at 0x7fd689680a60>,0.0,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
53,<function dropout at 0x7fd689680a60>,0.0,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
54,<function dropout at 0x7fd689680a60>,0.0,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,256
55,<function dropout at 0x7fd689680a60>,0.0,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
56,<function dropout at 0x7fd689680a60>,0.0,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
57,<function dropout at 0x7fd689680a60>,0.0,16,0.01,rect,0.5,3,0.5033333480358123,256
58,<function dropout at 0x7fd689680a60>,0.0,16,0.01,rect,0.5789473652839661,3,0.550000035762787,512
59,<function dropout at 0x7fd689680a60>,0.0,16,0.01,rect,0.5789473652839661,3,0.5533333837985993,1024
60,<function dropout at 0x7fd689680a60>,0.0,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
61,<function dropout at 0x7fd689680a60>,0.0,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
62,<function dropout at 0x7fd689680a60>,0.0,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
63,<function dropout at 0x7fd689680a60>,0.0,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
64,<function dropout at 0x7fd689680a60>,0.0,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
65,<function dropout at 0x7fd689680a60>,0.0,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
66,<function dropout at 0x7fd689680a60>,0.0,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,256
67,<function dropout at 0x7fd689680a60>,0.0,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
68,<function dropout at 0x7fd689680a60>,0.0,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
69,<function dropout at 0x7fd689680a60>,0.0,32,0.01,rect,0.5789473652839661,3,0.633333384990692,256
70,<function dropout at 0x7fd689680a60>,0.0,32,0.01,rect,0.5921052694320679,3,0.5666667222976685,512
71,<function dropout at 0x7fd689680a60>,0.0,32,0.01,rect,0.5657894611358643,3,0.5733333945274354,1024
72,<function dropout at 0x7fd689680a60>,0.5,2,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
73,<function dropout at 0x7fd689680a60>,0.5,2,10.0,rect,0.5657894611358643,3,0.4700000345706939,512
74,<function dropout at 0x7fd689680a60>,0.5,2,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
75,<function dropout at 0x7fd689680a60>,0.5,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
76,<function dropout at 0x7fd689680a60>,0.5,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
77,<function dropout at 0x7fd689680a60>,0.5,2,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
78,<function dropout at 0x7fd689680a60>,0.5,2,0.1,rect,0.5263158082962036,3,0.5533333778381349,256
79,<function dropout at 0x7fd689680a60>,0.5,2,0.1,rect,0.6184210181236267,3,0.5400000303983689,512
80,<function dropout at 0x7fd689680a60>,0.5,2,0.1,rect,0.6315789222717285,3,0.5266667068004609,1024
81,<function dropout at 0x7fd689680a60>,0.5,2,0.01,rect,0.5921052098274231,3,0.49999999999999994,256
82,<function dropout at 0x7fd689680a60>,0.5,2,0.01,rect,0.5789473652839661,3,0.5733333885669708,512
83,<function dropout at 0x7fd689680a60>,0.5,2,0.01,rect,0.5921052694320679,3,0.5766667068004608,1024
84,<function dropout at 0x7fd689680a60>,0.5,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
85,<function dropout at 0x7fd689680a60>,0.5,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
86,<function dropout at 0x7fd689680a60>,0.5,3,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
87,<function dropout at 0x7fd689680a60>,0.5,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
88,<function dropout at 0x7fd689680a60>,0.5,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
89,<function dropout at 0x7fd689680a60>,0.5,3,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
90,<function dropout at 0x7fd689680a60>,0.5,3,0.1,rect,0.6184210777282715,3,0.5500000715255737,256
91,<function dropout at 0x7fd689680a60>,0.5,3,0.1,rect,0.5657894611358643,3,0.5466667234897614,512
92,<function dropout at 0x7fd689680a60>,0.5,3,0.1,rect,0.5526316165924072,3,0.5233333677053452,1024
93,<function dropout at 0x7fd689680a60>,0.5,3,0.01,rect,0.6052631735801697,3,0.5366666972637177,256
94,<function dropout at 0x7fd689680a60>,0.5,3,0.01,rect,0.5657894611358643,3,0.5666667222976685,512
95,<function dropout at 0x7fd689680a60>,0.5,3,0.01,rect,0.5789473652839661,3,0.5600000321865083,1024
96,<function dropout at 0x7fd689680a60>,0.5,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
97,<function dropout at 0x7fd689680a60>,0.5,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
98,<function dropout at 0x7fd689680a60>,0.5,4,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
99,<function dropout at 0x7fd689680a60>,0.5,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
100,<function dropout at 0x7fd689680a60>,0.5,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
101,<function dropout at 0x7fd689680a60>,0.5,4,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
102,<function dropout at 0x7fd689680a60>,0.5,4,0.1,rect,0.5657894611358643,3,0.5733333766460419,256
103,<function dropout at 0x7fd689680a60>,0.5,4,0.1,rect,0.5263158082962036,3,0.5433333843946457,512
104,<function dropout at 0x7fd689680a60>,0.5,4,0.1,rect,0.5,3,0.4566666990518569,1024
105,<function dropout at 0x7fd689680a60>,0.5,4,0.01,rect,0.5921052694320679,3,0.533333420753479,256
106,<function dropout at 0x7fd689680a60>,0.5,4,0.01,rect,0.6315789222717285,3,0.5266667425632477,512
107,<function dropout at 0x7fd689680a60>,0.5,4,0.01,rect,0.5789473652839661,3,0.5500000357627869,1024
108,<function dropout at 0x7fd689680a60>,0.5,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
109,<function dropout at 0x7fd689680a60>,0.5,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
110,<function dropout at 0x7fd689680a60>,0.5,8,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
111,<function dropout at 0x7fd689680a60>,0.5,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
112,<function dropout at 0x7fd689680a60>,0.5,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
113,<function dropout at 0x7fd689680a60>,0.5,8,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
114,<function dropout at 0x7fd689680a60>,0.5,8,0.1,rect,0.5657894611358643,3,0.4666666984558105,256
115,<function dropout at 0x7fd689680a60>,0.5,8,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
116,<function dropout at 0x7fd689680a60>,0.5,8,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
117,<function dropout at 0x7fd689680a60>,0.5,8,0.01,rect,0.5526315569877625,3,0.5600000619888306,256
118,<function dropout at 0x7fd689680a60>,0.5,8,0.01,rect,0.6184210777282715,3,0.5733333706855774,512
119,<function dropout at 0x7fd689680a60>,0.5,8,0.01,rect,0.6052631735801697,3,0.5333333969116212,1024
120,<function dropout at 0x7fd689680a60>,0.5,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
121,<function dropout at 0x7fd689680a60>,0.5,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
122,<function dropout at 0x7fd689680a60>,0.5,16,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
123,<function dropout at 0x7fd689680a60>,0.5,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
124,<function dropout at 0x7fd689680a60>,0.5,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
125,<function dropout at 0x7fd689680a60>,0.5,16,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
126,<function dropout at 0x7fd689680a60>,0.5,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,256
127,<function dropout at 0x7fd689680a60>,0.5,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
128,<function dropout at 0x7fd689680a60>,0.5,16,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
129,<function dropout at 0x7fd689680a60>,0.5,16,0.01,rect,0.14473684132099152,3,0.21000001728534698,256
130,<function dropout at 0x7fd689680a60>,0.5,16,0.01,rect,0.5526315569877625,3,0.4566666930913925,512
131,<function dropout at 0x7fd689680a60>,0.5,16,0.01,rect,0.5657894611358643,3,0.4666666984558105,1024
132,<function dropout at 0x7fd689680a60>,0.5,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,256
133,<function dropout at 0x7fd689680a60>,0.5,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,512
134,<function dropout at 0x7fd689680a60>,0.5,32,10.0,rect,0.5657894611358643,3,0.4666666984558105,1024
135,<function dropout at 0x7fd689680a60>,0.5,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,256
136,<function dropout at 0x7fd689680a60>,0.5,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,512
137,<function dropout at 0x7fd689680a60>,0.5,32,1.0,rect,0.5657894611358643,3,0.4666666984558105,1024
138,<function dropout at 0x7fd689680a60>,0.5,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,256
139,<function dropout at 0x7fd689680a60>,0.5,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,512
140,<function dropout at 0x7fd689680a60>,0.5,32,0.1,rect,0.5657894611358643,3,0.4666666984558105,1024
141,<function dropout at 0x7fd689680a60>,0.5,32,0.01,rect,0.5657894611358643,3,0.4666666984558105,256
142,<function dropout at 0x7fd689680a60>,0.5,32,0.01,rect,0.5657894611358643,3,0.4666666984558105,512
143,<function dropout at 0x7fd689680a60>,0.5,32,0.01,rect,0.5657894611358643,3,0.4666666984558105,1024
