,learningrate,nstart,activationFn,dropoutFn,nlayers,dR,layerForm,testAccuracy,valAccuracy
24,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.0996578186750412,0.10368520021438597
25,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.0996578186750412,0.10368520021438597
26,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.0996578186750412,0.10368520021438597
27,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.0996578186750412,0.10368520021438597
28,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.0996578186750412,0.10368520021438597
29,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.0996578186750412,0.10368520021438597
30,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.0996578186750412,0.10368520021438597
31,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.0996578186750412,0.10368520021438597
32,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.0996578186750412,0.10368520021438597
33,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
34,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.0996578186750412,0.10368520021438597
35,10.0,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
36,1.0,256,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.6200456023216248,0.616739571094513
37,1.0,256,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.3160821199417114,0.34287946820259096
38,1.0,256,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.14941544830799103,0.1313554160296917
39,1.0,256,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.0996578186750412,0.13222986757755278
40,1.0,256,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.0996578186750412,0.10368520021438597
41,1.0,256,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.0996578186750412,0.12108058184385297
42,1.0,256,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.0996578186750412,0.10368520021438597
43,1.0,256,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.0996578186750412,0.10368520021438597
44,1.0,256,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.0996578186750412,0.10368520021438597
45,1.0,256,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
46,1.0,256,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.0996578186750412,0.10368520021438597
47,1.0,256,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
48,1.0,512,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.12817221879959106,0.13366645574569705
49,1.0,512,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.09951525181531906,0.12014366611838341
50,1.0,512,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.0996578186750412,0.10368520021438597
51,1.0,512,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.02110065519809723,0.021861337125301358
52,1.0,512,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.0996578186750412,0.10368520021438597
53,1.0,512,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.0996578186750412,0.10368520021438597
54,1.0,512,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.0996578186750412,0.10368520021438597
55,1.0,512,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.0996578186750412,0.10368520021438597
56,1.0,512,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.0996578186750412,0.10368520021438597
57,1.0,512,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
58,1.0,512,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.0996578186750412,0.10368520021438597
59,1.0,512,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
60,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.16324493288993835,0.09668957404792311
61,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.12817221879959106,0.12217364721000193
62,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.12817223370075226,0.13366645574569705
63,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.0996578186750412,0.1149906367063522
64,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.0996578186750412,0.10368520021438597
65,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.0996578186750412,0.10368520021438597
66,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.0996578186750412,0.10368520021438597
67,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.0996578186750412,0.10368520021438597
68,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.0996578186750412,0.10368520021438597
69,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
70,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.0996578186750412,0.10368520021438597
71,1.0,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
72,0.1,256,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.6341602206230164,0.6414116442203522
73,0.1,256,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.4607926905155182,0.4765147000551224
74,0.1,256,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.7400912046432495,0.7292629957199097
75,0.1,256,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.4773310422897339,0.47891944944858555
76,0.1,256,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.764185905456543,0.7592130362987518
77,0.1,256,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.49173080921173096,0.5022173941135407
78,0.1,256,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.795836865901947,0.7936602413654328
79,0.1,256,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.34245795011520386,0.3451280534267426
80,0.1,256,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.8100939989089966,0.8056215405464172
81,0.1,256,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
82,0.1,256,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.804248571395874,0.7998438775539398
83,0.1,256,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
84,0.1,512,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.6344453692436218,0.6350093960762023
85,0.1,512,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.4935842752456665,0.49606498181819925
86,0.1,512,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.7338180541992188,0.7331667959690094
87,0.1,512,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.502708911895752,0.5138975918293
88,0.1,512,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.7946962714195251,0.780137461423874
89,0.1,512,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.5387794971466064,0.545221757888794
90,0.1,512,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.8267749547958374,0.8152404963970186
91,0.1,512,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.3959224224090576,0.40021862983703616
92,0.1,512,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.8343312740325928,0.8271081089973451
93,0.1,512,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
94,0.1,512,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.8216423392295837,0.8190506398677826
95,0.1,512,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
96,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.6367265582084656,0.6423797845840453
97,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.4883090853691101,0.4975015878677368
98,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.7599087357521057,0.7527170777320861
99,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.5460507869720459,0.5446908473968506
100,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.8043912053108215,0.7856652617454529
101,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.5685771703720093,0.568832015991211
102,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.8032506108283997,0.8117739200592041
103,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.33347591757774353,0.3195815294981003
104,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.839178740978241,0.8339788138866426
105,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.0996578186750412,0.10368520021438597
106,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.797975480556488,0.8131480634212493
