,nlayers,testAccuracy,dropoutFn,activationFn,nstart,valAccuracy,dR,layerForm,learningrate
0,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
1,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
2,2,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.1
3,2,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
4,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
5,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,1.0
6,2,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.1
7,2,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.01
8,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
9,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.680000066757202,0.0,rect,1.0
10,2,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.1
11,2,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
12,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
13,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
14,2,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.1
15,2,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.01
16,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
17,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
18,2,0.9333333969116211,<function dropout at 0x7f8791264a60>,3,1024,0.933333396911621,0.0,rect,0.1
19,2,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
20,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
21,2,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
22,2,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.5,rect,0.1
23,2,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.5,rect,0.01
24,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
25,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
26,3,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.1
27,3,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
28,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
29,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6866667449474334,0.5,rect,1.0
30,3,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.1
31,3,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.01
32,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
33,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,1.0
34,3,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.1
35,3,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
36,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
37,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
38,3,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.1
39,3,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.01
40,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
41,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
42,3,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.1
43,3,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
44,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
45,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
46,3,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.1
47,3,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.5,rect,0.01
48,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
49,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
50,4,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.1
51,4,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
52,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
53,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,1.0
54,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.8200000464916227,0.5,rect,0.1
55,4,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.01
56,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
57,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,1.0
58,4,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.1
59,4,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
60,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
61,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
62,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.1
63,4,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.01
64,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
65,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
66,4,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.1
67,4,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
68,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
69,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
70,4,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.1
71,4,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.5,rect,0.01
72,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
73,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
74,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6933334112167358,0.0,rect,0.1
75,8,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
76,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
77,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,1.0
78,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,0.1
79,8,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.5,rect,0.01
80,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
81,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,1.0
82,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,0.1
83,8,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
84,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
85,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
86,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.1
87,8,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.5,rect,0.01
88,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
89,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
90,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,0.1
91,8,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
92,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
93,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
94,8,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.1
95,8,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.5,rect,0.01
96,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
97,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
98,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,0.1
99,16,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
100,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
101,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,1.0
102,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,0.1
103,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,0.01
104,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
105,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,1.0
106,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,0.1
107,16,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
108,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
109,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
110,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.1
111,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.01
112,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
113,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
114,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,0.1
115,16,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
116,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
117,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
118,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.1
119,16,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.01
120,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,10.0
121,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,1.0
122,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.0,rect,0.1
123,32,1.0,<function dropout at 0x7f8791264a60>,3,256,0.9999999999999999,0.0,rect,0.01
124,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,10.0
125,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,1.0
126,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,0.1
127,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,256,0.6666667461395263,0.5,rect,0.01
128,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,10.0
129,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,1.0
130,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.0,rect,0.1
131,32,1.0,<function dropout at 0x7f8791264a60>,3,512,0.9999999999999999,0.0,rect,0.01
132,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,10.0
133,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,1.0
134,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.1
135,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,512,0.6666667461395263,0.5,rect,0.01
136,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,10.0
137,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,1.0
138,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.0,rect,0.1
139,32,1.0,<function dropout at 0x7f8791264a60>,3,1024,0.9999999999999999,0.0,rect,0.01
140,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,10.0
141,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,1.0
142,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.1
143,32,0.533333420753479,<function dropout at 0x7f8791264a60>,3,1024,0.6666667461395263,0.5,rect,0.01
