,activationFn,layerForm,testAccuracy,dR,dropoutFn,learningrate,valAccuracy,nlayers,nstart
0,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,2,256
1,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,2,512
2,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2829993069171905,2,1024
3,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,3,256
4,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,3,512
5,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,3,1024
6,3,cone,0.28060027956962585,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,4,256
7,3,cone,0.28060027956962585,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,4,512
8,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,4,1024
9,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,8,256
10,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,8,512
11,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,8,1024
12,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,16,256
13,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,16,512
14,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,16,1024
15,3,cone,0.28060024976730347,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.2830684185028076,32,256
16,3,cone,0.7194002270698547,0.0,<function dropout at 0x7ffa89e50a60>,10.0,0.6735455870628356,32,512
