,activationFn,nlayers,dropoutFn,learningrate,nstart,dR,valAccuracy,layerForm,testAccuracy
0,3,2,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
1,3,2,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
2,3,2,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.4615384936332702,cone,0.40000003576278687
3,3,2,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
4,3,2,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
5,3,2,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
6,3,2,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.5384615659713744,cone,0.5666667222976685
7,3,2,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
8,3,2,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.5615384936332702,cone,0.6000000238418579
9,3,2,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
10,3,2,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
11,3,2,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
12,3,2,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.9999999999999999,cone,1.0
13,3,2,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.9999999999999999,cone,1.0
14,3,2,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
15,3,2,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.9999999999999999,cone,1.0
16,3,2,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
17,3,2,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.9999999999999999,cone,1.0
18,3,2,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
19,3,2,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.9999999999999999,cone,1.0
20,3,2,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
21,3,2,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.9999999999999999,cone,1.0
22,3,2,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
23,3,2,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.9999999999999999,cone,1.0
24,3,3,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
25,3,3,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
26,3,3,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
27,3,3,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
28,3,3,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
29,3,3,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
30,3,3,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.9999999999999999,cone,1.0
31,3,3,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
32,3,3,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.5153846442699432,cone,0.6333333849906921
33,3,3,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
34,3,3,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
35,3,3,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
36,3,3,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.9999999999999999,cone,1.0
37,3,3,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.9999999999999999,cone,1.0
38,3,3,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
39,3,3,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.9999999999999999,cone,1.0
40,3,3,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
41,3,3,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.9999999999999999,cone,1.0
42,3,3,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
43,3,3,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.9999999999999999,cone,1.0
44,3,3,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
45,3,3,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.9999999999999999,cone,1.0
46,3,3,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
47,3,3,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.9999999999999999,cone,1.0
48,3,4,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
49,3,4,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
50,3,4,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
51,3,4,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
52,3,4,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
