,activationFn,valAccuracy,nstart,layerForm,dR,dropoutFn,learningrate,nlayers,testAccuracy
0,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,2,0.09600000083446503
1,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,3,0.09600000828504562
2,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,4,0.09600000828504562
3,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,8,0.09600000083446503
4,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,16,0.09600000083446503
5,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,10.0,32,0.09600000828504562
6,3,0.18196720182895662,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,2,0.09600000828504562
7,3,0.07704917341470718,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,3,0.09600000828504562
8,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,4,0.09600000828504562
9,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,8,0.09600000083446503
10,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,16,0.09600000828504562
11,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,1.0,32,0.09600000828504562
12,3,0.7418032586574554,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,2,0.7319999933242798
13,3,0.7270491540431975,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,3,0.7360000610351562
14,3,0.7221311211585998,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,4,0.6960000395774841
15,3,0.7270491540431976,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,8,0.7200000286102295
16,3,0.10901638343930241,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,16,0.09600000083446503
17,3,0.07377048581838608,256,rect,0.0,<function dropout at 0x7fad3210ca60>,0.1,32,0.09600000828504562
