,dropoutFn,learningrate,activationFn,layerForm,nlayers,nstart,testAccuracy,valAccuracy,dR
0,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,256,0.5179714560508728,0.5048648953437805,0.0
1,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,256,0.5179714560508728,0.504864901304245,0.5
2,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,512,0.5179714560508728,0.5048648953437807,0.0
3,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,512,0.5179714560508728,0.5048648893833161,0.5
4,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,1024,0.5179715156555176,0.5048649251461029,0.0
5,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,2,1024,0.5179714560508728,0.5048648715019226,0.5
6,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,256,0.5179714560508728,0.5048649311065674,0.0
7,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,256,0.5179714560508728,0.5048648774623872,0.5
8,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,512,0.5179714560508728,0.5048648953437805,0.0
9,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,512,0.5179714560508728,0.5048649191856385,0.5
10,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,1024,0.5179714560508728,0.5048648715019226,0.0
11,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,3,1024,0.5179714560508728,0.5048649311065674,0.5
12,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,256,0.5179714560508728,0.5048649251461029,0.0
13,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,256,0.5179714560508728,0.5048649072647096,0.5
14,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,512,0.5179714560508728,0.5048649072647096,0.0
15,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,512,0.5179714560508728,0.5048648953437805,0.5
