,layerForm,learningrate,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy,dropoutFn
64,rect,1.0,3,0.2514880895614624,1024,4,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
65,rect,1.0,3,0.2514881134033203,1024,4,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
66,rect,1.0,3,0.25148811936378473,1024,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
67,rect,1.0,3,0.25148811936378473,1024,8,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
68,rect,1.0,3,0.25148811936378473,1024,16,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
69,rect,1.0,3,0.2514880925416947,1024,16,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
70,rect,1.0,3,0.25148809850215914,1024,32,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
71,rect,1.0,3,0.2514880895614624,1024,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
72,rect,0.1,3,0.9135417222976685,256,2,0.0,0.8820000886917114,<function dropout at 0x7fe4bda4ca60>
73,rect,0.1,3,0.9058035850524901,256,2,0.5,0.8850000500679016,<function dropout at 0x7fe4bda4ca60>
74,rect,0.1,3,0.9127975940704345,256,3,0.0,0.9010000228881836,<function dropout at 0x7fe4bda4ca60>
75,rect,0.1,3,0.904464304447174,256,3,0.5,0.8809999823570251,<function dropout at 0x7fe4bda4ca60>
76,rect,0.1,3,0.9126488149166107,256,4,0.0,0.8925000429153442,<function dropout at 0x7fe4bda4ca60>
77,rect,0.1,3,0.8988095641136169,256,4,0.5,0.8665001392364502,<function dropout at 0x7fe4bda4ca60>
78,rect,0.1,3,0.9186012446880341,256,8,0.0,0.9025000333786011,<function dropout at 0x7fe4bda4ca60>
79,rect,0.1,3,0.8726190984249115,256,8,0.5,0.8320000767707825,<function dropout at 0x7fe4bda4ca60>
80,rect,0.1,3,0.2514881044626236,256,16,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
