,layerForm,dropoutFn,nstart,dR,valAccuracy,learningrate,activationFn,nlayers,testAccuracy
80,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,1.0,3,4,0.571428656578064
81,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,1.0,3,8,0.571428656578064
82,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,1.0,3,16,0.571428656578064
83,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5069767594337464,1.0,3,32,0.571428656578064
84,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.9232557773590088,0.1,3,2,0.8151260614395142
85,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.8906976640224458,0.1,3,3,0.831932783126831
86,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.8837209284305573,0.1,3,4,0.8319329023361206
87,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5395349025726319,0.1,3,8,0.571428656578064
88,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,0.1,3,16,0.571428656578064
89,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,0.1,3,32,0.571428656578064
90,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.8372093439102172,0.01,3,2,0.7899160385131836
91,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.8488372564315795,0.01,3,3,0.7394958734512329
92,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.8139535188674928,0.01,3,4,0.722689151763916
93,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.6116279125213623,0.01,3,8,0.6134454011917114
94,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.7116278946399689,0.01,3,16,0.4873949885368347
95,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5372093200683594,0.01,3,32,0.5546218752861023
96,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,10.0,3,2,0.571428656578064
97,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,10.0,3,3,0.571428656578064
98,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,10.0,3,4,0.571428656578064
99,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,10.0,3,8,0.571428656578064
100,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5279069930315018,10.0,3,16,0.571428656578064
101,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,10.0,3,32,0.571428656578064
102,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,1.0,3,2,0.571428656578064
103,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.4651162922382356,1.0,3,3,0.4285714626312256
104,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,1.0,3,4,0.571428656578064
105,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,1.0,3,8,0.571428656578064
106,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,1.0,3,16,0.571428656578064
107,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.5348837375640869,1.0,3,32,0.571428656578064
108,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8883720993995666,0.1,3,2,0.8235294818878174
109,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8837209343910216,0.1,3,3,0.890756368637085
110,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9139534890651703,0.1,3,4,0.8991597890853882
111,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9302325248718261,0.1,3,8,0.890756368637085
112,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9302325248718261,0.1,3,16,0.890756368637085
113,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8534883737564086,0.1,3,32,0.7983194589614868
114,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8348837614059447,0.01,3,2,0.8151261806488037
115,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9186046600341798,0.01,3,3,0.8571429252624512
116,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8860465705394747,0.01,3,4,0.8235294818878174
117,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9069766998291017,0.01,3,8,0.8235294818878174
118,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.8953488171100615,0.01,3,16,0.8571429252624512
119,cone,<function dropout at 0x7f4e04920a60>,1024,0.0,0.9767441749572756,0.01,3,32,0.7815126180648804
120,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,2,0.571428656578064
121,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,3,0.571428656578064
122,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,4,0.571428656578064
123,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,8,0.571428656578064
124,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,16,0.571428656578064
125,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,10.0,3,32,0.571428656578064
126,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,2,0.571428656578064
127,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,3,0.571428656578064
128,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,4,0.571428656578064
129,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,8,0.571428656578064
130,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,16,0.571428656578064
131,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,1.0,3,32,0.571428656578064
132,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8930232524871825,0.1,3,2,0.848739504814148
133,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8976743936538696,0.1,3,3,0.8655463457107544
134,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8674418568611144,0.1,3,4,0.8319329023361206
135,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5441860616207124,0.1,3,8,0.571428656578064
136,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,0.1,3,16,0.571428656578064
137,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,0.1,3,32,0.571428656578064
138,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8860464990139008,0.01,3,2,0.7983194589614868
139,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8883720993995665,0.01,3,3,0.7983194589614868
140,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.8348837614059449,0.01,3,4,0.7899160385131836
141,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5348837375640869,0.01,3,8,0.571428656578064
142,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.5930232763290405,0.01,3,16,0.571428656578064
143,cone,<function dropout at 0x7f4e04920a60>,1024,0.5,0.47441861927509316,0.01,3,32,0.4285714626312256
