,valAccuracy,nstart,layerForm,learningrate,dropoutFn,testAccuracy,nlayers,dR,activationFn
0,0.042757414653897284,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,2,0.0,3
1,0.04275741875171662,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039399996399879456,2,0.5,3
2,0.042757420986890796,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039399996399879456,3,0.0,3
3,0.04275741875171662,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,3,0.5,3
4,0.042757419496774675,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,4,0.0,3
5,0.04275741651654243,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,4,0.5,3
6,0.04275741428136825,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,8,0.0,3
7,0.042757418006658554,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039399996399879456,8,0.5,3
8,0.0427574172616005,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,16,0.0,3
9,0.04275741800665856,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,16,0.5,3
10,0.0427574172616005,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,32,0.0,3
11,0.04275741651654244,256,rect,10.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,32,0.5,3
12,0.9700262546539308,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.9681997299194336,2,0.0,3
13,0.5356457233428956,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.5339999198913574,2,0.5,3
14,0.0427574172616005,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,3,0.0,3
15,0.042757418006658554,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,3,0.5,3
16,0.0427574172616005,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,4,0.0,3
17,0.042757419496774675,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,4,0.5,3
18,0.0427574172616005,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,8,0.0,3
19,0.04275741651654244,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,8,0.5,3
20,0.04275741651654243,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039399996399879456,16,0.0,3
21,0.042757419496774675,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,16,0.5,3
22,0.042757418006658554,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039400000125169754,32,0.0,3
23,0.042757420986890796,256,rect,1.0,<function dropout at 0x7f758d6eba60>,0.039399996399879456,32,0.5,3
