,layerForm,nlayers,valAccuracy,nstart,dR,learningrate,activationFn,dropoutFn,testAccuracy
0,cone,2,0.6321839094161986,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
1,cone,2,0.3793103396892548,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.35999998450279236
2,cone,2,0.9609195709228516,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
3,cone,2,0.9655172824859618,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.971428632736206
4,cone,2,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
5,cone,2,0.6689655244350432,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
6,cone,2,0.9655172824859618,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
7,cone,2,0.9770115017890932,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
8,cone,2,0.6321839094161986,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
9,cone,2,0.6643678188323974,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
10,cone,2,0.9655172824859618,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
11,cone,2,0.9689655482769011,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
12,cone,2,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
13,cone,2,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
14,cone,2,0.9655172824859618,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
15,cone,2,0.9655172824859618,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
16,cone,2,0.6321839094161986,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
17,cone,2,0.4091953992843628,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.34285709261894226
18,cone,2,0.9666667044162749,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
19,cone,2,0.9655172824859618,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
20,cone,2,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
21,cone,2,0.6321839094161986,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
22,cone,2,0.9655172824859618,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
23,cone,2,0.9655172824859618,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
24,cone,3,0.6321839094161986,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
25,cone,3,0.39195402264595036,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.34285709261894226
26,cone,3,0.9632184267044067,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
27,cone,3,0.9655172824859618,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
28,cone,3,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
29,cone,3,0.6321839094161986,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
30,cone,3,0.9655172824859618,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
31,cone,3,0.9563218593597412,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
32,cone,3,0.6321839094161986,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
