,layerForm,testAccuracy,dR,learningrate,nstart,valAccuracy,nlayers,dropoutFn,activationFn
51,cone,0.8046875,0.0,0.1,1024,0.8018518567085267,8,<function dropout at 0x7fb7e073aa60>,3
52,cone,0.7421875,0.0,0.1,1024,0.772222226858139,16,<function dropout at 0x7fb7e073aa60>,3
53,cone,0.75,0.0,0.1,1024,0.7481481790542602,32,<function dropout at 0x7fb7e073aa60>,3
54,cone,0.7890625,0.0,0.01,256,0.8333333134651185,2,<function dropout at 0x7fb7e073aa60>,3
55,cone,0.7890625,0.0,0.01,256,0.6814814925193786,3,<function dropout at 0x7fb7e073aa60>,3
56,cone,0.6953125,0.0,0.01,256,0.7962963581085204,4,<function dropout at 0x7fb7e073aa60>,3
57,cone,0.7734375,0.0,0.01,256,0.7592592418193816,8,<function dropout at 0x7fb7e073aa60>,3
58,cone,0.7890625,0.0,0.01,256,0.7629629492759703,16,<function dropout at 0x7fb7e073aa60>,3
59,cone,0.765625,0.0,0.01,256,0.7851851880550385,32,<function dropout at 0x7fb7e073aa60>,3
60,cone,0.7578125,0.0,0.01,512,0.7907407879829406,2,<function dropout at 0x7fb7e073aa60>,3
61,cone,0.765625,0.0,0.01,512,0.7777777910232543,3,<function dropout at 0x7fb7e073aa60>,3
62,cone,0.7734375,0.0,0.01,512,0.7722222387790679,4,<function dropout at 0x7fb7e073aa60>,3
63,cone,0.78125,0.0,0.01,512,0.8166666567325593,8,<function dropout at 0x7fb7e073aa60>,3
64,cone,0.734375,0.0,0.01,512,0.7685185074806212,16,<function dropout at 0x7fb7e073aa60>,3
65,cone,0.7109375,0.0,0.01,512,0.6962962925434113,32,<function dropout at 0x7fb7e073aa60>,3
66,cone,0.734375,0.0,0.01,1024,0.7407407760620118,2,<function dropout at 0x7fb7e073aa60>,3
67,cone,0.75,0.0,0.01,1024,0.7759259343147277,3,<function dropout at 0x7fb7e073aa60>,3
68,cone,0.78125,0.0,0.01,1024,0.8611111342906954,4,<function dropout at 0x7fb7e073aa60>,3
69,cone,0.7578125,0.0,0.01,1024,0.7907407760620117,8,<function dropout at 0x7fb7e073aa60>,3
70,cone,0.765625,0.0,0.01,1024,0.6351852178573608,16,<function dropout at 0x7fb7e073aa60>,3
71,cone,0.6953125,0.0,0.01,1024,0.7777777910232543,32,<function dropout at 0x7fb7e073aa60>,3
72,cone,0.390625,0.5,10.0,256,0.38888889551162714,2,<function dropout at 0x7fb7e073aa60>,3
73,cone,0.390625,0.5,10.0,256,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
74,cone,0.390625,0.5,10.0,256,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
