,nlayers,activationFn,nstart,dR,layerForm,testAccuracy,dropoutFn,valAccuracy,learningrate
0,2,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
1,2,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
2,2,3,256,0.0,rect,0.9654087424278259,<function dropout at 0x7ff624948a60>,0.9954742610454558,0.1
3,2,3,256,0.0,rect,0.9622640609741211,<function dropout at 0x7ff624948a60>,0.9930373847484589,0.01
4,2,3,256,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
5,2,3,256,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
6,2,3,256,0.5,rect,0.9605488777160645,<function dropout at 0x7ff624948a60>,0.9919930100440978,0.1
7,2,3,256,0.5,rect,0.9425385594367981,<function dropout at 0x7ff624948a60>,0.9791122317314147,0.01
8,2,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
9,2,3,512,0.0,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
10,2,3,512,0.0,rect,0.9702686667442322,<function dropout at 0x7ff624948a60>,0.9952132105827333,0.1
11,2,3,512,0.0,rect,0.965980589389801,<function dropout at 0x7ff624948a60>,0.9937336206436158,0.01
12,2,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
13,2,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
14,2,3,512,0.5,rect,0.9708404541015625,<function dropout at 0x7ff624948a60>,0.9956483662128449,0.1
15,2,3,512,0.5,rect,0.955974817276001,<function dropout at 0x7ff624948a60>,0.986771059036255,0.01
16,2,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
17,2,3,1024,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
18,2,3,1024,0.0,rect,0.968267560005188,<function dropout at 0x7ff624948a60>,0.9953872799873353,0.1
19,2,3,1024,0.0,rect,0.9668381810188293,<function dropout at 0x7ff624948a60>,0.9951261758804321,0.01
20,2,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
21,2,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
22,2,3,1024,0.5,rect,0.9705545902252197,<function dropout at 0x7ff624948a60>,0.9943428993225097,0.1
23,2,3,1024,0.5,rect,0.9585477113723755,<function dropout at 0x7ff624948a60>,0.9879024624824524,0.01
24,3,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
25,3,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
26,3,3,256,0.0,rect,0.9671240448951721,<function dropout at 0x7ff624948a60>,0.9954743146896364,0.1
27,3,3,256,0.0,rect,0.9619782567024231,<function dropout at 0x7ff624948a60>,0.9930373430252074,0.01
28,3,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
29,3,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
30,3,3,256,0.5,rect,0.965980589389801,<function dropout at 0x7ff624948a60>,0.9943428635597228,0.1
31,3,3,256,0.5,rect,0.9362491965293884,<function dropout at 0x7ff624948a60>,0.9750217616558075,0.01
32,3,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
33,3,3,512,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
34,3,3,512,0.0,rect,0.9665522575378418,<function dropout at 0x7ff624948a60>,0.9960835397243499,0.1
35,3,3,512,0.0,rect,0.9662664532661438,<function dropout at 0x7ff624948a60>,0.9954742550849913,0.01
36,3,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
37,3,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
38,3,3,512,0.5,rect,0.971412181854248,<function dropout at 0x7ff624948a60>,0.9954743087291718,0.1
39,3,3,512,0.5,rect,0.9465407729148865,<function dropout at 0x7ff624948a60>,0.9793732941150665,0.01
40,3,3,1024,0.0,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
41,3,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
42,3,3,1024,0.0,rect,0.9696968197822571,<function dropout at 0x7ff624948a60>,0.9957354187965395,0.1
43,3,3,1024,0.0,rect,0.9688392877578735,<function dropout at 0x7ff624948a60>,0.9954743146896364,0.01
44,3,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
45,3,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
46,3,3,1024,0.5,rect,0.9745567440986633,<function dropout at 0x7ff624948a60>,0.994516944885254,0.1
47,3,3,1024,0.5,rect,0.9599770903587341,<function dropout at 0x7ff624948a60>,0.9906005263328552,0.01
48,4,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
49,4,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
50,4,3,256,0.0,rect,0.9705545902252197,<function dropout at 0x7ff624948a60>,0.9951261758804322,0.1
51,4,3,256,0.0,rect,0.966266393661499,<function dropout at 0x7ff624948a60>,0.9939077138900758,0.01
52,4,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
53,4,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
54,4,3,256,0.5,rect,0.9702686667442322,<function dropout at 0x7ff624948a60>,0.9935595750808717,0.1
55,4,3,256,0.5,rect,0.9170954823493958,<function dropout at 0x7ff624948a60>,0.9673628985881806,0.01
56,4,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
57,4,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
58,4,3,512,0.0,rect,0.9694110155105591,<function dropout at 0x7ff624948a60>,0.9958224534988405,0.1
59,4,3,512,0.0,rect,0.9676957726478577,<function dropout at 0x7ff624948a60>,0.9956483840942385,0.01
60,4,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
61,4,3,512,0.5,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
62,4,3,512,0.5,rect,0.9696969389915466,<function dropout at 0x7ff624948a60>,0.9958224177360535,0.1
63,4,3,512,0.5,rect,0.9413950443267822,<function dropout at 0x7ff624948a60>,0.979112207889557,0.01
64,4,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
65,4,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
66,4,3,1024,0.0,rect,0.968267560005188,<function dropout at 0x7ff624948a60>,0.9955613493919374,0.1
67,4,3,1024,0.0,rect,0.9676958322525024,<function dropout at 0x7ff624948a60>,0.9965186774730684,0.01
68,4,3,1024,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
69,4,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
70,4,3,1024,0.5,rect,0.9716981053352356,<function dropout at 0x7ff624948a60>,0.9955613136291505,0.1
71,4,3,1024,0.5,rect,0.9554029703140259,<function dropout at 0x7ff624948a60>,0.9865970075130462,0.01
72,8,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.10704960748553277,10.0
73,8,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
74,8,3,256,0.0,rect,0.9699828028678894,<function dropout at 0x7ff624948a60>,0.9962575793266297,0.1
75,8,3,256,0.0,rect,0.9665523171424866,<function dropout at 0x7ff624948a60>,0.9963446080684663,0.01
76,8,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
77,8,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
78,8,3,256,0.5,rect,0.9616923332214355,<function dropout at 0x7ff624948a60>,0.9919059097766877,0.1
79,8,3,256,0.5,rect,0.4502573013305664,<function dropout at 0x7ff624948a60>,0.496866849064827,0.01
80,8,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
81,8,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
82,8,3,512,0.0,rect,0.9705545902252197,<function dropout at 0x7ff624948a60>,0.9948650598526001,0.1
83,8,3,512,0.0,rect,0.9688393473625183,<function dropout at 0x7ff624948a60>,0.9953872799873353,0.01
84,8,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
85,8,3,512,0.5,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
86,8,3,512,0.5,rect,0.9696969985961914,<function dropout at 0x7ff624948a60>,0.9943428635597228,0.1
87,8,3,512,0.5,rect,0.8850771188735962,<function dropout at 0x7ff624948a60>,0.9562227725982666,0.01
88,8,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
89,8,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
90,8,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
91,8,3,1024,0.0,rect,0.9725556969642639,<function dropout at 0x7ff624948a60>,0.9965186715126039,0.01
92,8,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
93,8,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
94,8,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
95,8,3,1024,0.5,rect,0.916809618473053,<function dropout at 0x7ff624948a60>,0.9722366869449616,0.01
96,16,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
97,16,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
98,16,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
99,16,3,256,0.0,rect,0.9691251516342163,<function dropout at 0x7ff624948a60>,0.9952132105827333,0.01
100,16,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
101,16,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
102,16,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
103,16,3,256,0.5,rect,0.047741565853357315,<function dropout at 0x7ff624948a60>,0.07014795280992986,0.01
104,16,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
105,16,3,512,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
106,16,3,512,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
107,16,3,512,0.0,rect,0.9702686071395874,<function dropout at 0x7ff624948a60>,0.9958224296569826,0.01
108,16,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
109,16,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
110,16,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
111,16,3,512,0.5,rect,0.1266438066959381,<function dropout at 0x7ff624948a60>,0.11966928094625474,0.01
112,16,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
113,16,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
114,16,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
115,16,3,1024,0.0,rect,0.9748427867889404,<function dropout at 0x7ff624948a60>,0.9965187311172485,0.01
116,16,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
117,16,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
118,16,3,1024,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
119,16,3,1024,0.5,rect,0.10663236677646637,<function dropout at 0x7ff624948a60>,0.09651871174573898,0.01
120,32,3,256,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
121,32,3,256,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
122,32,3,256,0.0,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
123,32,3,256,0.0,rect,0.9668381810188293,<function dropout at 0x7ff624948a60>,0.9965186715126039,0.01
124,32,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
125,32,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
126,32,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
127,32,3,256,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.01
128,32,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
129,32,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
130,32,3,512,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
131,32,3,512,0.0,rect,0.9708404541015625,<function dropout at 0x7ff624948a60>,0.9949520885944365,0.01
132,32,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
133,32,3,512,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
134,32,3,512,0.5,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
135,32,3,512,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.01
136,32,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
137,32,3,1024,0.0,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
138,32,3,1024,0.0,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
139,32,3,1024,0.0,rect,0.9714122414588928,<function dropout at 0x7ff624948a60>,0.9927762746810912,0.01
140,32,3,1024,0.5,rect,0.10377359390258789,<function dropout at 0x7ff624948a60>,0.1070496067404747,10.0
141,32,3,1024,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,1.0
142,32,3,1024,0.5,rect,0.1037735790014267,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.1
143,32,3,1024,0.5,rect,0.1037735864520073,<function dropout at 0x7ff624948a60>,0.1070496067404747,0.01
