,testAccuracy,valAccuracy,layerForm,dR,nstart,learningrate,nlayers,dropoutFn,activationFn
0,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,2,<function dropout at 0x7f3053779a60>,3
1,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,3,<function dropout at 0x7f3053779a60>,3
2,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,4,<function dropout at 0x7f3053779a60>,3
3,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,8,<function dropout at 0x7f3053779a60>,3
4,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,16,<function dropout at 0x7f3053779a60>,3
5,0.3362068831920624,0.31226053833961487,cone,0.0,256,10.0,32,<function dropout at 0x7f3053779a60>,3
6,0.33620691299438477,0.31226053833961487,cone,0.0,256,1.0,2,<function dropout at 0x7f3053779a60>,3
7,0.34770113229751587,0.3429118633270264,cone,0.0,256,1.0,3,<function dropout at 0x7f3053779a60>,3
8,0.3477011024951935,0.3406130194664002,cone,0.0,256,1.0,4,<function dropout at 0x7f3053779a60>,3
9,0.3362068831920624,0.3371647357940674,cone,0.0,256,1.0,8,<function dropout at 0x7f3053779a60>,3
10,0.31609195470809937,0.33448274135589606,cone,0.0,256,1.0,16,<function dropout at 0x7f3053779a60>,3
11,0.34770113229751587,0.3409961432218552,cone,0.0,256,1.0,32,<function dropout at 0x7f3053779a60>,3
12,0.6475096344947815,0.6388889133930207,cone,0.0,256,0.1,2,<function dropout at 0x7f3053779a60>,3
13,0.6130268573760986,0.6300766527652739,cone,0.0,256,0.1,3,<function dropout at 0x7f3053779a60>,3
14,0.6427202820777893,0.646934860944748,cone,0.0,256,0.1,4,<function dropout at 0x7f3053779a60>,3
15,0.6388888359069824,0.6448276221752167,cone,0.0,256,0.1,8,<function dropout at 0x7f3053779a60>,3
16,0.640804648399353,0.6431034624576569,cone,0.0,256,0.1,16,<function dropout at 0x7f3053779a60>,3
