,activationFn,testAccuracy,valAccuracy,nlayers,dR,nstart,learningrate,dropoutFn,layerForm
0,3,0.09905398637056351,0.11460259258747102,2,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
1,3,0.9660544395446777,0.9841035366058352,2,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
2,3,0.9616025686264038,0.9859519720077515,2,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
3,3,0.9543683528900146,0.9796673059463501,2,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
4,3,0.09905398637056351,0.11460258960723879,2,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
5,3,0.9716193079948425,0.9853974103927613,2,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
6,3,0.9677239656448364,0.9889094829559328,2,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
7,3,0.9549248218536377,0.9778188884258272,2,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
8,3,0.09905398637056351,0.11460259258747102,2,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
9,3,0.09905398637056351,0.11460259407758713,2,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
10,3,0.9649415016174316,0.9783733844757082,2,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
11,3,0.9538118243217468,0.9870610237121581,2,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
12,3,0.09905398637056351,0.11460259407758713,2,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
13,3,0.937117338180542,0.9473197996616365,2,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
14,3,0.9582636952400208,0.9807763457298277,2,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
15,3,0.9526989459991455,0.9817004919052125,2,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
16,3,0.09905398637056351,0.11460259258747102,2,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
17,3,0.8831385374069214,0.9140480816364289,2,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
18,3,0.9660544991493225,0.9861368417739867,2,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
19,3,0.9493600130081177,0.9759704411029815,2,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
20,3,0.09905398637056351,0.11460258960723879,2,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
21,3,0.09905398637056351,0.11460259407758713,2,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
22,3,0.9660544991493225,0.9902033567428591,2,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
23,3,0.9565942883491516,0.9785582423210145,2,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
24,3,0.09905398637056351,0.11460259556770325,3,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
25,3,0.9610461592674255,0.9889094293117523,3,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
26,3,0.9638285636901855,0.9907578706741335,3,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
27,3,0.9510294795036316,0.9696857511997221,3,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
28,3,0.09905398637056351,0.11460259258747102,3,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
29,3,0.10072342306375504,0.10240295678377152,3,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
30,3,0.9688369035720825,0.987615543603897,3,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
31,3,0.9571506977081299,0.9815157532691955,3,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
32,3,0.09905398637056351,0.11460259556770325,3,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
33,3,0.09905398637056351,0.11460259556770325,3,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
34,3,0.9632720947265625,0.9798521220684053,3,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
35,3,0.9577072262763977,0.9796673059463501,3,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
36,3,0.09905398637056351,0.11460259407758713,3,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
37,3,0.10183639824390411,0.1883549019694329,3,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
38,3,0.9588202238082886,0.98780038356781,3,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
39,3,0.9393433332443237,0.972458416223526,3,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
40,3,0.09905398637056351,0.11460259407758713,3,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
41,3,0.10016694664955139,0.11829944700002672,3,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
42,3,0.9671673774719238,0.9852125763893127,3,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
43,3,0.9543683528900146,0.9822551488876343,3,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
44,3,0.09905398637056351,0.1146025910973549,3,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
45,3,0.09905398637056351,0.11460259556770325,3,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
46,3,0.9654980897903442,0.9913123905658722,3,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
47,3,0.9493600130081177,0.9817005813121795,3,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
48,3,0.09905398637056351,0.11460259407758713,4,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
49,3,0.09905398637056351,0.11460259556770325,4,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
50,3,0.9627155661582947,0.987800407409668,4,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
51,3,0.9582637548446655,0.9833641171455383,4,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
52,3,0.09905398637056351,0.11460259556770325,4,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
53,3,0.09905398637056351,0.11460259556770325,4,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
54,3,0.9627155661582947,0.9852125644683839,4,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
55,3,0.9616026282310486,0.9833641648292544,4,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
56,3,0.09905398637056351,0.11460259258747102,4,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
57,3,0.09905398637056351,0.1146025910973549,4,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
58,3,0.9671674966812134,0.9889094352722169,4,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
59,3,0.9660545587539673,0.988909363746643,4,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
60,3,0.09905398637056351,0.11460259556770325,4,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
61,3,0.09905398637056351,0.1340110942721367,4,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
62,3,0.9565942883491516,0.9809612154960631,4,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
63,3,0.9332219362258911,0.9517560422420503,4,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
64,3,0.09905398637056351,0.11460259407758713,4,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
65,3,0.09905398637056351,0.11460259556770325,4,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
66,3,0.9666109681129456,0.9859519541263579,4,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
67,3,0.9443517327308655,0.972458440065384,4,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
68,3,0.09905398637056351,0.11460259556770325,4,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
69,3,0.09905398637056351,0.11460259407758713,4,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
70,3,0.9660544395446777,0.9892790973186494,4,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
71,3,0.9526988863945007,0.9778188705444337,4,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
72,3,0.09905398637056351,0.11460259556770325,8,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
73,3,0.09905398637056351,0.11460259556770325,8,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
74,3,0.9616025686264038,0.982809638977051,8,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
75,3,0.9454646110534668,0.9817005455493926,8,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
76,3,0.09905398637056351,0.11460259109735489,8,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
77,3,0.09905398637056351,0.11460258662700655,8,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
78,3,0.9593767523765564,0.98133088350296,8,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
79,3,0.9565942883491516,0.9815157175064086,8,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
80,3,0.09905398637056351,0.1146025910973549,8,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
81,3,0.09905398637056351,0.11460258662700655,8,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
82,3,0.9643850326538086,0.9894639611244201,8,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
83,3,0.9582637548446655,0.9870610237121581,8,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
84,3,0.09905398637056351,0.11460259556770325,8,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
85,3,0.09905398637056351,0.11460259407758713,8,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
86,3,0.2849193215370178,0.24658039659261705,8,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
87,3,0.39621591567993164,0.39685768187046055,8,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
88,3,0.09905398637056351,0.1146025910973549,8,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
89,3,0.09905398637056351,0.11460259407758713,8,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
90,3,0.308848112821579,0.2918669164180756,8,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
91,3,0.32331666350364685,0.30702401697635656,8,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
92,3,0.09905398637056351,0.11460258960723879,8,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
93,3,0.09905398637056351,0.11460259556770325,8,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
94,3,0.632164716720581,0.616450995206833,8,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
95,3,0.44129106402397156,0.44953789114952086,8,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
96,3,0.09905398637056351,0.11460259556770325,16,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
97,3,0.0990539938211441,0.11460259556770325,16,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
98,3,0.9604896306991577,0.9792976140975954,16,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
99,3,0.9437952041625977,0.9648798704147341,16,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
100,3,0.09905398637056351,0.11460259407758713,16,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
101,3,0.09905398637056351,0.1146025910973549,16,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
102,3,0.9649415016174316,0.9833641886711121,16,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
103,3,0.9510294198989868,0.9735675573348999,16,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
104,3,0.09905398637056351,0.11460259407758713,16,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
105,3,0.09905398637056351,0.11460259407758713,16,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
106,3,0.9638285636901855,0.9852125644683839,16,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
107,3,0.9610461592674255,0.9778189182281496,16,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
108,3,0.09905398637056351,0.1146025910973549,16,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
109,3,0.09905398637056351,0.11460259556770325,16,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
110,3,0.09905398637056351,0.11460258811712268,16,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
111,3,0.10183639824390411,0.10998152121901512,16,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
112,3,0.09905398637056351,0.11460258662700655,16,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
113,3,0.09905398637056351,0.11460259258747102,16,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
114,3,0.09905398637056351,0.11460258960723878,16,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
115,3,0.12687814235687256,0.1360443614423275,16,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
116,3,0.09905398637056351,0.11460259556770325,16,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
117,3,0.09905398637056351,0.11460259258747102,16,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
118,3,0.09905398637056351,0.11460259556770325,16,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
119,3,0.19588202238082886,0.16561922132968904,16,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
120,3,0.09905398637056351,0.11460259258747102,32,0.0,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
121,3,0.09905398637056351,0.11460259556770325,32,0.0,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
122,3,0.6661101579666138,0.6658040553331375,32,0.0,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
123,3,0.9376738667488098,0.9576710402965546,32,0.0,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
124,3,0.09905398637056351,0.11460259407758713,32,0.0,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
125,3,0.0990539938211441,0.1146025910973549,32,0.0,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
126,3,0.5642738342285156,0.44528650045394896,32,0.0,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
127,3,0.9360044002532959,0.9744916796684265,32,0.0,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
128,3,0.09905398637056351,0.11460259556770325,32,0.0,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
129,3,0.09905398637056351,0.11460259556770325,32,0.0,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
130,3,0.631051778793335,0.5683918625116349,32,0.0,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
131,3,0.937673807144165,0.9652495622634889,32,0.0,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
132,3,0.09905398637056351,0.11460259556770325,32,0.5,256,10.0,<function dropout at 0x7f3e9b096a60>,cone
133,3,0.09905398637056351,0.11460259556770325,32,0.5,256,1.0,<function dropout at 0x7f3e9b096a60>,cone
134,3,0.09905398637056351,0.11460259407758713,32,0.5,256,0.1,<function dropout at 0x7f3e9b096a60>,cone
135,3,0.09905398637056351,0.11460259556770325,32,0.5,256,0.01,<function dropout at 0x7f3e9b096a60>,cone
136,3,0.09905398637056351,0.11460259407758713,32,0.5,512,10.0,<function dropout at 0x7f3e9b096a60>,cone
137,3,0.09905398637056351,0.11460259556770325,32,0.5,512,1.0,<function dropout at 0x7f3e9b096a60>,cone
138,3,0.09905398637056351,0.11460259407758713,32,0.5,512,0.1,<function dropout at 0x7f3e9b096a60>,cone
139,3,0.09905398637056351,0.11460258960723878,32,0.5,512,0.01,<function dropout at 0x7f3e9b096a60>,cone
140,3,0.09905398637056351,0.11460259556770325,32,0.5,1024,10.0,<function dropout at 0x7f3e9b096a60>,cone
141,3,0.09905398637056351,0.11460258811712268,32,0.5,1024,1.0,<function dropout at 0x7f3e9b096a60>,cone
142,3,0.09905398637056351,0.11460259556770325,32,0.5,1024,0.1,<function dropout at 0x7f3e9b096a60>,cone
143,3,0.09905398637056351,0.1146025910973549,32,0.5,1024,0.01,<function dropout at 0x7f3e9b096a60>,cone
