,learningrate,testAccuracy,dR,activationFn,nlayers,nstart,layerForm,dropoutFn,valAccuracy
0,10.0,0.23999997973442078,0.0,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.07777777947485448
1,10.0,0.23999997973442078,0.0,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
2,10.0,0.19999998807907104,0.0,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.11111111193895339
3,10.0,0.23999997973442078,0.0,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
4,10.0,0.23999997973442078,0.0,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
5,10.0,0.23999997973442078,0.0,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
6,10.0,0.23999997973442078,0.0,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
7,10.0,0.23999997973442078,0.0,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
8,10.0,0.20000000298023224,0.0,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.38888889551162714
9,10.0,0.23999997973442078,0.0,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
10,10.0,0.23999997973442078,0.0,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
11,10.0,0.23999997973442078,0.0,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
12,10.0,0.23999997973442078,0.0,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
13,10.0,0.23999997973442078,0.0,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
14,10.0,0.23999997973442078,0.0,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
15,10.0,0.23999997973442078,0.0,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
16,10.0,0.23999997973442078,0.0,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
17,10.0,0.23999997973442078,0.0,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
18,10.0,0.23999997973442078,0.5,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
19,10.0,0.23999997973442078,0.5,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.07777777947485448
20,10.0,0.23999997973442078,0.5,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.06666666753590106
21,10.0,0.23999997973442078,0.5,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
22,10.0,0.23999997973442078,0.5,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
23,10.0,0.23999997973442078,0.5,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
24,10.0,0.23999997973442078,0.5,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
25,10.0,0.23999997973442078,0.5,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
26,10.0,0.23999997973442078,0.5,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
27,10.0,0.23999997973442078,0.5,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
28,10.0,0.23999997973442078,0.5,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
29,10.0,0.23999997973442078,0.5,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
30,10.0,0.23999997973442078,0.5,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
31,10.0,0.23999997973442078,0.5,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
32,10.0,0.23999997973442078,0.5,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
33,10.0,0.23999997973442078,0.5,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
34,10.0,0.23999997973442078,0.5,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
35,10.0,0.23999997973442078,0.5,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
36,1.0,0.3199999928474426,0.0,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.2944444544613361
37,1.0,0.19999998807907104,0.0,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.11111111193895339
38,1.0,0.23999997973442078,0.0,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.07222222276031971
39,1.0,0.3199999928474426,0.0,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.17222222834825518
