,dropoutFn,learningrate,layerForm,nstart,activationFn,dR,nlayers,valAccuracy,testAccuracy
48,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,2,0.18181818723678586,0.3076923191547394
49,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,3,0.18181818723678586,0.3076923191547394
50,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,4,0.18181818723678586,0.3076923191547394
51,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,8,0.18181818723678586,0.3076923191547394
52,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,16,0.18181818723678586,0.3076923191547394
53,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.0,32,0.18181818723678586,0.3076923191547394
54,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,2,0.22727273106575008,0.3076923191547394
55,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,3,0.18181818723678586,0.3076923191547394
56,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,4,0.18181818723678586,0.3076923191547394
57,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,8,0.18181818723678586,0.3076923191547394
58,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,16,0.18181818723678586,0.3076923191547394
59,<function dropout at 0x7f68bf785a60>,1.0,rect,512,3,0.5,32,0.18181818723678586,0.3076923191547394
60,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,2,0.22727273106575008,0.3076923191547394
61,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,3,0.18181818723678586,0.3076923191547394
62,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,4,0.18181818723678586,0.3076923191547394
63,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,8,0.18181818723678586,0.3076923191547394
64,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,16,0.18181818723678586,0.3076923191547394
65,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.0,32,0.18181818723678586,0.3076923191547394
66,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,2,0.18181818723678586,0.3076923191547394
67,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,3,0.18181818723678586,0.3076923191547394
68,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,4,0.18181818723678586,0.3076923191547394
69,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,8,0.18181818723678586,0.3076923191547394
70,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,16,0.18181818723678586,0.3076923191547394
71,<function dropout at 0x7f68bf785a60>,1.0,rect,1024,3,0.5,32,0.18181818723678586,0.3076923191547394
72,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,2,0.7636363983154297,0.7307692766189575
73,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,3,0.818181872367859,0.8076923489570618
74,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,4,0.8090909600257875,0.769230842590332
75,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,8,0.7636363983154296,0.7692307829856873
76,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,16,0.18181818723678586,0.3076923191547394
77,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.0,32,0.18181818723678586,0.3076923191547394
78,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,2,0.7181818425655365,0.6153846383094788
79,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,3,0.6181818366050721,0.8076923489570618
80,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,4,0.27272727489471427,0.3076923191547394
81,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,8,0.18181818723678586,0.3076923191547394
82,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,16,0.18181818723678586,0.3076923191547394
83,<function dropout at 0x7f68bf785a60>,0.1,rect,256,3,0.5,32,0.18181818723678586,0.3076923191547394
84,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,2,0.7727273106575012,0.769230842590332
85,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,3,0.8000000476837159,0.7307692766189575
86,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,4,0.7636363983154297,0.8076923489570618
87,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,8,0.22727273106575008,0.3076923191547394
88,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,16,0.18181818723678586,0.3076923191547394
89,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.0,32,0.18181818723678586,0.3076923191547394
90,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,2,0.7272727489471434,0.692307710647583
91,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,3,0.2909090965986251,0.3076923191547394
92,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,4,0.22727273106575008,0.3076923191547394
93,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,8,0.18181818723678586,0.3076923191547394
94,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,16,0.18181818723678586,0.3076923191547394
95,<function dropout at 0x7f68bf785a60>,0.1,rect,512,3,0.5,32,0.18181818723678586,0.3076923191547394
96,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,2,0.7545454859733582,0.7307692766189575
97,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,3,0.7909091353416444,0.8461539149284363
98,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,4,0.39090909361839293,0.576923131942749
99,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,8,0.18181818723678586,0.3076923191547394
100,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,16,0.18181818723678586,0.3076923191547394
101,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.0,32,0.18181818723678586,0.3076923191547394
102,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,2,0.6272727429866791,0.576923131942749
103,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,3,0.20909091532230373,0.3076923191547394
104,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,4,0.22727273106575008,0.3076923191547394
105,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,8,0.18181818723678586,0.3076923191547394
106,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,16,0.18181818723678586,0.3076923191547394
107,<function dropout at 0x7f68bf785a60>,0.1,rect,1024,3,0.5,32,0.18181818723678586,0.3076923191547394
108,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,2,0.718181836605072,0.6538461446762085
109,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,3,0.7545454859733581,0.769230842590332
110,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,4,0.7727273106575012,0.7307692766189575
111,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,8,0.7000000119209289,0.692307710647583
112,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,16,0.7636363983154297,0.692307710647583
113,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.0,32,0.718181836605072,0.769230842590332
114,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,2,0.7000000119209289,0.692307710647583
115,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,3,0.6363636255264282,0.6153846979141235
116,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,4,0.6636363625526429,0.7307692766189575
117,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,8,0.6454545378684998,0.6153846979141235
118,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,16,0.18181818723678586,0.3076923191547394
119,<function dropout at 0x7f68bf785a60>,0.01,rect,256,3,0.5,32,0.18181818723678586,0.3076923191547394
120,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,2,0.7636363983154297,0.7307692766189575
121,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,3,0.7636363983154297,0.7307692766189575
122,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,4,0.7727273106575013,0.769230842590332
123,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,8,0.8000000476837159,0.769230842590332
124,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,16,0.8090909600257875,0.7692307829856873
125,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.0,32,0.7363636612892152,0.769230842590332
126,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,2,0.7090909242630005,0.6538461446762085
127,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,3,0.6636363625526429,0.7692307829856873
128,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,4,0.6545454502105713,0.692307710647583
129,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,8,0.6545454502105713,0.6538462042808533
130,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,16,0.18181818723678586,0.3076923191547394
131,<function dropout at 0x7f68bf785a60>,0.01,rect,512,3,0.5,32,0.18181818723678586,0.3076923191547394
132,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,2,0.7818182229995727,0.692307710647583
133,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,3,0.7727273106575012,0.7307692766189575
134,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,4,0.7727273106575013,0.769230842590332
135,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,8,0.8000000476837159,0.7307692766189575
136,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,16,0.7545454859733581,0.7692307829856873
137,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.0,32,0.7454545736312866,0.7307692766189575
138,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,2,0.7090909242630005,0.692307710647583
139,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,3,0.6636363625526428,0.7307692766189575
140,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,4,0.6454545438289643,0.7307692766189575
141,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,8,0.6636363744735719,0.6153846979141235
142,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,16,0.18181818723678586,0.3076923191547394
143,<function dropout at 0x7f68bf785a60>,0.01,rect,1024,3,0.5,32,0.18181818723678586,0.3076923191547394
