,nlayers,nstart,dropoutFn,testAccuracy,layerForm,dR,valAccuracy,learningrate,activationFn
0,2,256,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.07317072898149492,10.0,3
1,2,256,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.07317072898149492,1.0,3
2,2,256,<function dropout at 0x7f8858f41a60>,0.7777777910232544,cone,0.0,0.8048780322074891,0.1,3
3,2,256,<function dropout at 0x7f8858f41a60>,0.7333333492279053,cone,0.0,0.6829267740249634,0.01,3
4,2,256,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.5,0.07317072898149492,10.0,3
5,2,256,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.5,0.07317072898149492,1.0,3
6,2,256,<function dropout at 0x7f8858f41a60>,0.8444445133209229,cone,0.5,0.8024389922618866,0.1,3
7,2,256,<function dropout at 0x7f8858f41a60>,0.6111111640930176,cone,0.5,0.5390243530273438,0.01,3
8,2,512,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.07317072898149492,10.0,3
9,2,512,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.08780487403273585,1.0,3
10,2,512,<function dropout at 0x7f8858f41a60>,0.8444445133209229,cone,0.0,0.8195121705532075,0.1,3
11,2,512,<function dropout at 0x7f8858f41a60>,0.7333333492279053,cone,0.0,0.6585365533828735,0.01,3
12,2,512,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.5,0.07317072898149492,10.0,3
13,2,512,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.5,0.08292682617902758,1.0,3
14,2,512,<function dropout at 0x7f8858f41a60>,0.8111111521720886,cone,0.5,0.8341463088989258,0.1,3
15,2,512,<function dropout at 0x7f8858f41a60>,0.6888889074325562,cone,0.5,0.6097560524940492,0.01,3
16,2,1024,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.07317072898149492,10.0,3
17,2,1024,<function dropout at 0x7f8858f41a60>,0.06666667014360428,cone,0.0,0.07317072898149492,1.0,3
18,2,1024,<function dropout at 0x7f8858f41a60>,0.8888888955116272,cone,0.0,0.8146341264247896,0.1,3
