,learningrate,testAccuracy,nlayers,dropoutFn,layerForm,activationFn,valAccuracy,nstart,dR
35,10.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
36,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
37,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
38,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
39,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
40,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
41,1.0,0.5,2,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
42,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
43,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
44,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
45,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
46,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
47,1.0,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
48,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
49,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
50,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
51,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
52,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
53,1.0,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
54,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
55,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
56,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
57,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
58,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
59,1.0,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
60,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
61,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
62,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
63,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
64,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
65,1.0,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
66,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
67,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
68,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
69,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
70,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
71,1.0,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
72,0.1,0.8461539149284363,2,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,256,0.0
73,0.1,0.884615421295166,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8124999999999999,256,0.5
74,0.1,0.884615421295166,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
