,learningrate,layerForm,dropoutFn,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy
0,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,2,0.0,0.8799999952316284
1,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,2,0.5,0.8799999952316284
2,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.0,0.8799999952316284
3,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.5,0.8799999952316284
4,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.0,0.8799999952316284
5,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.5,0.8799999952316284
6,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.0,0.8799999952316284
7,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.5,0.8799999952316284
8,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.6714285962283613,256,16,0.0,0.8799999952316284
9,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.5,0.8799999952316284
10,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.0,0.8799999952316284
11,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.5,0.8799999952316284
12,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,2,0.0,0.8799999952316284
13,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,2,0.5,0.8799999952316284
14,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,3,0.0,0.8799999952316284
15,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,3,0.5,0.8799999952316284
16,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.07142857462167738,512,4,0.0,0.11999999731779099
17,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,4,0.5,0.8799999952316284
18,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.0,0.8799999952316284
19,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.5,0.8799999952316284
20,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.0,0.8799999952316284
21,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.5,0.8799999952316284
22,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8428571738302709,512,32,0.0,0.8799999952316284
23,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.5,0.8799999952316284
