,valAccuracy,nlayers,layerForm,dR,nstart,dropoutFn,learningrate,activationFn,testAccuracy
0,0.6964286565780641,2,cone,0.0,256,<function dropout at 0x7f68438f0a60>,10.0,3,0.7191780805587769
1,0.6964286565780641,2,cone,0.0,256,<function dropout at 0x7f68438f0a60>,1.0,3,0.7191780209541321
2,0.6892857611179353,2,cone,0.0,256,<function dropout at 0x7f68438f0a60>,0.1,3,0.7328766584396362
3,0.7089285910129547,2,cone,0.0,256,<function dropout at 0x7f68438f0a60>,0.01,3,0.7191780805587769
4,0.6964286565780641,2,cone,0.0,512,<function dropout at 0x7f68438f0a60>,10.0,3,0.7191780209541321
5,0.6964286565780641,2,cone,0.0,512,<function dropout at 0x7f68438f0a60>,1.0,3,0.7191780805587769
6,0.6946428894996642,2,cone,0.0,512,<function dropout at 0x7f68438f0a60>,0.1,3,0.7465753555297852
7,0.6553571879863739,2,cone,0.0,512,<function dropout at 0x7f68438f0a60>,0.01,3,0.6917808651924133
8,0.6964286565780641,2,cone,0.0,1024,<function dropout at 0x7f68438f0a60>,10.0,3,0.7191780805587769
9,0.6964286565780641,2,cone,0.0,1024,<function dropout at 0x7f68438f0a60>,1.0,3,0.7191780209541321
10,0.6678572058677674,2,cone,0.0,1024,<function dropout at 0x7f68438f0a60>,0.1,3,0.7397260665893555
11,0.7071429073810578,2,cone,0.0,1024,<function dropout at 0x7f68438f0a60>,0.01,3,0.7123287320137024
12,0.7017857909202577,2,cone,0.5,256,<function dropout at 0x7f68438f0a60>,10.0,3,0.7191780209541321
13,0.6964286565780641,2,cone,0.5,256,<function dropout at 0x7f68438f0a60>,1.0,3,0.7191780209541321
14,0.7250000357627868,2,cone,0.5,256,<function dropout at 0x7f68438f0a60>,0.1,3,0.7260273694992065
15,0.7107143044471742,2,cone,0.5,256,<function dropout at 0x7f68438f0a60>,0.01,3,0.7054793834686279
16,0.6964286565780641,2,cone,0.5,512,<function dropout at 0x7f68438f0a60>,10.0,3,0.7191780805587769
17,0.6964286565780641,2,cone,0.5,512,<function dropout at 0x7f68438f0a60>,1.0,3,0.7191780209541321
18,0.7035714685916901,2,cone,0.5,512,<function dropout at 0x7f68438f0a60>,0.1,3,0.6849315166473389
