,dropoutFn,dR,activationFn,nstart,testAccuracy,nlayers,valAccuracy,learningrate,layerForm
56,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735790014267,4,0.12144702672958375,10.0,cone
57,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,4,0.12144702672958375,1.0,cone
58,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9708404541015625,4,0.9932816028594971,0.1,cone
59,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9705545902252197,4,0.9939707458019255,0.01,cone
60,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,8,0.12144702672958375,10.0,cone
61,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735790014267,8,0.12144702672958375,1.0,cone
62,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9736992120742798,8,0.9912144660949708,0.1,cone
63,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.970268726348877,8,0.9944013655185698,0.01,cone
64,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,16,0.12144702672958375,10.0,cone
65,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,16,0.12144702672958375,1.0,cone
66,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9728416204452515,16,0.9944014072418214,0.1,cone
67,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9654087424278259,16,0.9925064384937287,0.01,cone
68,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,32,0.12144702672958375,10.0,cone
69,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,32,0.12144702672958375,1.0,cone
70,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.3093196153640747,32,0.2261843293905258,0.1,cone
71,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9699827432632446,32,0.9913005888462069,0.01,cone
72,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,2,0.12144702672958375,10.0,cone
73,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9559748768806458,2,0.9809646904468536,1.0,cone
74,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9622641205787659,2,0.9877691984176634,0.1,cone
75,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9328186511993408,2,0.9624461650848388,0.01,cone
76,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735790014267,3,0.12144702672958375,10.0,cone
77,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.09605488181114197,3,0.09827734678983688,1.0,cone
78,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9619782567024231,3,0.9873385429382324,0.1,cone
79,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9016580581665039,3,0.9453057646751404,0.01,cone
80,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,4,0.12144702672958375,10.0,cone
81,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.17981703579425812,4,0.14599483236670494,1.0,cone
82,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.9619781970977783,4,0.9849267780780793,0.1,cone
