,learningrate,dropoutFn,testAccuracy,nlayers,layerForm,dR,nstart,activationFn,valAccuracy
0,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,256,3,0.35555556714534753
1,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,512,3,0.3666666775941848
2,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,1024,3,0.33333334326744074
3,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,256,3,0.344444453716278
4,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,512,3,0.3611111253499984
5,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,1024,3,0.33333334326744074
6,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,256,3,0.33333334326744074
7,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,512,3,0.33333334326744074
8,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,1024,3,0.33333334326744074
9,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,256,3,0.33333334326744074
10,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,512,3,0.33333334326744074
11,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,1024,3,0.33333334326744074
12,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.0,256,3,0.33333334326744074
13,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.0,512,3,0.33333334326744074
14,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.0,1024,3,0.33333334326744074
15,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,256,3,0.33333334326744074
16,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,512,3,0.33333334326744074
17,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,1024,3,0.33333334326744074
18,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.0,256,3,0.33333334326744074
19,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.0,512,3,0.33333334326744074
20,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.0,1024,3,0.33333334326744074
21,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,256,3,0.33333334326744074
22,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,512,3,0.33333334326744074
23,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,1024,3,0.33333334326744074
24,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.0,256,3,0.4000000059604644
25,10.0,<function dropout at 0x7fc2d2c9ea60>,0.27272728085517883,16,cone,0.0,512,3,0.22222222387790677
26,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.0,1024,3,0.33333334326744074
27,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,256,3,0.33333334326744074
28,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,512,3,0.33333334326744074
29,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,1024,3,0.33333334326744074
30,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.0,256,3,0.33333334326744074
31,10.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,32,cone,0.0,512,3,0.44444444775581354
32,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.0,1024,3,0.33333334326744074
33,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,256,3,0.33333334326744074
34,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,512,3,0.33333334326744074
35,10.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,1024,3,0.33333334326744074
36,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,256,3,0.3500000119209289
37,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,512,3,0.344444453716278
38,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.0,1024,3,0.33333334326744074
39,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,256,3,0.34444445669651025
40,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,512,3,0.344444453716278
41,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,2,cone,0.5,1024,3,0.33333334326744074
42,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,256,3,0.3666666775941848
43,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,512,3,0.33333334326744074
44,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.0,1024,3,0.3388888984918594
45,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,256,3,0.33333334326744074
46,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,512,3,0.34444445669651025
47,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,3,cone,0.5,1024,3,0.33333334326744074
48,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.0,256,3,0.33333334326744074
49,1.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,4,cone,0.0,512,3,0.44444444775581354
50,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.0,1024,3,0.33333334326744074
51,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,256,3,0.33333334326744074
52,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,512,3,0.33333334326744074
53,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,4,cone,0.5,1024,3,0.33333334326744074
54,1.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,8,cone,0.0,256,3,0.422222226858139
55,1.0,<function dropout at 0x7fc2d2c9ea60>,0.27272728085517883,8,cone,0.0,512,3,0.22222222387790677
56,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.0,1024,3,0.33333334326744074
57,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,256,3,0.33333334326744074
58,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,512,3,0.33333334326744074
59,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,1024,3,0.33333334326744074
60,1.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,16,cone,0.0,256,3,0.44444444775581354
61,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.0,512,3,0.33333334326744074
62,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.0,1024,3,0.33333334326744074
63,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,256,3,0.33333334326744074
64,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,512,3,0.33333334326744074
65,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,1024,3,0.33333334326744074
66,1.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,32,cone,0.0,256,3,0.43333333730697626
67,1.0,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,32,cone,0.0,512,3,0.422222226858139
68,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.0,1024,3,0.33333334326744074
69,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,256,3,0.33333334326744074
70,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,512,3,0.33333334326744074
71,1.0,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,1024,3,0.33333334326744074
72,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.0,256,3,0.9000000476837157
73,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,2,cone,0.0,512,3,0.9444444179534914
74,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.0,1024,3,0.9999999999999999
75,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.5,256,3,0.972222226858139
76,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.5,512,3,0.9999999999999999
77,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.5,1024,3,0.9666666507720949
78,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,3,cone,0.0,256,3,0.9444444179534914
79,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,3,cone,0.0,512,3,0.9499999761581422
80,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,3,cone,0.0,1024,3,0.9499999821186068
81,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,3,cone,0.5,256,3,0.9999999999999999
82,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,3,cone,0.5,512,3,0.9777777671813966
83,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,3,cone,0.5,1024,3,0.9999999999999999
84,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.0,256,3,0.9999999999999999
85,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,4,cone,0.0,512,3,0.9444444179534914
86,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,4,cone,0.0,1024,3,0.9999999999999999
87,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,4,cone,0.5,256,3,0.9833333253860472
88,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.5,512,3,0.9444444239139559
89,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.5,1024,3,0.9833333373069763
90,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9318182468414307,8,cone,0.0,256,3,0.9444444179534914
91,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,8,cone,0.0,512,3,0.9444444239139559
92,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,8,cone,0.0,1024,3,0.9999999999999999
93,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,256,3,0.35555556714534753
94,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,8,cone,0.5,512,3,0.344444453716278
95,0.1,<function dropout at 0x7fc2d2c9ea60>,0.40909093618392944,8,cone,0.5,1024,3,0.4111111134290695
96,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,16,cone,0.0,256,3,0.9444444179534914
97,0.1,<function dropout at 0x7fc2d2c9ea60>,0.9318182468414307,16,cone,0.0,512,3,0.9611111223697661
98,0.1,<function dropout at 0x7fc2d2c9ea60>,0.7272727489471436,16,cone,0.0,1024,3,0.7777777910232543
99,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,256,3,0.33333334326744074
100,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,512,3,0.33333334326744074
101,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,1024,3,0.33333334326744074
102,0.1,<function dropout at 0x7fc2d2c9ea60>,0.6590909361839294,32,cone,0.0,256,3,0.7111111238598823
103,0.1,<function dropout at 0x7fc2d2c9ea60>,0.5,32,cone,0.0,512,3,0.5555555641651153
104,0.1,<function dropout at 0x7fc2d2c9ea60>,1.0,32,cone,0.0,1024,3,0.9999999999999999
105,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,256,3,0.33333334326744074
106,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,512,3,0.33333334326744074
107,0.1,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,1024,3,0.33333334326744074
108,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,2,cone,0.0,256,3,0.9444444179534914
109,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,2,cone,0.0,512,3,0.9444444179534914
110,0.01,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.0,1024,3,0.9444444179534914
111,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,2,cone,0.5,256,3,0.9333333253860475
112,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,2,cone,0.5,512,3,0.9999999999999999
113,0.01,<function dropout at 0x7fc2d2c9ea60>,1.0,2,cone,0.5,1024,3,0.9999999999999999
114,0.01,<function dropout at 0x7fc2d2c9ea60>,1.0,3,cone,0.0,256,3,0.9444444179534914
115,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,3,cone,0.0,512,3,0.9555555403232576
116,0.01,<function dropout at 0x7fc2d2c9ea60>,1.0,3,cone,0.0,1024,3,0.9444444179534914
117,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9318181872367859,3,cone,0.5,256,3,0.9999999999999999
118,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,3,cone,0.5,512,3,0.9944444417953491
119,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,3,cone,0.5,1024,3,0.9555555403232576
120,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.0,256,3,0.9999999999999999
