,learningrate,dropoutFn,testAccuracy,nlayers,layerForm,dR,nstart,activationFn,valAccuracy
121,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.0,512,3,0.9444444179534914
122,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.0,1024,3,0.9444444179534914
123,0.01,<function dropout at 0x7fc2d2c9ea60>,1.0,4,cone,0.5,256,3,0.9444444179534914
124,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.5,512,3,0.9444444179534914
125,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,4,cone,0.5,1024,3,0.9999999999999999
126,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,8,cone,0.0,256,3,0.9444444179534914
127,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9318181276321411,8,cone,0.0,512,3,0.9444444179534914
128,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9772727489471436,8,cone,0.0,1024,3,0.9999999999999999
129,0.01,<function dropout at 0x7fc2d2c9ea60>,0.75,8,cone,0.5,256,3,0.5833333671092988
130,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9090909361839294,8,cone,0.5,512,3,0.9444444179534914
131,0.01,<function dropout at 0x7fc2d2c9ea60>,0.7954545617103577,8,cone,0.5,1024,3,0.8666666805744172
132,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9318181872367859,16,cone,0.0,256,3,0.9444444179534914
133,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,16,cone,0.0,512,3,0.9999999999999999
134,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9545454978942871,16,cone,0.0,1024,3,0.9722222387790681
135,0.01,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,16,cone,0.5,256,3,0.444444453716278
136,0.01,<function dropout at 0x7fc2d2c9ea60>,0.4545454680919647,16,cone,0.5,512,3,0.561111131310463
137,0.01,<function dropout at 0x7fc2d2c9ea60>,0.11363636702299118,16,cone,0.5,1024,3,0.3222222350537777
138,0.01,<function dropout at 0x7fc2d2c9ea60>,0.5454545617103577,32,cone,0.0,256,3,0.5611111402511596
139,0.01,<function dropout at 0x7fc2d2c9ea60>,0.8409090638160706,32,cone,0.0,512,3,0.8888889551162719
140,0.01,<function dropout at 0x7fc2d2c9ea60>,0.9318182468414307,32,cone,0.0,1024,3,0.9444444775581361
141,0.01,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,256,3,0.33333334326744074
142,0.01,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,512,3,0.4555555582046508
143,0.01,<function dropout at 0x7fc2d2c9ea60>,0.3181818127632141,32,cone,0.5,1024,3,0.33333334326744074
