,valAccuracy,activationFn,testAccuracy,learningrate,nstart,dropoutFn,dR,layerForm,nlayers
0,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,2
1,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,3
2,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,4
3,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,8
4,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,16
5,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.0,rect,32
6,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,2
7,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,3
8,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,4
9,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,8
10,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,16
11,0.0,3,0.06451612710952759,10.0,256,<function dropout at 0x7fe8124eea60>,0.5,rect,32
12,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,2
13,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,3
14,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,4
15,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,8
16,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,16
17,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.0,rect,32
18,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,2
19,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,3
20,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,4
21,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,8
22,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,16
23,0.0,3,0.06451612710952759,10.0,512,<function dropout at 0x7fe8124eea60>,0.5,rect,32
24,0.00833333358168602,3,0.25806450843811035,10.0,1024,<function dropout at 0x7fe8124eea60>,0.0,rect,2
25,0.0,3,0.06451612710952759,10.0,1024,<function dropout at 0x7fe8124eea60>,0.0,rect,3
