,testAccuracy,nstart,dropoutFn,activationFn,nlayers,learningrate,dR,layerForm,valAccuracy
0,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,2,10.0,0.0,rect,0.0
1,0.5,256,<function dropout at 0x7f3445d5ba60>,3,2,10.0,0.5,rect,0.1
2,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,2,1.0,0.0,rect,0.0
3,0.6666666865348816,256,<function dropout at 0x7f3445d5ba60>,3,2,1.0,0.5,rect,0.03333333432674408
4,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,2,0.1,0.0,rect,0.3666666775941848
5,0.6666666865348816,256,<function dropout at 0x7f3445d5ba60>,3,2,0.1,0.5,rect,0.33333334326744074
6,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,2,0.01,0.0,rect,0.6666666865348815
7,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,2,0.01,0.5,rect,0.6000000178813935
8,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,3,10.0,0.0,rect,0.0
9,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,3,10.0,0.5,rect,0.0
10,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,3,1.0,0.0,rect,0.06666666865348816
11,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,3,1.0,0.5,rect,0.0
12,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,3,0.1,0.0,rect,0.6666666865348815
13,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,3,0.1,0.5,rect,0.03333333432674408
14,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,3,0.01,0.0,rect,0.6666666865348815
15,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,3,0.01,0.5,rect,0.5333333492279052
16,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,4,10.0,0.0,rect,0.0
17,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,4,10.0,0.5,rect,0.0
18,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,4,1.0,0.0,rect,0.0
19,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,4,1.0,0.5,rect,0.0
20,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,4,0.1,0.0,rect,0.1666666716337204
21,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,4,0.1,0.5,rect,0.0
22,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,4,0.01,0.0,rect,0.3666666775941848
23,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,4,0.01,0.5,rect,0.6666666865348815
24,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,8,10.0,0.0,rect,0.0
25,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,8,10.0,0.5,rect,0.0
26,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,8,1.0,0.0,rect,0.0
27,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,8,1.0,0.5,rect,0.0
28,0.6666666865348816,256,<function dropout at 0x7f3445d5ba60>,3,8,0.1,0.0,rect,0.03333333432674408
29,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,8,0.1,0.5,rect,0.0
30,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,8,0.01,0.0,rect,0.33333334326744074
31,0.5,256,<function dropout at 0x7f3445d5ba60>,3,8,0.01,0.5,rect,0.06666666865348816
32,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,10.0,0.0,rect,0.0
33,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,10.0,0.5,rect,0.0
34,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,1.0,0.0,rect,0.0
35,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,1.0,0.5,rect,0.0
36,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,0.1,0.0,rect,0.0
37,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,0.1,0.5,rect,0.0
38,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,16,0.01,0.0,rect,0.33333334326744074
39,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,16,0.01,0.5,rect,0.0
40,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,10.0,0.0,rect,0.0
41,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,10.0,0.5,rect,0.0
42,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,1.0,0.0,rect,0.0
43,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,1.0,0.5,rect,0.0
44,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,0.1,0.0,rect,0.0
45,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,0.1,0.5,rect,0.0
46,0.8333333730697632,256,<function dropout at 0x7f3445d5ba60>,3,32,0.01,0.0,rect,0.30000000894069667
47,0.1666666716337204,256,<function dropout at 0x7f3445d5ba60>,3,32,0.01,0.5,rect,0.0
48,0.5,512,<function dropout at 0x7f3445d5ba60>,3,2,10.0,0.0,rect,0.03333333432674408
49,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,2,10.0,0.5,rect,0.0
50,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,2,1.0,0.0,rect,0.10000000298023225
51,0.6666666865348816,512,<function dropout at 0x7f3445d5ba60>,3,2,1.0,0.5,rect,0.03333333432674408
52,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,2,0.1,0.0,rect,0.3666666775941848
53,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,2,0.1,0.5,rect,0.06666666865348816
54,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,2,0.01,0.0,rect,0.6666666865348815
55,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,2,0.01,0.5,rect,0.6666666865348815
56,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,3,10.0,0.0,rect,0.0
57,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,3,10.0,0.5,rect,0.0
58,0.6666666865348816,512,<function dropout at 0x7f3445d5ba60>,3,3,1.0,0.0,rect,0.03333333432674408
59,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,3,1.0,0.5,rect,0.0
60,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,3,0.1,0.0,rect,0.13333333432674407
61,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,3,0.1,0.5,rect,0.13333333730697633
62,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,3,0.01,0.0,rect,0.6666666865348815
63,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,3,0.01,0.5,rect,0.43333334624767295
64,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,4,10.0,0.0,rect,0.0
65,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,4,10.0,0.5,rect,0.0
66,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,4,1.0,0.0,rect,0.0
67,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,4,1.0,0.5,rect,0.0
68,0.5,512,<function dropout at 0x7f3445d5ba60>,3,4,0.1,0.0,rect,0.03333333432674408
69,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,4,0.1,0.5,rect,0.0
70,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,4,0.01,0.0,rect,0.33333334326744074
71,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,4,0.01,0.5,rect,0.3666666775941848
72,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,10.0,0.0,rect,0.0
73,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,10.0,0.5,rect,0.0
74,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,1.0,0.0,rect,0.0
75,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,1.0,0.5,rect,0.0
76,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,0.1,0.0,rect,0.0
77,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,8,0.1,0.5,rect,0.0
78,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,8,0.01,0.0,rect,0.6666666865348815
79,0.6666666865348816,512,<function dropout at 0x7f3445d5ba60>,3,8,0.01,0.5,rect,0.03333333432674408
80,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,10.0,0.0,rect,0.0
81,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,10.0,0.5,rect,0.0
82,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,1.0,0.0,rect,0.0
83,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,1.0,0.5,rect,0.0
84,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,0.1,0.0,rect,0.0
85,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,0.1,0.5,rect,0.0
86,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,16,0.01,0.0,rect,0.3666666775941848
87,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,16,0.01,0.5,rect,0.0
88,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,10.0,0.0,rect,0.0
89,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,10.0,0.5,rect,0.0
90,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,1.0,0.0,rect,0.0
91,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,1.0,0.5,rect,0.0
92,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,0.1,0.0,rect,0.0
93,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,0.1,0.5,rect,0.0
94,0.8333333730697632,512,<function dropout at 0x7f3445d5ba60>,3,32,0.01,0.0,rect,0.30000000894069667
95,0.1666666716337204,512,<function dropout at 0x7f3445d5ba60>,3,32,0.01,0.5,rect,0.0
