,dR,valAccuracy,nlayers,layerForm,dropoutFn,nstart,activationFn,testAccuracy,learningrate
0,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,256,3,0.696969747543335,10.0
1,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,256,3,0.696969747543335,1.0
2,0.0,0.8125000000000001,2,cone,<function dropout at 0x7f6c34655a60>,256,3,0.696969747543335,0.1
3,0.0,0.7624999999999998,2,cone,<function dropout at 0x7f6c34655a60>,256,3,0.7878787517547607,0.01
4,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,512,3,0.696969747543335,10.0
5,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,512,3,0.3030303120613098,1.0
6,0.0,0.7812500000000001,2,cone,<function dropout at 0x7f6c34655a60>,512,3,0.7575757503509521,0.1
7,0.0,0.7499999999999999,2,cone,<function dropout at 0x7f6c34655a60>,512,3,0.7878787517547607,0.01
8,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.696969747543335,10.0
9,0.0,0.49999999999999994,2,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.696969747543335,1.0
10,0.0,0.80625,2,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.7575757503509521,0.1
11,0.0,0.7562499999999999,2,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.7272727489471436,0.01
12,0.0,0.49999999999999994,3,cone,<function dropout at 0x7f6c34655a60>,256,3,0.696969747543335,10.0
13,0.0,0.50625,3,cone,<function dropout at 0x7f6c34655a60>,256,3,0.696969747543335,1.0
14,0.0,0.8125000000000001,3,cone,<function dropout at 0x7f6c34655a60>,256,3,0.7575757503509521,0.1
15,0.0,0.7562499999999999,3,cone,<function dropout at 0x7f6c34655a60>,256,3,0.7575757503509521,0.01
16,0.0,0.49999999999999994,3,cone,<function dropout at 0x7f6c34655a60>,512,3,0.696969747543335,10.0
17,0.0,0.49999999999999994,3,cone,<function dropout at 0x7f6c34655a60>,512,3,0.696969747543335,1.0
18,0.0,0.8000000000000002,3,cone,<function dropout at 0x7f6c34655a60>,512,3,0.6666666269302368,0.1
19,0.0,0.8062500000000001,3,cone,<function dropout at 0x7f6c34655a60>,512,3,0.7575757503509521,0.01
20,0.0,0.49999999999999994,3,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.696969747543335,10.0
21,0.0,0.49999999999999994,3,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.3030303120613098,1.0
22,0.0,0.7875,3,cone,<function dropout at 0x7f6c34655a60>,1024,3,0.696969747543335,0.1
