,layerForm,dR,nstart,dropoutFn,activationFn,nlayers,learningrate,valAccuracy,testAccuracy
56,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,4,10.0,0.22727273404598236,0.35135138034820557
57,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,4,1.0,0.22727273404598236,0.35135138034820557
58,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,4,0.1,0.26818182915449146,0.35135138034820557
59,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,4,0.01,0.986363649368286,0.9459459185600281
60,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,8,10.0,0.22727273404598236,0.35135138034820557
61,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,8,1.0,0.22727273404598236,0.35135138034820557
62,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,8,0.1,0.22727273404598236,0.35135138034820557
63,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,8,0.01,0.9954545497894286,1.0
64,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,16,10.0,0.22727273404598236,0.35135138034820557
65,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,16,1.0,0.22727273404598236,0.35135138034820557
66,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,16,0.1,0.22727273404598236,0.35135138034820557
67,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,16,0.01,0.9999999999999999,1.0
68,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,32,10.0,0.22727273404598236,0.35135138034820557
69,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,32,1.0,0.22727273404598236,0.35135138034820557
70,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,32,0.1,0.22727273404598236,0.35135138034820557
71,rect,0.0,1024,<function dropout at 0x7fe72c434a60>,3,32,0.01,0.8863636672496796,0.810810923576355
72,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,2,10.0,0.22727273404598236,0.35135138034820557
73,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,2,1.0,0.25454546064138417,0.35135138034820557
74,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,2,0.1,0.9818181991577147,0.9729729890823364
75,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,2,0.01,0.9045454800128937,0.8378379344940186
76,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,3,10.0,0.22727273404598236,0.35135138034820557
77,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,3,1.0,0.22727273404598236,0.35135138034820557
78,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,3,0.1,0.9272727489471435,0.9729729890823364
79,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,3,0.01,0.9045454800128937,0.8378379344940186
80,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,4,10.0,0.22727273404598236,0.35135138034820557
81,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,4,1.0,0.22727273404598236,0.35135138034820557
82,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,4,0.1,0.8500000178813935,0.7837838530540466
83,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,4,0.01,0.9909090936183929,0.8378379344940186
84,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,8,10.0,0.22727273404598236,0.35135138034820557
85,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,8,1.0,0.22727273404598236,0.35135138034820557
86,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,8,0.1,0.22727273404598236,0.35135138034820557
87,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,8,0.01,0.8500000298023224,0.9459459781646729
88,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,16,10.0,0.22727273404598236,0.35135138034820557
89,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,16,1.0,0.22727273404598236,0.35135138034820557
90,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,16,0.1,0.22727273404598236,0.35135138034820557
91,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,16,0.01,0.22727273404598236,0.35135138034820557
92,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,32,10.0,0.22727273404598236,0.35135138034820557
