,valAccuracy,nstart,activationFn,testAccuracy,dropoutFn,layerForm,learningrate,nlayers,dR
0,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,2,0.0
1,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,2,0.5
2,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,3,0.0
3,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,3,0.5
4,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,4,0.0
5,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,4,0.5
6,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,8,0.0
7,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,8,0.5
8,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,16,0.0
9,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,16,0.5
10,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,32,0.0
11,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,10.0,32,0.5
12,0.9999999999999999,256,3,0.9450550079345703,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,2,0.0
13,0.2393939465284348,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,2,0.5
14,0.2181818246841431,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,3,0.0
15,0.2181818246841431,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,3,0.5
16,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,4,0.0
17,0.2181818246841431,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,4,0.5
18,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,8,0.0
19,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,8,0.5
20,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,16,0.0
21,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,16,0.5
22,0.2333333402872086,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,32,0.0
23,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,1.0,32,0.5
24,0.9999999999999999,256,3,0.9670330286026001,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,2,0.0
25,0.996969699859619,256,3,0.9780219793319702,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,2,0.5
26,0.9999999999999999,256,3,0.9780219793319702,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,3,0.0
27,0.9818181991577147,256,3,0.9560439586639404,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,3,0.5
28,0.9999999999999999,256,3,0.9450550079345703,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,4,0.0
29,0.9909090995788573,256,3,0.9670330286026001,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,4,0.5
30,0.996969699859619,256,3,0.9560439586639404,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,8,0.0
31,0.40909091830253597,256,3,0.5054945945739746,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,8,0.5
32,0.8969697117805481,256,3,0.9450550079345703,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,16,0.0
33,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,16,0.5
34,0.7515151500701904,256,3,0.769230842590332,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,32,0.0
35,0.2121212184429169,256,3,0.30769234895706177,<function dropout at 0x7f3cf3ffaa60>,cone,0.1,32,0.5
36,0.9999999999999999,256,3,0.9560439586639404,<function dropout at 0x7f3cf3ffaa60>,cone,0.01,2,0.0
37,0.9999999999999999,256,3,0.9670330286026001,<function dropout at 0x7f3cf3ffaa60>,cone,0.01,2,0.5
38,0.9999999999999999,256,3,0.9560439586639404,<function dropout at 0x7f3cf3ffaa60>,cone,0.01,3,0.0
39,0.9999999999999999,256,3,0.9340659379959106,<function dropout at 0x7f3cf3ffaa60>,cone,0.01,3,0.5
40,0.9999999999999999,256,3,0.9670330286026001,<function dropout at 0x7f3cf3ffaa60>,cone,0.01,4,0.0
