,learningrate,testAccuracy,nstart,activationFn,layerForm,dR,valAccuracy,nlayers,dropoutFn
0,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
1,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
2,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
3,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
4,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
5,10.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
6,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
7,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
8,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
9,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
10,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
11,10.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
12,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
13,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
14,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
15,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
16,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
17,10.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
18,10.0,0.4399999678134918,512,3,cone,0.5,0.1833333387970924,2,<function dropout at 0x7f942b83ca60>
19,10.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
20,10.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
21,10.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
22,10.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
23,10.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
24,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
25,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
26,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
27,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
28,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
29,10.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
30,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
31,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
32,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
33,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
34,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
35,10.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
36,1.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
37,1.0,0.19999998807907104,256,3,cone,0.0,0.0,3,<function dropout at 0x7f942b83ca60>
38,1.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
39,1.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
40,1.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
41,1.0,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
42,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
43,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
44,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
45,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
46,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
47,1.0,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
48,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
49,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
50,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
51,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
52,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
53,1.0,0.4399999678134918,512,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
54,1.0,0.4399999678134918,512,3,cone,0.5,0.20000000447034832,2,<function dropout at 0x7f942b83ca60>
