,dR,valAccuracy,activationFn,testAccuracy,layerForm,nstart,learningrate,nlayers,dropoutFn
0,0.0,0.9082426428794863,3,0.898391842842102,rect,256,10.0,2,<function dropout at 0x7f7bbde4ca60>
1,0.0,0.9082426428794863,3,0.8983917832374573,rect,256,10.0,3,<function dropout at 0x7f7bbde4ca60>
2,0.0,0.9082426428794863,3,0.8983917832374573,rect,256,10.0,4,<function dropout at 0x7f7bbde4ca60>
3,0.0,0.9082426428794863,3,0.8983917832374573,rect,256,10.0,8,<function dropout at 0x7f7bbde4ca60>
4,0.0,0.9082426428794863,3,0.898391842842102,rect,256,10.0,16,<function dropout at 0x7f7bbde4ca60>
5,0.0,0.9082426428794863,3,0.898391842842102,rect,256,10.0,32,<function dropout at 0x7f7bbde4ca60>
6,0.0,0.9082426428794863,3,0.898391842842102,rect,256,1.0,2,<function dropout at 0x7f7bbde4ca60>
7,0.0,0.9082426428794863,3,0.8983917832374573,rect,256,1.0,3,<function dropout at 0x7f7bbde4ca60>
8,0.0,0.9082426428794863,3,0.8983917832374573,rect,256,1.0,4,<function dropout at 0x7f7bbde4ca60>
9,0.0,0.9082426428794863,3,0.898391842842102,rect,256,1.0,8,<function dropout at 0x7f7bbde4ca60>
10,0.0,0.9082426428794863,3,0.898391842842102,rect,256,1.0,16,<function dropout at 0x7f7bbde4ca60>
11,0.0,0.9082426428794863,3,0.898391842842102,rect,256,1.0,32,<function dropout at 0x7f7bbde4ca60>
12,0.0,0.9819595336914063,3,0.9612572193145752,rect,256,0.1,2,<function dropout at 0x7f7bbde4ca60>
13,0.0,0.9822705984115601,3,0.962719202041626,rect,256,0.1,3,<function dropout at 0x7f7bbde4ca60>
14,0.0,0.9832037270069122,3,0.9729531407356262,rect,256,0.1,4,<function dropout at 0x7f7bbde4ca60>
15,0.0,0.9856920540332795,3,0.9634503126144409,rect,256,0.1,8,<function dropout at 0x7f7bbde4ca60>
16,0.0,0.9082426428794863,3,0.898391842842102,rect,256,0.1,16,<function dropout at 0x7f7bbde4ca60>
17,0.0,0.9082426428794863,3,0.898391842842102,rect,256,0.1,32,<function dropout at 0x7f7bbde4ca60>
18,0.0,0.9751166343688963,3,0.9612572193145752,rect,256,0.01,2,<function dropout at 0x7f7bbde4ca60>
19,0.0,0.9810263872146607,3,0.9649122357368469,rect,256,0.01,3,<function dropout at 0x7f7bbde4ca60>
20,0.0,0.9818040251731874,3,0.9663742184638977,rect,256,0.01,4,<function dropout at 0x7f7bbde4ca60>
21,0.0,0.9832037389278413,3,0.97076016664505,rect,256,0.01,8,<function dropout at 0x7f7bbde4ca60>
22,0.0,0.9844479262828828,3,0.9656431674957275,rect,256,0.01,16,<function dropout at 0x7f7bbde4ca60>
23,0.0,0.9833592414855956,3,0.9561402797698975,rect,256,0.01,32,<function dropout at 0x7f7bbde4ca60>
24,0.0,0.9082426428794863,3,0.898391842842102,rect,512,10.0,2,<function dropout at 0x7f7bbde4ca60>
25,0.0,0.9082426428794863,3,0.898391842842102,rect,512,10.0,3,<function dropout at 0x7f7bbde4ca60>
26,0.0,0.9082426428794863,3,0.898391842842102,rect,512,10.0,4,<function dropout at 0x7f7bbde4ca60>
27,0.0,0.9082426428794863,3,0.898391842842102,rect,512,10.0,8,<function dropout at 0x7f7bbde4ca60>
28,0.0,0.9082426428794863,3,0.8983917832374573,rect,512,10.0,16,<function dropout at 0x7f7bbde4ca60>
29,0.0,0.9082426428794863,3,0.898391842842102,rect,512,10.0,32,<function dropout at 0x7f7bbde4ca60>
30,0.0,0.9082426428794863,3,0.898391842842102,rect,512,1.0,2,<function dropout at 0x7f7bbde4ca60>
31,0.0,0.9082426428794863,3,0.898391842842102,rect,512,1.0,3,<function dropout at 0x7f7bbde4ca60>
32,0.0,0.9082426428794863,3,0.898391842842102,rect,512,1.0,4,<function dropout at 0x7f7bbde4ca60>
33,0.0,0.9082426428794863,3,0.898391842842102,rect,512,1.0,8,<function dropout at 0x7f7bbde4ca60>
34,0.0,0.9082426428794863,3,0.8983917832374573,rect,512,1.0,16,<function dropout at 0x7f7bbde4ca60>
35,0.0,0.9082426428794863,3,0.898391842842102,rect,512,1.0,32,<function dropout at 0x7f7bbde4ca60>
36,0.0,0.9793156802654267,3,0.9656431674957275,rect,512,0.1,2,<function dropout at 0x7f7bbde4ca60>
37,0.0,0.9839812874794006,3,0.9605262279510498,rect,512,0.1,3,<function dropout at 0x7f7bbde4ca60>
38,0.0,0.9833592355251312,3,0.9707602262496948,rect,512,0.1,4,<function dropout at 0x7f7bbde4ca60>
39,0.0,0.9847589373588563,3,0.9619882106781006,rect,512,0.1,8,<function dropout at 0x7f7bbde4ca60>
40,0.0,0.9082426428794863,3,0.898391842842102,rect,512,0.1,16,<function dropout at 0x7f7bbde4ca60>
41,0.0,0.9082426428794863,3,0.8983917832374573,rect,512,0.1,32,<function dropout at 0x7f7bbde4ca60>
42,0.0,0.9818040013313294,3,0.9671052694320679,rect,512,0.01,2,<function dropout at 0x7f7bbde4ca60>
43,0.0,0.9821150541305542,3,0.9656432271003723,rect,512,0.01,3,<function dropout at 0x7f7bbde4ca60>
44,0.0,0.9838258087635039,3,0.9656432271003723,rect,512,0.01,4,<function dropout at 0x7f7bbde4ca60>
45,0.0,0.9844479024410249,3,0.9619882106781006,rect,512,0.01,8,<function dropout at 0x7f7bbde4ca60>
46,0.0,0.9838258326053619,3,0.9707601070404053,rect,512,0.01,16,<function dropout at 0x7f7bbde4ca60>
47,0.0,0.9867807269096375,3,0.962719202041626,rect,512,0.01,32,<function dropout at 0x7f7bbde4ca60>
48,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,2,<function dropout at 0x7f7bbde4ca60>
49,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,10.0,3,<function dropout at 0x7f7bbde4ca60>
50,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,10.0,4,<function dropout at 0x7f7bbde4ca60>
51,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,10.0,8,<function dropout at 0x7f7bbde4ca60>
52,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,16,<function dropout at 0x7f7bbde4ca60>
53,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,32,<function dropout at 0x7f7bbde4ca60>
54,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,1.0,2,<function dropout at 0x7f7bbde4ca60>
55,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,3,<function dropout at 0x7f7bbde4ca60>
56,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,4,<function dropout at 0x7f7bbde4ca60>
57,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,1.0,8,<function dropout at 0x7f7bbde4ca60>
58,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,16,<function dropout at 0x7f7bbde4ca60>
59,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,32,<function dropout at 0x7f7bbde4ca60>
60,0.0,0.9811819434165956,3,0.962719202041626,rect,1024,0.1,2,<function dropout at 0x7f7bbde4ca60>
61,0.0,0.9821150958538056,3,0.9656431674957275,rect,1024,0.1,3,<function dropout at 0x7f7bbde4ca60>
62,0.0,0.9824261009693145,3,0.97076016664505,rect,1024,0.1,4,<function dropout at 0x7f7bbde4ca60>
63,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,0.1,8,<function dropout at 0x7f7bbde4ca60>
64,0.0,0.9082426428794863,3,0.898391842842102,rect,1024,0.1,16,<function dropout at 0x7f7bbde4ca60>
65,0.0,0.9082426428794863,3,0.8983917832374573,rect,1024,0.1,32,<function dropout at 0x7f7bbde4ca60>
66,0.0,0.981181913614273,3,0.9692981839179993,rect,1024,0.01,2,<function dropout at 0x7f7bbde4ca60>
67,0.0,0.9828926682472231,3,0.9656432271003723,rect,1024,0.01,3,<function dropout at 0x7f7bbde4ca60>
68,0.0,0.9838258147239685,3,0.9692981839179993,rect,1024,0.01,4,<function dropout at 0x7f7bbde4ca60>
69,0.0,0.9849144577980041,3,0.9671052694320679,rect,1024,0.01,8,<function dropout at 0x7f7bbde4ca60>
70,0.0,0.9849144935607911,3,0.9612572193145752,rect,1024,0.01,16,<function dropout at 0x7f7bbde4ca60>
71,0.0,0.9839813351631165,3,0.9627192616462708,rect,1024,0.01,32,<function dropout at 0x7f7bbde4ca60>
72,0.5,0.9082426428794863,3,0.898391842842102,rect,256,10.0,2,<function dropout at 0x7f7bbde4ca60>
73,0.5,0.9082426428794863,3,0.898391842842102,rect,256,10.0,3,<function dropout at 0x7f7bbde4ca60>
74,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,10.0,4,<function dropout at 0x7f7bbde4ca60>
75,0.5,0.9082426428794863,3,0.898391842842102,rect,256,10.0,8,<function dropout at 0x7f7bbde4ca60>
76,0.5,0.9082426428794863,3,0.898391842842102,rect,256,10.0,16,<function dropout at 0x7f7bbde4ca60>
77,0.5,0.9082426428794863,3,0.898391842842102,rect,256,10.0,32,<function dropout at 0x7f7bbde4ca60>
78,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,1.0,2,<function dropout at 0x7f7bbde4ca60>
79,0.5,0.9082426428794863,3,0.898391842842102,rect,256,1.0,3,<function dropout at 0x7f7bbde4ca60>
80,0.5,0.9082426428794863,3,0.898391842842102,rect,256,1.0,4,<function dropout at 0x7f7bbde4ca60>
81,0.5,0.9082426428794863,3,0.898391842842102,rect,256,1.0,8,<function dropout at 0x7f7bbde4ca60>
82,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,1.0,16,<function dropout at 0x7f7bbde4ca60>
83,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,1.0,32,<function dropout at 0x7f7bbde4ca60>
84,0.5,0.9808708786964416,3,0.9692981839179993,rect,256,0.1,2,<function dropout at 0x7f7bbde4ca60>
85,0.5,0.9763608157634734,3,0.9649122953414917,rect,256,0.1,3,<function dropout at 0x7f7bbde4ca60>
86,0.5,0.9749610900878907,3,0.9649122953414917,rect,256,0.1,4,<function dropout at 0x7f7bbde4ca60>
87,0.5,0.9660963773727418,3,0.9546782970428467,rect,256,0.1,8,<function dropout at 0x7f7bbde4ca60>
88,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,0.1,16,<function dropout at 0x7f7bbde4ca60>
89,0.5,0.9082426428794863,3,0.8983917832374573,rect,256,0.1,32,<function dropout at 0x7f7bbde4ca60>
90,0.5,0.97122865319252,3,0.9502923488616943,rect,256,0.01,2,<function dropout at 0x7f7bbde4ca60>
91,0.5,0.9706065058708192,3,0.959064245223999,rect,256,0.01,3,<function dropout at 0x7f7bbde4ca60>
92,0.5,0.9684292256832123,3,0.9502923488616943,rect,256,0.01,4,<function dropout at 0x7f7bbde4ca60>
93,0.5,0.9357698202133179,3,0.905701756477356,rect,256,0.01,8,<function dropout at 0x7f7bbde4ca60>
94,0.5,0.9082426428794863,3,0.898391842842102,rect,256,0.01,16,<function dropout at 0x7f7bbde4ca60>
95,0.5,0.9082426428794863,3,0.898391842842102,rect,256,0.01,32,<function dropout at 0x7f7bbde4ca60>
96,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,10.0,2,<function dropout at 0x7f7bbde4ca60>
97,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,10.0,3,<function dropout at 0x7f7bbde4ca60>
98,0.5,0.9082426428794863,3,0.898391842842102,rect,512,10.0,4,<function dropout at 0x7f7bbde4ca60>
99,0.5,0.9082426428794863,3,0.898391842842102,rect,512,10.0,8,<function dropout at 0x7f7bbde4ca60>
100,0.5,0.9082426428794863,3,0.898391842842102,rect,512,10.0,16,<function dropout at 0x7f7bbde4ca60>
101,0.5,0.9082426428794863,3,0.898391842842102,rect,512,10.0,32,<function dropout at 0x7f7bbde4ca60>
102,0.5,0.9082426428794863,3,0.898391842842102,rect,512,1.0,2,<function dropout at 0x7f7bbde4ca60>
103,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,1.0,3,<function dropout at 0x7f7bbde4ca60>
104,0.5,0.9082426428794863,3,0.898391842842102,rect,512,1.0,4,<function dropout at 0x7f7bbde4ca60>
105,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,1.0,8,<function dropout at 0x7f7bbde4ca60>
106,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,1.0,16,<function dropout at 0x7f7bbde4ca60>
107,0.5,0.9082426428794863,3,0.898391842842102,rect,512,1.0,32,<function dropout at 0x7f7bbde4ca60>
108,0.5,0.9847589254379273,3,0.971491277217865,rect,512,0.1,2,<function dropout at 0x7f7bbde4ca60>
109,0.5,0.9771384179592132,3,0.9597952365875244,rect,512,0.1,3,<function dropout at 0x7f7bbde4ca60>
110,0.5,0.9772938966751098,3,0.9641811847686768,rect,512,0.1,4,<function dropout at 0x7f7bbde4ca60>
111,0.5,0.9082426428794863,3,0.898391842842102,rect,512,0.1,8,<function dropout at 0x7f7bbde4ca60>
112,0.5,0.9082426428794863,3,0.898391842842102,rect,512,0.1,16,<function dropout at 0x7f7bbde4ca60>
113,0.5,0.9082426428794863,3,0.898391842842102,rect,512,0.1,32,<function dropout at 0x7f7bbde4ca60>
114,0.5,0.9741834998130798,3,0.9627193212509155,rect,512,0.01,2,<function dropout at 0x7f7bbde4ca60>
115,0.5,0.9695178747177124,3,0.9568712711334229,rect,512,0.01,3,<function dropout at 0x7f7bbde4ca60>
116,0.5,0.965163266658783,3,0.9502923488616943,rect,512,0.01,4,<function dropout at 0x7f7bbde4ca60>
117,0.5,0.9404354333877565,3,0.9137426614761353,rect,512,0.01,8,<function dropout at 0x7f7bbde4ca60>
118,0.5,0.9082426428794863,3,0.8983917832374573,rect,512,0.01,16,<function dropout at 0x7f7bbde4ca60>
119,0.5,0.9082426428794863,3,0.898391842842102,rect,512,0.01,32,<function dropout at 0x7f7bbde4ca60>
120,0.5,0.9082426428794863,3,0.8983917832374573,rect,1024,10.0,2,<function dropout at 0x7f7bbde4ca60>
121,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,3,<function dropout at 0x7f7bbde4ca60>
122,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,4,<function dropout at 0x7f7bbde4ca60>
123,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,8,<function dropout at 0x7f7bbde4ca60>
124,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,16,<function dropout at 0x7f7bbde4ca60>
125,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,10.0,32,<function dropout at 0x7f7bbde4ca60>
126,0.5,0.9082426428794863,3,0.8983917832374573,rect,1024,1.0,2,<function dropout at 0x7f7bbde4ca60>
127,0.5,0.9082426428794863,3,0.8983917832374573,rect,1024,1.0,3,<function dropout at 0x7f7bbde4ca60>
128,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,4,<function dropout at 0x7f7bbde4ca60>
129,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,8,<function dropout at 0x7f7bbde4ca60>
130,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,16,<function dropout at 0x7f7bbde4ca60>
131,0.5,0.9082426428794863,3,0.898391842842102,rect,1024,1.0,32,<function dropout at 0x7f7bbde4ca60>
132,0.5,0.9749611139297486,3,0.9671051502227783,rect,1024,0.1,2,<function dropout at 0x7f7bbde4ca60>
133,0.5,0.9779159963130951,3,0.9619882106781006,rect,1024,0.1,3,<function dropout at 0x7f7bbde4ca60>
134,0.5,0.9707620322704313,3,0.9576022624969482,rect,1024,0.1,4,<function dropout at 0x7f7bbde4ca60>
