,nlayers,dR,activationFn,dropoutFn,testAccuracy,nstart,learningrate,layerForm,valAccuracy
0,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,256,10.0,cone,0.5349838137626649
1,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,256,1.0,cone,0.513993513584137
2,2,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,256,0.1,cone,0.9989235877990721
3,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.9995077252388,256,0.01,cone,0.9989235579967497
4,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,10.0,cone,0.5349838137626649
5,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.4820285737514496,512,1.0,cone,0.46501614749431613
6,2,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.1,cone,0.9996770799160003
7,2,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.01,cone,0.9989235997200011
8,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,10.0,cone,0.5349838137626649
9,2,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,1.0,cone,0.5349838137626649
10,2,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0,1024,0.1,cone,0.9999999999999999
11,2,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,1024,0.01,cone,0.9989235997200011
12,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179715156555176,256,10.0,cone,0.5349838137626649
13,2,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,256,1.0,cone,0.9995694398880004
14,2,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,256,0.1,cone,0.9988159179687499
15,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9886755347251892,256,0.01,cone,0.9866522669792174
16,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,10.0,cone,0.5349838137626649
17,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,1.0,cone,0.5349838137626649
18,2,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.1,cone,0.99860063791275
19,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9995077252388,512,0.01,cone,0.9967707216739655
20,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,10.0,cone,0.5349838137626649
21,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,1.0,cone,0.5349838137626649
22,2,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,1024,0.1,cone,0.9999999999999999
23,2,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9995077252388,1024,0.01,cone,0.9984929978847502
24,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.4820285439491272,256,10.0,cone,0.4650161474943162
25,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,256,1.0,cone,0.5349838137626649
26,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,256,0.1,cone,0.9989235818386077
27,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,256,0.01,cone,0.9989235818386076
28,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,10.0,cone,0.5349838137626649
29,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,1.0,cone,0.5349838137626649
30,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.1,cone,0.9999999999999999
31,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.01,cone,0.9989235937595365
32,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,10.0,cone,0.5349838137626649
33,3,0.0,3,<function dropout at 0x7f7528c2aa60>,0.4820285737514496,1024,1.0,cone,0.46501614451408385
34,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0,1024,0.1,cone,0.9999999999999999
35,3,0.0,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,1024,0.01,cone,0.9989235997200011
36,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179715156555176,256,10.0,cone,0.5349838137626649
37,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,256,1.0,cone,0.52099027633667
38,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9990153908729553,256,0.1,cone,0.9989235997200011
39,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9886754751205444,256,0.01,cone,0.980193716287613
40,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,10.0,cone,0.5349838137626649
41,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,512,1.0,cone,0.5349838137626649
42,3,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,512,0.1,cone,0.9989235997200011
43,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9896602630615234,512,0.01,cone,0.98858984708786
44,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,10.0,cone,0.5349838137626649
45,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.5179714560508728,1024,1.0,cone,0.5349838137626649
46,3,0.5,3,<function dropout at 0x7f7528c2aa60>,1.0000001192092896,1024,0.1,cone,0.9984930157661437
47,3,0.5,3,<function dropout at 0x7f7528c2aa60>,0.9990153312683105,1024,0.01,cone,0.9967707216739655
