,layerForm,nlayers,dR,testAccuracy,activationFn,learningrate,valAccuracy,dropoutFn,nstart
0,rect,2,0.0,0.1473136842250824,3,10.0,0.13469386249780657,<function dropout at 0x7f87a0772a60>,256
1,rect,2,0.0,0.1473136842250824,3,10.0,0.13469386845827103,<function dropout at 0x7f87a0772a60>,512
2,rect,2,0.0,0.1473136842250824,3,10.0,0.13469386100769043,<function dropout at 0x7f87a0772a60>,1024
3,rect,2,0.0,0.1473136842250824,3,1.0,0.13469386398792269,<function dropout at 0x7f87a0772a60>,256
4,rect,2,0.0,0.1473136842250824,3,1.0,0.13469386994838717,<function dropout at 0x7f87a0772a60>,512
5,rect,2,0.0,0.1473136842250824,3,1.0,0.13469386100769043,<function dropout at 0x7f87a0772a60>,1024
6,rect,2,0.0,0.9636048078536987,3,0.1,0.9681631684303282,<function dropout at 0x7f87a0772a60>,256
7,rect,2,0.0,0.9445406794548035,3,0.1,0.9518366873264312,<function dropout at 0x7f87a0772a60>,512
8,rect,2,0.0,0.965337872505188,3,0.1,0.9612244367599488,<function dropout at 0x7f87a0772a60>,1024
9,rect,2,0.0,0.942807674407959,3,0.01,0.9420408070087435,<function dropout at 0x7f87a0772a60>,256
10,rect,2,0.0,0.9549393057823181,3,0.01,0.9477550387382507,<function dropout at 0x7f87a0772a60>,512
11,rect,2,0.0,0.9584055542945862,3,0.01,0.959999978542328,<function dropout at 0x7f87a0772a60>,1024
12,rect,2,0.5,0.1473136991262436,3,10.0,0.13469386249780657,<function dropout at 0x7f87a0772a60>,256
13,rect,2,0.5,0.1473136842250824,3,10.0,0.13469386398792269,<function dropout at 0x7f87a0772a60>,512
14,rect,2,0.5,0.1473136842250824,3,10.0,0.13469386249780657,<function dropout at 0x7f87a0772a60>,1024
15,rect,2,0.5,0.1473136991262436,3,1.0,0.13469386100769043,<function dropout at 0x7f87a0772a60>,256
16,rect,2,0.5,0.1473136842250824,3,1.0,0.13469386994838717,<function dropout at 0x7f87a0772a60>,512
17,rect,2,0.5,0.1473136842250824,3,1.0,0.13469386398792269,<function dropout at 0x7f87a0772a60>,1024
18,rect,2,0.5,0.9514731168746948,3,0.1,0.9489795804023742,<function dropout at 0x7f87a0772a60>,256
19,rect,2,0.5,0.9497399926185608,3,0.1,0.9502040565013885,<function dropout at 0x7f87a0772a60>,512
20,rect,2,0.5,0.9618717432022095,3,0.1,0.9420407712459565,<function dropout at 0x7f87a0772a60>,1024
21,rect,2,0.5,0.9064124822616577,3,0.01,0.8869387686252594,<function dropout at 0x7f87a0772a60>,256
