,learningrate,dropoutFn,dR,testAccuracy,activationFn,layerForm,valAccuracy,nstart,nlayers
0,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,2
1,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,3
2,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,4
3,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,8
4,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,16
5,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,32
6,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,2
7,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,3
8,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,4
9,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,8
10,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,16
11,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,32
12,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,2
13,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,3
14,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,4
15,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,8
16,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,16
17,10.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,32
18,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,2
19,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,3
20,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,4
21,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,8
22,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,16
23,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,32
24,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,2
25,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,3
26,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,4
27,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,8
28,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,16
29,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,32
30,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,2
31,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,3
32,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,4
33,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,8
34,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,16
35,10.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,32
36,1.0,<function dropout at 0x7f452873ba60>,0.0,0.37735849618911743,3,cone,0.32142859697341924,256,2
37,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,3
38,1.0,<function dropout at 0x7f452873ba60>,0.0,0.1320754736661911,3,cone,0.1250000089406967,256,4
39,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,8
40,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,16
41,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,256,32
42,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,2
43,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,3
44,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,4
45,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,8
46,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,16
47,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,512,32
48,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,2
49,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,3
50,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,4
51,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,8
52,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,16
53,1.0,<function dropout at 0x7f452873ba60>,0.0,0.3207547068595886,3,cone,0.39285716414451605,1024,32
54,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,2
55,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,3
56,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,4
