,dR,nstart,learningrate,valAccuracy,activationFn,dropoutFn,nlayers,layerForm,testAccuracy
49,0.0,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
50,0.0,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
51,0.0,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
52,0.0,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
53,0.0,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
54,0.0,1024,1.0,0.06153846383094788,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4193548262119293
55,0.0,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
56,0.0,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
57,0.0,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
58,0.0,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
59,0.0,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
60,0.0,1024,0.1,0.17692308500409126,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.5161290168762207
61,0.0,1024,0.1,0.07692307978868483,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.5806451439857483
62,0.0,1024,0.1,0.16153846979141234,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4516128897666931
63,0.0,1024,0.1,0.24615385755896568,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.4193548262119293
64,0.0,1024,0.1,0.33076925277709956,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.4193548262119293
65,0.0,1024,0.1,0.30769232213497155,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.4193548262119293
66,0.0,1024,0.01,0.15384615957736966,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.5483870506286621
67,0.0,1024,0.01,0.28461540341377256,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.5161290168762207
68,0.0,1024,0.01,0.315384629368782,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.5806451439857483
69,0.0,1024,0.01,0.27692309170961377,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.5161290168762207
70,0.0,1024,0.01,0.23846155107021327,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.5483870506286621
71,0.0,1024,0.01,0.36153848916292186,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.25806450843811035
72,0.5,256,10.0,0.04615384936332703,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.25806450843811035
73,0.5,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
74,0.5,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
75,0.5,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
76,0.5,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
77,0.5,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
78,0.5,256,1.0,0.03076923191547394,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4838709533214569
79,0.5,256,1.0,0.03076923191547394,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.4193548262119293
80,0.5,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
81,0.5,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
82,0.5,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
83,0.5,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
84,0.5,256,0.1,0.3153846368193626,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4193548262119293
85,0.5,256,0.1,0.3384615629911422,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.4838709533214569
86,0.5,256,0.1,0.2923077031970024,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4516128897666931
87,0.5,256,0.1,0.03076923191547394,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.25806450843811035
88,0.5,256,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
89,0.5,256,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
90,0.5,256,0.01,0.4000000059604644,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4838709533214569
91,0.5,256,0.01,0.1461538515985012,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.32258063554763794
92,0.5,256,0.01,0.44615387916564936,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4193548262119293
93,0.5,256,0.01,0.33076924979686734,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.4193548262119293
94,0.5,256,0.01,0.3769231081008911,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.4838709533214569
95,0.5,256,0.01,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
96,0.5,512,10.0,0.03076923191547394,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4193548262119293
97,0.5,512,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
98,0.5,512,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
99,0.5,512,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
100,0.5,512,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
101,0.5,512,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
102,0.5,512,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.09677419066429138
103,0.5,512,1.0,0.04615384936332703,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.25806450843811035
104,0.5,512,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
105,0.5,512,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
106,0.5,512,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
107,0.5,512,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
