,valAccuracy,testAccuracy,dR,dropoutFn,nlayers,nstart,layerForm,learningrate,activationFn
109,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,8,256,rect,1.0,3
110,0.6164178729057312,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,8,256,rect,0.1,3
111,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,8,256,rect,0.01,3
112,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,8,512,rect,10.0,3
113,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,8,512,rect,1.0,3
114,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,8,512,rect,0.1,3
115,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,8,512,rect,0.01,3
116,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,8,1024,rect,10.0,3
117,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,8,1024,rect,1.0,3
118,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,8,1024,rect,0.1,3
119,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,8,1024,rect,0.01,3
120,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,16,256,rect,10.0,3
121,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,256,rect,1.0,3
122,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,256,rect,0.1,3
123,0.6537313222885132,0.668571412563324,0.5,<function dropout at 0x7f742e293a60>,16,256,rect,0.01,3
124,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,16,512,rect,10.0,3
125,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,16,512,rect,1.0,3
126,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,512,rect,0.1,3
127,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,512,rect,0.01,3
128,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,16,1024,rect,10.0,3
129,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,1024,rect,1.0,3
130,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,16,1024,rect,0.1,3
131,0.6402984738349916,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,16,1024,rect,0.01,3
132,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,256,rect,10.0,3
133,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,256,rect,1.0,3
134,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,256,rect,0.1,3
135,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,256,rect,0.01,3
136,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,512,rect,10.0,3
137,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,32,512,rect,1.0,3
138,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,32,512,rect,0.1,3
139,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,512,rect,0.01,3
140,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,1024,rect,10.0,3
141,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,1024,rect,1.0,3
142,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,1024,rect,0.1,3
143,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,32,1024,rect,0.01,3
