,valAccuracy,layerForm,activationFn,testAccuracy,nstart,dropoutFn,dR,nlayers,learningrate
0,0.4810126572847366,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,2,10.0
1,0.4810126572847366,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,2,1.0
2,0.5101265937089919,rect,3,0.5,256,<function dropout at 0x7fb785ac1a60>,0.0,2,0.1
3,0.5449367284774781,rect,3,0.5298913717269897,256,<function dropout at 0x7fb785ac1a60>,0.0,2,0.01
4,0.4810126513242721,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,3,10.0
5,0.4810126543045043,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,3,1.0
6,0.5436708927154541,rect,3,0.4836956858634949,256,<function dropout at 0x7fb785ac1a60>,0.0,3,0.1
7,0.5335443079471589,rect,3,0.52173912525177,256,<function dropout at 0x7fb785ac1a60>,0.0,3,0.01
8,0.4810126572847366,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,4,10.0
9,0.4810126423835754,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,4,1.0
10,0.5424050688743591,rect,3,0.4836956262588501,256,<function dropout at 0x7fb785ac1a60>,0.0,4,0.1
11,0.5164557099342346,rect,3,0.5054348111152649,256,<function dropout at 0x7fb785ac1a60>,0.0,4,0.01
12,0.48101266622543326,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,8,10.0
13,0.48101265132427207,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,8,1.0
14,0.5360759675502778,rect,3,0.4755435585975647,256,<function dropout at 0x7fb785ac1a60>,0.0,8,0.1
15,0.5645569622516632,rect,3,0.5054348111152649,256,<function dropout at 0x7fb785ac1a60>,0.0,8,0.01
16,0.48101265430450435,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,16,10.0
17,0.4810126513242721,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,16,1.0
18,0.4810126602649688,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,16,0.1
19,0.5386076211929322,rect,3,0.46739134192466736,256,<function dropout at 0x7fb785ac1a60>,0.0,16,0.01
20,0.48101266920566554,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,32,10.0
21,0.4810126572847366,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.0,32,1.0
22,0.48101265132427207,rect,3,0.4293478727340698,256,<function dropout at 0x7fb785ac1a60>,0.0,32,0.1
23,0.5417721569538116,rect,3,0.46195656061172485,256,<function dropout at 0x7fb785ac1a60>,0.0,32,0.01
24,0.48101265430450435,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.5,2,10.0
25,0.4810126572847366,rect,3,0.42934784293174744,256,<function dropout at 0x7fb785ac1a60>,0.5,2,1.0
26,0.527848094701767,rect,3,0.4945652484893799,256,<function dropout at 0x7fb785ac1a60>,0.5,2,0.1
