,activationFn,learningrate,nstart,valAccuracy,dR,nlayers,layerForm,testAccuracy,dropoutFn
0,3,10.0,256,0.7311828136444091,0.0,2,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
1,3,10.0,256,0.7311828136444091,0.0,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
2,3,10.0,256,0.7311828136444091,0.0,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
3,3,10.0,256,0.7311828136444091,0.0,8,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
4,3,10.0,256,0.26881721615791326,0.0,16,cone,0.29999998211860657,<function dropout at 0x7f14dcb86a60>
5,3,10.0,256,0.7311828136444091,0.0,32,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
6,3,10.0,256,0.7311828136444091,0.5,2,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
7,3,10.0,256,0.7311828136444091,0.5,3,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
8,3,10.0,256,0.7311828136444091,0.5,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
9,3,10.0,256,0.7311828136444091,0.5,8,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
10,3,10.0,256,0.7311828136444091,0.5,16,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
11,3,10.0,256,0.7311828136444091,0.5,32,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
12,3,10.0,512,0.7311828136444091,0.0,2,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
13,3,10.0,512,0.7311828136444091,0.0,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
14,3,10.0,512,0.7311828136444091,0.0,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
15,3,10.0,512,0.7311828136444091,0.0,8,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
16,3,10.0,512,0.63870969414711,0.0,16,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
17,3,10.0,512,0.63870969414711,0.0,32,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
18,3,10.0,512,0.7311828136444091,0.5,2,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
19,3,10.0,512,0.7311828136444091,0.5,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
20,3,10.0,512,0.7311828136444091,0.5,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
21,3,10.0,512,0.7311828136444091,0.5,8,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
22,3,10.0,512,0.7311828136444091,0.5,16,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
23,3,10.0,512,0.7311828136444091,0.5,32,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
24,3,10.0,1024,0.7311828136444091,0.0,2,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
25,3,10.0,1024,0.7311828136444091,0.0,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
26,3,10.0,1024,0.7311828136444091,0.0,4,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
27,3,10.0,1024,0.7311828136444091,0.0,8,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
28,3,10.0,1024,0.6849462538957595,0.0,16,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
29,3,10.0,1024,0.6849462538957595,0.0,32,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
30,3,10.0,1024,0.7311828136444091,0.5,2,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
31,3,10.0,1024,0.7311828136444091,0.5,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
32,3,10.0,1024,0.7311828136444091,0.5,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
33,3,10.0,1024,0.7311828136444091,0.5,8,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
34,3,10.0,1024,0.7311828136444091,0.5,16,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
35,3,10.0,1024,0.7311828136444091,0.5,32,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
36,3,1.0,256,0.7440860092639923,0.0,2,cone,0.7839999794960022,<function dropout at 0x7f14dcb86a60>
37,3,1.0,256,0.2838709771633149,0.0,3,cone,0.30000001192092896,<function dropout at 0x7f14dcb86a60>
38,3,1.0,256,0.7483870804309845,0.0,4,cone,0.7039999961853027,<function dropout at 0x7f14dcb86a60>
39,3,1.0,256,0.7548387110233306,0.0,8,cone,0.7440000176429749,<function dropout at 0x7f14dcb86a60>
40,3,1.0,256,0.7311828136444091,0.0,16,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
41,3,1.0,256,0.7279570102691649,0.0,32,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
42,3,1.0,256,0.7236559152603149,0.5,2,cone,0.7520000338554382,<function dropout at 0x7f14dcb86a60>
43,3,1.0,256,0.7107527017593384,0.5,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
44,3,1.0,256,0.6752688348293303,0.5,4,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
45,3,1.0,256,0.7311828136444091,0.5,8,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
46,3,1.0,256,0.7311828136444091,0.5,16,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
47,3,1.0,256,0.7311828136444091,0.5,32,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
48,3,1.0,512,0.7236559271812437,0.0,2,cone,0.6760000586509705,<function dropout at 0x7f14dcb86a60>
49,3,1.0,512,0.6376344263553619,0.0,3,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
50,3,1.0,512,0.7311828136444091,0.0,4,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
51,3,1.0,512,0.6849462538957595,0.0,8,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
52,3,1.0,512,0.7311828136444091,0.0,16,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
53,3,1.0,512,0.7311828136444091,0.0,32,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
54,3,1.0,512,0.69569893181324,0.5,2,cone,0.7039999961853027,<function dropout at 0x7f14dcb86a60>
55,3,1.0,512,0.6849462538957595,0.5,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
56,3,1.0,512,0.7311828136444091,0.5,4,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
57,3,1.0,512,0.7311828136444091,0.5,8,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
58,3,1.0,512,0.7311828136444091,0.5,16,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
59,3,1.0,512,0.7311828136444091,0.5,32,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
60,3,1.0,1024,0.7311828136444091,0.0,2,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
61,3,1.0,1024,0.7311828136444091,0.0,3,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
62,3,1.0,1024,0.63870969414711,0.0,4,cone,0.6999999284744263,<function dropout at 0x7f14dcb86a60>
63,3,1.0,1024,0.6849462538957595,0.0,8,cone,0.699999988079071,<function dropout at 0x7f14dcb86a60>
64,3,1.0,1024,0.7139784991741179,0.0,16,cone,0.6439999938011169,<function dropout at 0x7f14dcb86a60>
65,3,1.0,1024,0.7311828136444091,0.0,32,cone,0.7000000476837158,<function dropout at 0x7f14dcb86a60>
