,nstart,nlayers,layerForm,valAccuracy,activationFn,dropoutFn,testAccuracy,learningrate,dR
131,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
132,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
133,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
134,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
135,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
136,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
137,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
138,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
139,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
140,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
141,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
142,1024,32,rect,0.9399999856948854,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
143,1024,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
