,testAccuracy,nstart,dropoutFn,dR,valAccuracy,learningrate,activationFn,nlayers,layerForm
0,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542597,10.0,3,2,rect
1,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384701013565,10.0,3,3,rect
2,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385297060016,10.0,3,4,rect
3,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384850025177,10.0,3,8,rect
4,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384775519372,10.0,3,16,rect
5,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838477551937,10.0,3,32,rect
6,0.9638285636901855,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9881443500518801,1.0,3,2,rect
7,0.0990539938211441,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385297060016,1.0,3,3,rect
8,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384999036791,1.0,3,4,rect
9,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542597,1.0,3,8,rect
10,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838499903679,1.0,3,16,rect
11,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384999036789,1.0,3,32,rect
12,0.9643850326538086,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9859106421470641,0.1,3,2,rect
13,0.9677239060401917,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9862543284893035,0.1,3,3,rect
14,0.9671674966812134,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9862543225288389,0.1,3,4,rect
15,0.9671674370765686,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9860824525356294,0.1,3,8,rect
16,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384701013565,0.1,3,16,rect
17,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530984,0.1,3,32,rect
18,0.9627155661582947,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9771477818489076,0.01,3,2,rect
19,0.9638285636901855,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9828178584575653,0.01,3,3,rect
20,0.9638286828994751,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9862542748451232,0.01,3,4,rect
21,0.9654979705810547,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9780068695545195,0.01,3,8,rect
22,0.9560378193855286,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.9793815016746521,0.01,3,16,rect
23,0.9432387351989746,256,<function dropout at 0x7f7e98c5fa60>,0.0,0.965463948249817,0.01,3,32,rect
24,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,10.0,3,2,rect
25,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,10.0,3,3,rect
26,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385222554209,10.0,3,4,rect
27,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384850025179,10.0,3,8,rect
28,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384850025179,10.0,3,16,rect
29,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384701013565,10.0,3,32,rect
30,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384924530983,1.0,3,2,rect
31,0.0990539938211441,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385297060016,1.0,3,3,rect
32,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385222554209,1.0,3,4,rect
33,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,1.0,3,8,rect
34,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384924530983,1.0,3,16,rect
35,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542597,1.0,3,32,rect
36,0.9705063700675964,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.9881443321704865,0.1,3,2,rect
37,0.9705063104629517,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.9869415998458863,0.1,3,3,rect
38,0.9727322459220886,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.9826460540294647,0.1,3,4,rect
39,0.9632720947265625,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.976288640499115,0.1,3,8,rect
40,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838477551937,0.1,3,16,rect
41,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542596,0.1,3,32,rect
42,0.9460210800170898,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.9644329905509951,0.01,3,2,rect
43,0.9476906061172485,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.9675258040428162,0.01,3,3,rect
44,0.9515858888626099,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.968384873867035,0.01,3,4,rect
45,0.6922648549079895,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.7024055004119873,0.01,3,8,rect
46,0.11686143279075623,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.1731958732008934,0.01,3,16,rect
47,0.09905398637056351,256,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385148048403,0.01,3,32,rect
48,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530984,10.0,3,2,rect
49,0.0990539938211441,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384850025176,10.0,3,3,rect
50,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542597,10.0,3,4,rect
51,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530982,10.0,3,8,rect
52,0.0990539938211441,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384701013565,10.0,3,16,rect
53,0.0990539938211441,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530984,10.0,3,32,rect
54,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530983,1.0,3,2,rect
55,0.0990539938211441,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385148048403,1.0,3,3,rect
56,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838499903679,1.0,3,4,rect
57,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838499903679,1.0,3,8,rect
58,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384999036791,1.0,3,16,rect
59,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838522255421,1.0,3,32,rect
60,0.9710627794265747,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9879724979400637,0.1,3,2,rect
61,0.9654979705810547,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9845360517501832,0.1,3,3,rect
62,0.9654979705810547,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.985223388671875,0.1,3,4,rect
63,0.9732886552810669,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9888316094875337,0.1,3,8,rect
64,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384850025179,0.1,3,16,rect
65,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542594,0.1,3,32,rect
66,0.9610461592674255,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.977663218975067,0.01,3,2,rect
67,0.9616026282310486,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9795532405376435,0.01,3,3,rect
68,0.9699498414993286,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9879724979400637,0.01,3,4,rect
