,activationFn,valAccuracy,layerForm,nlayers,learningrate,testAccuracy,dropoutFn,dR,nstart
0,3,0.7375565767288207,cone,2,10.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.0,256
1,3,0.7375565767288207,cone,2,10.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.0,512
2,3,0.7375565767288207,cone,2,10.0,0.7796609997749329,<function dropout at 0x7f15cf700a60>,0.0,1024
3,3,0.7375565767288207,cone,2,10.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.5,256
4,3,0.7375565767288207,cone,2,10.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,512
5,3,0.7375565767288207,cone,2,10.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,1024
6,3,0.9316742122173308,cone,2,1.0,0.9077211618423462,<function dropout at 0x7f15cf700a60>,0.0,256
7,3,0.11764706671237944,cone,2,1.0,0.08286251872777939,<function dropout at 0x7f15cf700a60>,0.0,512
8,3,0.7375565767288207,cone,2,1.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.0,1024
9,3,0.15610860735177992,cone,2,1.0,0.08286251872777939,<function dropout at 0x7f15cf700a60>,0.5,256
10,3,0.7375565767288207,cone,2,1.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,512
11,3,0.7375565767288207,cone,2,1.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.5,1024
12,3,0.9248868823051452,cone,2,0.1,0.9114877581596375,<function dropout at 0x7f15cf700a60>,0.0,256
13,3,0.9239819049835204,cone,2,0.1,0.9114876985549927,<function dropout at 0x7f15cf700a60>,0.0,512
14,3,0.9144796431064605,cone,2,0.1,0.9190206527709961,<function dropout at 0x7f15cf700a60>,0.0,1024
15,3,0.8972850739955901,cone,2,0.1,0.9020715951919556,<function dropout at 0x7f15cf700a60>,0.5,256
16,3,0.8954751193523406,cone,2,0.1,0.9058379530906677,<function dropout at 0x7f15cf700a60>,0.5,512
17,3,0.8945701420307158,cone,2,0.1,0.9058380126953125,<function dropout at 0x7f15cf700a60>,0.5,1024
18,3,0.8714932203292846,cone,2,0.01,0.9058380126953125,<function dropout at 0x7f15cf700a60>,0.0,256
19,3,0.8981900513172149,cone,2,0.01,0.9114876389503479,<function dropout at 0x7f15cf700a60>,0.0,512
20,3,0.9180995523929595,cone,2,0.01,0.9077211618423462,<function dropout at 0x7f15cf700a60>,0.0,1024
21,3,0.8859728574752807,cone,2,0.01,0.8813559412956238,<function dropout at 0x7f15cf700a60>,0.5,256
22,3,0.8972850739955901,cone,2,0.01,0.8851223587989807,<function dropout at 0x7f15cf700a60>,0.5,512
23,3,0.8633484244346618,cone,2,0.01,0.8907720446586609,<function dropout at 0x7f15cf700a60>,0.5,1024
24,3,0.7375565767288207,cone,3,10.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.0,256
25,3,0.7375565767288207,cone,3,10.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.0,512
26,3,0.7375565767288207,cone,3,10.0,0.7796609997749329,<function dropout at 0x7f15cf700a60>,0.0,1024
27,3,0.7375565767288207,cone,3,10.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.5,256
28,3,0.7375565767288207,cone,3,10.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,512
29,3,0.7375565767288207,cone,3,10.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,1024
30,3,0.14253394752740858,cone,3,1.0,0.08286251872777939,<function dropout at 0x7f15cf700a60>,0.0,256
31,3,0.7375565767288207,cone,3,1.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.0,512
32,3,0.11764706671237944,cone,3,1.0,0.08286251872777939,<function dropout at 0x7f15cf700a60>,0.0,1024
33,3,0.6058823674917221,cone,3,1.0,0.7721279859542847,<function dropout at 0x7f15cf700a60>,0.5,256
34,3,0.6190045416355132,cone,3,1.0,0.7796609401702881,<function dropout at 0x7f15cf700a60>,0.5,512
35,3,0.7375565767288207,cone,3,1.0,0.7796610593795776,<function dropout at 0x7f15cf700a60>,0.5,1024
