,testAccuracy,nstart,learningrate,valAccuracy,activationFn,layerForm,nlayers,dropoutFn,dR
0,0.7000000476837158,256,10.0,0.712871253490448,3,rect,2,<function dropout at 0x7f0002571a60>,0.0
1,0.699999988079071,256,10.0,0.712871253490448,3,rect,2,<function dropout at 0x7f0002571a60>,0.5
2,0.699999988079071,256,10.0,0.712871253490448,3,rect,3,<function dropout at 0x7f0002571a60>,0.0
3,0.7000000476837158,256,10.0,0.712871253490448,3,rect,3,<function dropout at 0x7f0002571a60>,0.5
4,0.699999988079071,256,10.0,0.712871253490448,3,rect,4,<function dropout at 0x7f0002571a60>,0.0
5,0.699999988079071,256,10.0,0.712871253490448,3,rect,4,<function dropout at 0x7f0002571a60>,0.5
6,0.6999999284744263,256,10.0,0.712871253490448,3,rect,8,<function dropout at 0x7f0002571a60>,0.0
7,0.699999988079071,256,10.0,0.712871253490448,3,rect,8,<function dropout at 0x7f0002571a60>,0.5
8,0.6999999284744263,256,10.0,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.0
9,0.699999988079071,256,10.0,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.5
10,0.699999988079071,256,10.0,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.0
11,0.699999988079071,256,10.0,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.5
12,0.7000000476837158,256,1.0,0.712871253490448,3,rect,2,<function dropout at 0x7f0002571a60>,0.0
13,0.699999988079071,256,1.0,0.712871253490448,3,rect,2,<function dropout at 0x7f0002571a60>,0.5
14,0.699999988079071,256,1.0,0.712871253490448,3,rect,3,<function dropout at 0x7f0002571a60>,0.0
15,0.6999999284744263,256,1.0,0.712871253490448,3,rect,3,<function dropout at 0x7f0002571a60>,0.5
16,0.699999988079071,256,1.0,0.712871253490448,3,rect,4,<function dropout at 0x7f0002571a60>,0.0
17,0.6999999284744263,256,1.0,0.712871253490448,3,rect,4,<function dropout at 0x7f0002571a60>,0.5
18,0.7000000476837158,256,1.0,0.712871253490448,3,rect,8,<function dropout at 0x7f0002571a60>,0.0
19,0.699999988079071,256,1.0,0.712871253490448,3,rect,8,<function dropout at 0x7f0002571a60>,0.5
20,0.6999999284744263,256,1.0,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.0
21,0.7000000476837158,256,1.0,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.5
22,0.699999988079071,256,1.0,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.0
23,0.6999999284744263,256,1.0,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.5
24,0.784000039100647,256,0.1,0.7405940175056459,3,rect,2,<function dropout at 0x7f0002571a60>,0.0
25,0.7839999794960022,256,0.1,0.7435643136501312,3,rect,2,<function dropout at 0x7f0002571a60>,0.5
26,0.7680000066757202,256,0.1,0.7366336226463318,3,rect,3,<function dropout at 0x7f0002571a60>,0.0
27,0.7760000824928284,256,0.1,0.7009900689125061,3,rect,3,<function dropout at 0x7f0002571a60>,0.5
28,0.7680000066757202,256,0.1,0.7485148072242739,3,rect,4,<function dropout at 0x7f0002571a60>,0.0
29,0.7599999904632568,256,0.1,0.7079207599163057,3,rect,4,<function dropout at 0x7f0002571a60>,0.5
30,0.7480000257492065,256,0.1,0.7267326354980469,3,rect,8,<function dropout at 0x7f0002571a60>,0.0
31,0.699999988079071,256,0.1,0.7108910560607911,3,rect,8,<function dropout at 0x7f0002571a60>,0.5
32,0.699999988079071,256,0.1,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.0
33,0.7000000476837158,256,0.1,0.712871253490448,3,rect,16,<function dropout at 0x7f0002571a60>,0.5
34,0.699999988079071,256,0.1,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.0
35,0.7000000476837158,256,0.1,0.712871253490448,3,rect,32,<function dropout at 0x7f0002571a60>,0.5
36,0.8040000200271606,256,0.01,0.7118811547756195,3,rect,2,<function dropout at 0x7f0002571a60>,0.0
37,0.784000039100647,256,0.01,0.7118811547756195,3,rect,2,<function dropout at 0x7f0002571a60>,0.5
38,0.7920000553131104,256,0.01,0.7544553995132448,3,rect,3,<function dropout at 0x7f0002571a60>,0.0
