,nstart,testAccuracy,layerForm,dropoutFn,activationFn,learningrate,nlayers,dR,valAccuracy
58,512,0.499459445476532,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,32,0.0,0.4999999821186066
59,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,32,0.5,0.5144290924072266
60,512,0.9735135436058044,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,2,0.0,0.9702634632587431
61,512,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,2,0.5,0.5144290924072266
62,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,3,0.0,0.5144290924072266
63,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,3,0.5,0.5144290983676911
64,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,4,0.0,0.5144290924072266
65,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,4,0.5,0.5144290924072266
66,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,8,0.0,0.5144290924072266
67,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,8,0.5,0.5144290924072266
68,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,16,0.0,0.5028858095407486
69,512,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,16,0.5,0.5144290924072266
70,512,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,32,0.0,0.5144290924072266
71,512,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,32,0.5,0.5144290924072266
72,512,0.9794594645500183,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,2,0.0,0.9795482993125917
73,512,0.9789190292358398,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,2,0.5,0.9795482695102693
74,512,0.9751352071762085,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,3,0.0,0.9791718661785127
75,512,0.9821622371673584,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,3,0.5,0.9799246907234194
76,512,0.9789189696311951,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,4,0.0,0.9775407910346986
77,512,0.9810811281204224,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,4,0.5,0.9794228136539461
78,512,0.9751352071762085,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,8,0.0,0.9759096562862396
79,512,0.9751352071762085,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,8,0.5,0.9728983402252197
80,512,0.9767568111419678,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,16,0.0,0.9771643102169036
81,512,0.49945947527885437,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,16,0.5,0.4954830408096314
82,512,0.9729729890823364,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,32,0.0,0.9737766325473786
83,512,0.499459445476532,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,32,0.5,0.4885821640491486
84,512,0.9762163162231445,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,2,0.0,0.9811793565750124
