,layerForm,learningrate,testAccuracy,dR,nstart,dropoutFn,nlayers,activationFn,valAccuracy
34,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
35,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
36,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
37,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
38,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
39,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
40,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
41,rect,1.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
42,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
43,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
44,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
45,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
46,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
47,rect,1.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
48,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
49,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
50,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
51,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
52,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
53,rect,1.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
54,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
55,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
56,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
57,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
58,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
59,rect,1.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
60,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
61,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
62,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
63,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
64,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
65,rect,1.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
66,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
67,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
68,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
69,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
70,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
71,rect,1.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
72,rect,0.1,0.7878787517547607,0.0,256,<function dropout at 0x7f8d35e33a60>,2,3,0.8058823645114898
73,rect,0.1,0.8787878751754761,0.0,256,<function dropout at 0x7f8d35e33a60>,3,3,0.8294117748737334
74,rect,0.1,0.7272727489471436,0.0,256,<function dropout at 0x7f8d35e33a60>,4,3,0.8117647171020507
75,rect,0.1,0.8181818723678589,0.0,256,<function dropout at 0x7f8d35e33a60>,8,3,0.8352941274642943
76,rect,0.1,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
77,rect,0.1,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
78,rect,0.1,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,2,3,0.8058823645114898
79,rect,0.1,0.7575757503509521,0.0,512,<function dropout at 0x7f8d35e33a60>,3,3,0.8176470696926116
80,rect,0.1,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,4,3,0.8176470696926116
81,rect,0.1,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
82,rect,0.1,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
83,rect,0.1,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
84,rect,0.1,0.7272727489471436,0.0,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.8000000119209288
85,rect,0.1,0.7272727489471436,0.0,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.8117647171020507
86,rect,0.1,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
87,rect,0.1,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
88,rect,0.1,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
89,rect,0.1,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
90,rect,0.1,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,2,3,0.8000000178813933
91,rect,0.1,0.7272727489471436,0.5,256,<function dropout at 0x7f8d35e33a60>,3,3,0.8000000119209288
92,rect,0.1,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,4,3,0.6470588445663451
93,rect,0.1,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
94,rect,0.1,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
95,rect,0.1,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
96,rect,0.1,0.7272727489471436,0.5,512,<function dropout at 0x7f8d35e33a60>,2,3,0.8352941334247589
97,rect,0.1,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,3,3,0.6764706134796141
98,rect,0.1,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
99,rect,0.1,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
100,rect,0.1,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
101,rect,0.1,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
102,rect,0.1,0.7575757503509521,0.5,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.823529428243637
103,rect,0.1,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.5941176682710647
104,rect,0.1,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
105,rect,0.1,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
106,rect,0.1,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
107,rect,0.1,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
108,rect,0.01,0.7272727489471436,0.0,256,<function dropout at 0x7f8d35e33a60>,2,3,0.7705882489681243
109,rect,0.01,0.7272727489471436,0.0,256,<function dropout at 0x7f8d35e33a60>,3,3,0.8235294222831725
110,rect,0.01,0.7575757503509521,0.0,256,<function dropout at 0x7f8d35e33a60>,4,3,0.8235294222831725
111,rect,0.01,0.7272727489471436,0.0,256,<function dropout at 0x7f8d35e33a60>,8,3,0.8235294222831725
112,rect,0.01,0.7575757503509521,0.0,256,<function dropout at 0x7f8d35e33a60>,16,3,0.7941176593303679
113,rect,0.01,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,32,3,0.723529428243637
114,rect,0.01,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,2,3,0.7941176593303679
115,rect,0.01,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,3,3,0.8235294222831725
116,rect,0.01,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,4,3,0.7941176593303679
117,rect,0.01,0.7575757503509521,0.0,512,<function dropout at 0x7f8d35e33a60>,8,3,0.8058823645114898
118,rect,0.01,0.7272727489471436,0.0,512,<function dropout at 0x7f8d35e33a60>,16,3,0.8235294222831725
119,rect,0.01,0.6666666269302368,0.0,512,<function dropout at 0x7f8d35e33a60>,32,3,0.8294117748737334
120,rect,0.01,0.7575757503509521,0.0,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.8117647171020507
121,rect,0.01,0.8181818723678589,0.0,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.8058823645114898
122,rect,0.01,0.7878787517547607,0.0,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.8117647171020507
123,rect,0.01,0.7878787517547607,0.0,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.8235294222831725
124,rect,0.01,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.8235294222831725
125,rect,0.01,0.6666666269302368,0.0,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.8058823645114898
126,rect,0.01,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,2,3,0.8235294222831725
127,rect,0.01,0.6666666269302368,0.5,256,<function dropout at 0x7f8d35e33a60>,3,3,0.752941197156906
128,rect,0.01,0.7272727489471436,0.5,256,<function dropout at 0x7f8d35e33a60>,4,3,0.8058823764324188
129,rect,0.01,0.7575757503509521,0.5,256,<function dropout at 0x7f8d35e33a60>,8,3,0.8352941572666167
130,rect,0.01,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
131,rect,0.01,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
132,rect,0.01,0.6666666269302368,0.5,512,<function dropout at 0x7f8d35e33a60>,2,3,0.788235306739807
133,rect,0.01,0.6666666269302368,0.5,512,<function dropout at 0x7f8d35e33a60>,3,3,0.817647075653076
134,rect,0.01,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,4,3,0.7882353127002715
135,rect,0.01,0.7878787517547607,0.5,512,<function dropout at 0x7f8d35e33a60>,8,3,0.7941176652908325
136,rect,0.01,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
137,rect,0.01,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
138,rect,0.01,0.7272727489471436,0.5,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.7882353127002715
139,rect,0.01,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.7705882489681243
140,rect,0.01,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.7647058963775634
141,rect,0.01,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.8235294222831725
142,rect,0.01,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
143,rect,0.01,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
