,layerForm,learningrate,testAccuracy,dR,nstart,dropoutFn,nlayers,activationFn,valAccuracy
0,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
1,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
2,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
3,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
4,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
5,rect,10.0,0.696969747543335,0.0,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
6,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
7,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
8,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
9,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
10,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
11,rect,10.0,0.696969747543335,0.0,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
12,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
13,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
14,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
15,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
16,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
17,rect,10.0,0.696969747543335,0.0,1024,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
18,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
19,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
20,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
21,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
22,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
23,rect,10.0,0.696969747543335,0.5,256,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
24,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,2,3,0.6000000238418578
25,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
26,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
27,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
28,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,16,3,0.588235318660736
29,rect,10.0,0.696969747543335,0.5,512,<function dropout at 0x7f8d35e33a60>,32,3,0.588235318660736
30,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,2,3,0.588235318660736
31,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,3,3,0.588235318660736
32,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,4,3,0.588235318660736
33,rect,10.0,0.696969747543335,0.5,1024,<function dropout at 0x7f8d35e33a60>,8,3,0.588235318660736
