,testAccuracy,valAccuracy,dR,dropoutFn,nstart,layerForm,nlayers,learningrate,activationFn
0,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,2,10.0,3
1,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,2,1.0,3
2,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,2,0.1,3
3,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,2,0.01,3
4,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,3,10.0,3
5,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,3,1.0,3
6,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,3,0.1,3
7,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,3,0.01,3
8,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,4,10.0,3
9,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,4,1.0,3
10,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,4,0.1,3
11,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,4,0.01,3
12,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,8,10.0,3
13,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,8,1.0,3
14,0.3181818127632141,0.48181821107864387,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,8,0.1,3
15,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,8,0.01,3
16,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,16,10.0,3
17,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,16,1.0,3
18,0.3181818127632141,0.4409091174602509,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,16,0.1,3
19,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,16,0.01,3
20,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,32,10.0,3
21,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,32,1.0,3
22,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,32,0.1,3
23,0.9772727489471436,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,256,rect,32,0.01,3
24,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,2,10.0,3
25,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,2,1.0,3
26,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,2,0.1,3
27,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,2,0.01,3
28,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,3,10.0,3
29,0.3181818127632141,0.4181818425655366,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,3,1.0,3
30,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,3,0.1,3
31,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,3,0.01,3
32,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,4,10.0,3
33,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,4,1.0,3
34,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,4,0.1,3
35,0.9772727489471436,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,4,0.01,3
36,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,8,10.0,3
37,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,8,1.0,3
38,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,8,0.1,3
39,1.0,0.9999999999999999,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,8,0.01,3
40,0.3181818127632141,0.4090909361839295,0.0,<function dropout at 0x7f1d4c75aa60>,512,rect,16,10.0,3
