,learningrate,nstart,layerForm,dR,nlayers,dropoutFn,valAccuracy,testAccuracy,activationFn
0,10.0,256,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
1,10.0,256,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
2,10.0,256,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
3,10.0,256,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
4,10.0,256,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
5,10.0,256,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
6,10.0,256,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.363333374261856,0.5384615659713745,3
7,10.0,256,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
8,10.0,256,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
9,10.0,256,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
10,10.0,256,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
11,10.0,256,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
12,10.0,512,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
13,10.0,512,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
14,10.0,512,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
15,10.0,512,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
16,10.0,512,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
17,10.0,512,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
18,10.0,512,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
19,10.0,512,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
20,10.0,512,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
21,10.0,512,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
22,10.0,512,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
23,10.0,512,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
24,10.0,1024,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
25,10.0,1024,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
26,10.0,1024,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
27,10.0,1024,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
28,10.0,1024,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
29,10.0,1024,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.5333333969116211,0.46153849363327026,3
30,10.0,1024,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
31,10.0,1024,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
32,10.0,1024,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
33,10.0,1024,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
34,10.0,1024,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
