,nlayers,testAccuracy,nstart,activationFn,learningrate,layerForm,valAccuracy,dR,dropoutFn
0,2,0.6146788597106934,256,3,10.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
1,2,0.6146788597106934,256,3,10.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
2,2,0.6146788597106934,256,3,1.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
3,2,0.6146788597106934,256,3,1.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
4,2,0.6146788597106934,256,3,0.1,rect,0.6666667103767394,0.0,<function dropout at 0x7fcdcde2ba60>
5,2,0.5321100354194641,256,3,0.1,rect,0.6277778267860413,0.5,<function dropout at 0x7fcdcde2ba60>
6,2,0.6146788597106934,256,3,0.01,rect,0.5833333134651185,0.0,<function dropout at 0x7fcdcde2ba60>
7,2,0.5871558785438538,256,3,0.01,rect,0.6027778029441835,0.5,<function dropout at 0x7fcdcde2ba60>
8,2,0.6146788597106934,512,3,10.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
9,2,0.6146788597106934,512,3,10.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
10,2,0.6146788597106934,512,3,1.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
11,2,0.6146788597106934,512,3,1.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
12,2,0.5412843823432922,512,3,0.1,rect,0.6388889133930207,0.0,<function dropout at 0x7fcdcde2ba60>
13,2,0.5321100354194641,512,3,0.1,rect,0.6388889253139496,0.5,<function dropout at 0x7fcdcde2ba60>
14,2,0.6055045127868652,512,3,0.01,rect,0.5888888835906984,0.0,<function dropout at 0x7fcdcde2ba60>
15,2,0.5596330165863037,512,3,0.01,rect,0.6055555582046509,0.5,<function dropout at 0x7fcdcde2ba60>
16,2,0.6146788597106934,1024,3,10.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
17,2,0.6146788597106934,1024,3,10.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
18,2,0.6146788597106934,1024,3,1.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
19,2,0.6146788597106934,1024,3,1.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
20,2,0.5779816508293152,1024,3,0.1,rect,0.6333333551883699,0.0,<function dropout at 0x7fcdcde2ba60>
21,2,0.60550457239151,1024,3,0.1,rect,0.6111111462116241,0.5,<function dropout at 0x7fcdcde2ba60>
22,2,0.5963302254676819,1024,3,0.01,rect,0.6583333551883699,0.0,<function dropout at 0x7fcdcde2ba60>
23,2,0.5688073039054871,1024,3,0.01,rect,0.6055555641651154,0.5,<function dropout at 0x7fcdcde2ba60>
24,3,0.6146788597106934,256,3,10.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
25,3,0.6146788597106934,256,3,10.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
26,3,0.6146788597106934,256,3,1.0,rect,0.6666666865348815,0.0,<function dropout at 0x7fcdcde2ba60>
27,3,0.6146788597106934,256,3,1.0,rect,0.6666666865348815,0.5,<function dropout at 0x7fcdcde2ba60>
28,3,0.5871558785438538,256,3,0.1,rect,0.6694444715976714,0.0,<function dropout at 0x7fcdcde2ba60>
29,3,0.5321100354194641,256,3,0.1,rect,0.6138889253139496,0.5,<function dropout at 0x7fcdcde2ba60>
30,3,0.6238531470298767,256,3,0.01,rect,0.6472222387790678,0.0,<function dropout at 0x7fcdcde2ba60>
