,dR,dropoutFn,layerForm,nstart,learningrate,testAccuracy,valAccuracy,activationFn,nlayers
0,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,2
1,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,3
2,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,4
3,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,8
4,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,16
5,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,10.0,0.31578946113586426,0.43750000000000006,3,32
6,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,2
7,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,3
8,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,4
9,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,8
10,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,16
11,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,1.0,0.31578946113586426,0.43750000000000006,3,32
12,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.44736841320991516,0.42500000000000004,3,2
13,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.4736842215061188,0.44375000000000003,3,3
14,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.5789473652839661,0.44375,3,4
15,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.28947368264198303,0.39375,3,8
16,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.31578946113586426,0.43750000000000006,3,16
17,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.1,0.31578946113586426,0.43750000000000006,3,32
18,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.5263158082962036,0.48749999999999993,3,2
19,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.3947368562221527,0.45625000000000004,3,3
20,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.5,0.49375,3,4
21,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.5,0.4,3,8
22,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.5263158082962036,0.3625,3,16
23,0.0,<function dropout at 0x7f6c08e91a60>,rect,256,0.01,0.6315789818763733,0.38749999999999996,3,32
24,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,2
25,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,3
26,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,4
27,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,8
28,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,16
29,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,10.0,0.31578946113586426,0.43750000000000006,3,32
30,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,1.0,0.31578946113586426,0.43750000000000006,3,2
31,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,1.0,0.31578946113586426,0.43750000000000006,3,3
32,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,1.0,0.31578946113586426,0.43750000000000006,3,4
33,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,1.0,0.31578946113586426,0.43750000000000006,3,8
34,0.0,<function dropout at 0x7f6c08e91a60>,rect,512,1.0,0.31578946113586426,0.43750000000000006,3,16
