,dropoutFn,testAccuracy,activationFn,valAccuracy,layerForm,nlayers,learningrate,dR,nstart
19,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9062015056610109,rect,2,0.01,0.0,512
20,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9271317481994628,rect,2,0.01,0.0,1024
21,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8775193810462951,rect,2,0.01,0.5,256
22,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.878294551372528,rect,2,0.01,0.5,512
23,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8899224340915678,rect,2,0.01,0.5,1024
24,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.0,256
25,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.0,512
26,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.0,1024
27,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.5,256
28,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.5,512
29,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,3,10.0,0.5,1024
30,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.021705425903201105,rect,3,1.0,0.0,256
31,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.013178294524550438,rect,3,1.0,0.0,512
32,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,3,1.0,0.0,1024
33,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,3,1.0,0.5,256
34,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,3,1.0,0.5,512
35,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,3,1.0,0.5,1024
36,<function dropout at 0x7f5ae6e12a60>,0.75,3,0.9410852432250978,rect,3,0.1,0.0,256
37,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9341084957122805,rect,3,0.1,0.0,512
38,<function dropout at 0x7f5ae6e12a60>,0.7699999809265137,3,0.9325581133365631,rect,3,0.1,0.0,1024
39,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8627906799316407,rect,3,0.1,0.5,256
40,<function dropout at 0x7f5ae6e12a60>,0.75,3,0.8387597024440766,rect,3,0.1,0.5,512
41,<function dropout at 0x7f5ae6e12a60>,0.75,3,0.8682170271873474,rect,3,0.1,0.5,1024
42,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9124030590057374,rect,3,0.01,0.0,256
43,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9294573307037352,rect,3,0.01,0.0,512
44,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9356588840484621,rect,3,0.01,0.0,1024
45,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8565891027450563,rect,3,0.01,0.5,256
46,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8573642909526826,rect,3,0.01,0.5,512
47,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8302325785160064,rect,3,0.01,0.5,1024
48,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.0,256
49,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.0,512
50,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.0,1024
51,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.5,256
52,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.5,512
53,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,10.0,0.5,1024
54,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,4,1.0,0.0,256
