,layerForm,testAccuracy,dR,dropoutFn,valAccuracy,activationFn,nstart,nlayers,learningrate
0,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,256,2,10.0
1,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,256,2,1.0
2,rect,0.996604859828949,0.0,<function dropout at 0x7f3ba2b0da60>,0.9973262786865237,3,256,2,0.1
3,rect,0.9774690866470337,0.0,<function dropout at 0x7f3ba2b0da60>,0.9713236451148987,3,256,2,0.01
4,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893048405647287,3,256,3,10.0
5,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893048107624064,3,256,3,1.0
6,rect,0.9984567165374756,0.0,<function dropout at 0x7f3ba2b0da60>,0.9981284260749819,3,256,3,0.1
7,rect,0.9882714748382568,0.0,<function dropout at 0x7f3ba2b0da60>,0.9826872646808624,3,256,3,0.01
8,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489305227994919,3,256,4,10.0
9,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304870367051,3,256,4,1.0
10,rect,0.9975308775901794,0.0,<function dropout at 0x7f3ba2b0da60>,0.9983289837837221,3,256,4,0.1
11,rect,0.9941357374191284,0.0,<function dropout at 0x7f3ba2b0da60>,0.9935161113739015,3,256,4,0.01
12,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,8,10.0
13,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,256,8,1.0
14,rect,0.999382734298706,0.0,<function dropout at 0x7f3ba2b0da60>,0.9981952786445619,3,256,8,0.1
15,rect,0.9969134330749512,0.0,<function dropout at 0x7f3ba2b0da60>,0.9979947209358218,3,256,8,0.01
16,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489305227994919,3,256,16,10.0
17,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,256,16,1.0
18,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,16,0.1
19,rect,0.995987594127655,0.0,<function dropout at 0x7f3ba2b0da60>,0.9962567865848542,3,256,16,0.01
20,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,32,10.0
21,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489305078983307,3,256,32,1.0
22,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,256,32,0.1
23,rect,0.9947530031204224,0.0,<function dropout at 0x7f3ba2b0da60>,0.9967247128486635,3,256,32,0.01
24,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304840564728,3,512,2,10.0
25,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893047809600836,3,512,2,1.0
26,rect,0.9975308775901794,0.0,<function dropout at 0x7f3ba2b0da60>,0.9979947268962862,3,512,2,0.1
27,rect,0.9851851463317871,0.0,<function dropout at 0x7f3ba2b0da60>,0.9772059857845306,3,512,2,0.01
28,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050789833074,3,512,3,10.0
29,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,512,3,1.0
30,rect,0.9978394508361816,0.0,<function dropout at 0x7f3ba2b0da60>,0.997927910089493,3,512,3,0.1
31,rect,0.9916665554046631,0.0,<function dropout at 0x7f3ba2b0da60>,0.9907086431980132,3,512,3,0.01
32,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893048703670504,3,512,4,10.0
33,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,512,4,1.0
34,rect,0.9981480240821838,0.0,<function dropout at 0x7f3ba2b0da60>,0.9987300336360934,3,512,4,0.1
35,rect,0.9935184717178345,0.0,<function dropout at 0x7f3ba2b0da60>,0.9933156311511993,3,512,4,0.01
36,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,8,10.0
37,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893048107624064,3,512,8,1.0
38,rect,0.9978393912315369,0.0,<function dropout at 0x7f3ba2b0da60>,0.9985963404178622,3,512,8,0.1
39,rect,0.9959876537322998,0.0,<function dropout at 0x7f3ba2b0da60>,0.9971925914287569,3,512,8,0.01
40,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,16,10.0
41,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893049001693727,3,512,16,1.0
42,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,16,0.1
43,rect,0.9950616359710693,0.0,<function dropout at 0x7f3ba2b0da60>,0.9976605355739596,3,512,16,0.01
44,rect,0.33364200592041016,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,512,32,10.0
