,learningrate,nstart,valAccuracy,dropoutFn,activationFn,testAccuracy,dR,layerForm,nlayers
48,1.0,512,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
49,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,3
50,1.0,512,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,4
51,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
52,1.0,512,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,16
53,1.0,512,0.5125000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,32
54,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
55,1.0,512,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,3
56,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,4
57,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
58,1.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
59,1.0,512,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
60,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
61,1.0,1024,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,3
62,1.0,1024,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,4
63,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
64,1.0,1024,0.5250000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,16
65,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,32
66,1.0,1024,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
67,1.0,1024,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.3263888955116272,0.5,cone,3
68,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,4
69,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
70,1.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
71,1.0,1024,0.5125000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
