,valAccuracy,testAccuracy,dropoutFn,learningrate,nstart,dR,activationFn,layerForm,nlayers
0,0.17721517980098725,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,2
1,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,3
2,0.1772151812911034,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,4
3,0.17721517831087114,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,8
4,0.1772151827812195,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,16
5,0.17721518874168396,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.0,3,cone,32
6,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,2
7,0.17721518725156785,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,3
8,0.17721518874168396,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,4
9,0.17721517980098728,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,8
10,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,16
11,0.17721517682075505,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,256,0.5,3,cone,32
12,0.17721518427133562,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,2
13,0.1772151827812195,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,3
14,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,4
15,0.1772151812911034,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,8
16,0.17721518725156785,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,16
17,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.0,3,cone,32
18,0.17721518427133562,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,2
19,0.1772151842713356,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,3
20,0.17721519023180007,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,4
21,0.17721518725156785,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,8
22,0.1772151812911034,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,16
23,0.17721518427133562,0.1807909458875656,<function dropout at 0x7f6b44b92a60>,10.0,512,0.5,3,cone,32
24,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,2
25,0.17721517980098728,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,3
26,0.1772151827812195,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,4
27,0.17721518725156787,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,8
28,0.17721518278121948,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,16
29,0.17721518874168396,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.0,3,cone,32
30,0.1772151827812195,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.5,3,cone,2
31,0.17721518576145173,0.1807909607887268,<function dropout at 0x7f6b44b92a60>,10.0,1024,0.5,3,cone,3
