,activationFn,layerForm,nstart,dropoutFn,learningrate,testAccuracy,nlayers,valAccuracy,dR
0,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,2,0.695121943950653,0.0
1,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,2,0.695121943950653,0.5
2,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,3,0.695121943950653,0.0
3,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,3,0.695121943950653,0.5
4,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.3489583432674408,4,0.3048780262470246,0.0
5,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,4,0.695121943950653,0.5
6,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,8,0.695121943950653,0.0
7,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,8,0.695121943950653,0.5
8,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,16,0.6170731604099273,0.0
9,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,16,0.695121943950653,0.5
10,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.3489583432674408,32,0.6170731604099273,0.0
11,3,cone,256,<function dropout at 0x7f91d8547a60>,10.0,0.6510416865348816,32,0.695121943950653,0.5
12,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.7291667461395264,2,0.6865853369235992,0.0
13,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.5677083730697632,2,0.6365853488445282,0.5
14,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.6614583730697632,3,0.6170731604099273,0.0
15,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.6510416865348816,3,0.695121943950653,0.5
16,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.6510416865348816,4,0.695121943950653,0.0
17,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.3489583432674408,4,0.5780487686395644,0.5
18,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.6510416865348816,8,0.6963414549827575,0.0
19,3,cone,256,<function dropout at 0x7f91d8547a60>,1.0,0.6510416865348816,8,0.695121943950653,0.5
