,testAccuracy,activationFn,valAccuracy,layerForm,learningrate,dropoutFn,nlayers,dR,nstart
0,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,256
1,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,512
2,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,1024
3,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,256
4,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,512
5,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,1024
6,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,256
7,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,512
8,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,1024
9,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,256
10,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,512
11,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,1024
12,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,256
13,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,512
14,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,1024
15,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,256
16,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,512
17,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,1024
18,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,256
19,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,512
20,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,1024
21,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,256
22,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,512
23,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,1024
24,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,256
25,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,512
26,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,1024
27,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,256
28,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,512
29,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,1024
30,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,256
31,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,512
32,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,1024
33,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,256
34,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,512
35,0.0996578186750412,3,0.09411404281854631,rect,10.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,1024
36,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,256
37,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,512
38,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.0,1024
39,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,256
40,0.12817223370075226,3,0.13540773019194605,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,512
41,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,2,0.5,1024
42,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,256
43,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,512
44,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.0,1024
45,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,256
46,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,512
47,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,3,0.5,1024
48,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,256
49,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,512
50,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.0,1024
51,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,256
52,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,512
53,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,4,0.5,1024
54,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,256
55,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,512
56,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.0,1024
57,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,256
58,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,512
59,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,8,0.5,1024
