,nstart,valAccuracy,learningrate,testAccuracy,activationFn,nlayers,layerForm,dropoutFn,dR
0,256,0.757575750350952,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
1,256,0.757575750350952,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
2,256,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
3,256,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
4,256,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
5,256,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
6,256,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
7,256,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
8,256,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
9,256,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
10,256,0.757575750350952,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
11,256,0.757575750350952,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
12,256,0.7272727489471434,1.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
13,256,0.757575750350952,1.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
14,256,0.757575750350952,1.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
15,256,0.757575750350952,1.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
16,256,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
17,256,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
18,256,0.7060606002807617,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
19,256,0.757575750350952,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
20,256,0.757575750350952,1.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
21,256,0.757575750350952,1.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
22,256,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
23,256,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
24,256,0.9303030788898468,0.1,0.8311688899993896,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
25,256,0.9333333730697632,0.1,0.8831169009208679,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
26,256,0.9272727489471436,0.1,0.8701298832893372,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
27,256,0.9272727489471435,0.1,0.8831169009208679,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
28,256,0.8939393758773805,0.1,0.8311688899993896,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
29,256,0.9090909004211427,0.1,0.8961039185523987,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
30,256,0.9121212363243103,0.1,0.8571428656578064,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
31,256,0.757575750350952,0.1,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
32,256,0.8787878811359406,0.1,0.8311688303947449,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
33,256,0.757575750350952,0.1,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
34,256,0.9090909004211427,0.1,0.7662338018417358,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
