,nstart,valAccuracy,learningrate,testAccuracy,activationFn,nlayers,layerForm,dropoutFn,dR
35,256,0.757575750350952,0.1,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
36,256,0.9090908765792848,0.01,0.8311688303947449,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
37,256,0.9090908765792848,0.01,0.8571428656578064,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
38,256,0.9090908765792848,0.01,0.8831169009208679,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
39,256,0.9121211886405947,0.01,0.8831169009208679,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
40,256,0.9060605764389039,0.01,0.8311688899993896,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
41,256,0.8303030729293824,0.01,0.7142857313156128,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
42,256,0.9333333730697632,0.01,0.8571428656578064,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
43,256,0.7696969747543334,0.01,0.6623376607894897,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
44,256,0.8666666746139527,0.01,0.8051947951316833,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
45,256,0.757575750350952,0.01,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
46,256,0.9242424368858337,0.01,0.8441558480262756,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
47,256,0.757575750350952,0.01,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
48,512,0.7272727489471434,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
49,512,0.757575750350952,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
50,512,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
51,512,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
52,512,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
53,512,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
54,512,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
55,512,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
56,512,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
57,512,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
58,512,0.6030303001403808,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
59,512,0.757575750350952,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
60,512,0.2848484873771667,1.0,0.3246753215789795,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
61,512,0.757575750350952,1.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
62,512,0.24242424964904782,1.0,0.3246753215789795,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
63,512,0.757575750350952,1.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
64,512,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
65,512,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
66,512,0.7060606002807617,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
67,512,0.757575750350952,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
68,512,0.757575750350952,1.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
69,512,0.757575750350952,1.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
70,512,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
71,512,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
72,512,0.9030302762985231,0.1,0.8701298832893372,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
73,512,0.9303030610084533,0.1,0.8701298832893372,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
74,512,0.9060605764389039,0.1,0.8051948547363281,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
75,512,0.9333333730697632,0.1,0.8961039185523987,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
76,512,0.8969696998596193,0.1,0.8571428656578064,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
77,512,0.842424261569977,0.1,0.7792207598686218,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
78,512,0.8939393818378449,0.1,0.8181818127632141,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
79,512,0.757575750350952,0.1,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
80,512,0.8696969747543336,0.1,0.8441558480262756,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
81,512,0.757575750350952,0.1,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
82,512,0.8939394056797028,0.1,0.8961039185523987,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
83,512,0.757575750350952,0.1,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
84,512,0.9090908765792848,0.01,0.8701298832893372,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
85,512,0.9030302762985231,0.01,0.8961039185523987,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
86,512,0.9090908765792848,0.01,0.8441559076309204,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
87,512,0.881818175315857,0.01,0.8571428656578064,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
88,512,0.9090908765792848,0.01,0.8831169009208679,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
89,512,0.839393973350525,0.01,0.7272727489471436,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
90,512,0.8969696998596193,0.01,0.8831169009208679,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
91,512,0.757575750350952,0.01,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
92,512,0.8878787755966188,0.01,0.8441558480262756,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
93,512,0.757575750350952,0.01,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
94,512,0.8484848618507387,0.01,0.8051948547363281,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
95,512,0.757575750350952,0.01,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
96,1024,0.757575750350952,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
97,1024,0.757575750350952,10.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
98,1024,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
99,1024,0.757575750350952,10.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
100,1024,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
101,1024,0.757575750350952,10.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
102,1024,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
103,1024,0.757575750350952,10.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
104,1024,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
105,1024,0.757575750350952,10.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
106,1024,0.757575750350952,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
107,1024,0.757575750350952,10.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
108,1024,0.757575750350952,1.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
109,1024,0.757575750350952,1.0,0.6753246784210205,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
110,1024,0.757575750350952,1.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
111,1024,0.757575750350952,1.0,0.6753246784210205,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
112,1024,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
113,1024,0.757575750350952,1.0,0.6753246784210205,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
114,1024,0.757575750350952,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
115,1024,0.757575750350952,1.0,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
116,1024,0.7878787994384765,1.0,0.8051948547363281,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
117,1024,0.757575750350952,1.0,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
118,1024,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
119,1024,0.757575750350952,1.0,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
120,1024,0.8909090757369996,0.1,0.8441558480262756,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
121,1024,0.8939393758773805,0.1,0.8831169009208679,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
122,1024,0.8969696760177613,0.1,0.8701298832893372,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
123,1024,0.8878787755966188,0.1,0.8311688303947449,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
124,1024,0.8969696760177613,0.1,0.8831169009208679,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
125,1024,0.8878787755966188,0.1,0.8441558480262756,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
126,1024,0.8878787755966188,0.1,0.8831169009208679,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
127,1024,0.7606060564517974,0.1,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
128,1024,0.757575750350952,0.1,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
129,1024,0.757575750350952,0.1,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
130,1024,0.8545454621315004,0.1,0.7532467842102051,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
131,1024,0.757575750350952,0.1,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
132,1024,0.8969696760177613,0.01,0.8441558480262756,3,2,cone,<function dropout at 0x7fad417e0a60>,0.0
133,1024,0.8696969747543336,0.01,0.8831169009208679,3,2,cone,<function dropout at 0x7fad417e0a60>,0.5
134,1024,0.9030302762985231,0.01,0.8441558480262756,3,3,cone,<function dropout at 0x7fad417e0a60>,0.0
135,1024,0.8757575750350953,0.01,0.8051947951316833,3,3,cone,<function dropout at 0x7fad417e0a60>,0.5
136,1024,0.9090908765792848,0.01,0.8441558480262756,3,4,cone,<function dropout at 0x7fad417e0a60>,0.0
137,1024,0.9090908765792848,0.01,0.9090909361839294,3,4,cone,<function dropout at 0x7fad417e0a60>,0.5
138,1024,0.8939393818378449,0.01,0.8831169009208679,3,8,cone,<function dropout at 0x7fad417e0a60>,0.0
139,1024,0.757575750350952,0.01,0.6753246784210205,3,8,cone,<function dropout at 0x7fad417e0a60>,0.5
140,1024,0.9242424488067627,0.01,0.8311688303947449,3,16,cone,<function dropout at 0x7fad417e0a60>,0.0
141,1024,0.7636363625526427,0.01,0.6753246784210205,3,16,cone,<function dropout at 0x7fad417e0a60>,0.5
142,1024,0.8575757741928102,0.01,0.8311688303947449,3,32,cone,<function dropout at 0x7fad417e0a60>,0.0
143,1024,0.7545454502105712,0.01,0.6753246784210205,3,32,cone,<function dropout at 0x7fad417e0a60>,0.5
