,dR,valAccuracy,nlayers,layerForm,testAccuracy,dropoutFn,learningrate,nstart,activationFn
28,0.0,0.41999999582767483,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
29,0.0,0.41999999284744255,4,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,1024,3
30,0.0,0.7820000112056732,4,rect,0.8289473652839661,<function dropout at 0x7f41091aca60>,0.1,256,3
31,0.0,0.780000001192093,4,rect,0.8640351295471191,<function dropout at 0x7f41091aca60>,0.1,512,3
32,0.0,0.7959999918937684,4,rect,0.824561357498169,<function dropout at 0x7f41091aca60>,0.1,1024,3
33,0.0,0.7610000133514405,4,rect,0.8026316165924072,<function dropout at 0x7f41091aca60>,0.01,256,3
34,0.0,0.7860000073909759,4,rect,0.8289473652839661,<function dropout at 0x7f41091aca60>,0.01,512,3
35,0.0,0.7670000314712525,4,rect,0.8421052694320679,<function dropout at 0x7f41091aca60>,0.01,1024,3
36,0.0,0.41999999880790706,8,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,256,3
37,0.0,0.42000000476837157,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,512,3
38,0.0,0.42000000178813923,8,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,1024,3
39,0.0,0.4199999868869781,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
40,0.0,0.41999999880790706,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
41,0.0,0.41999999582767483,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,1024,3
42,0.0,0.7740000069141388,8,rect,0.8508772253990173,<function dropout at 0x7f41091aca60>,0.1,256,3
43,0.0,0.4200000047683715,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
44,0.0,0.4200000047683715,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,1024,3
45,0.0,0.8059999942779541,8,rect,0.8640351295471191,<function dropout at 0x7f41091aca60>,0.01,256,3
46,0.0,0.7890000164508821,8,rect,0.8201754093170166,<function dropout at 0x7f41091aca60>,0.01,512,3
47,0.0,0.818999993801117,8,rect,0.8684210181236267,<function dropout at 0x7f41091aca60>,0.01,1024,3
48,0.0,0.4199999928474426,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,256,3
49,0.0,0.4200000047683715,16,rect,0.4210526645183563,<function dropout at 0x7f41091aca60>,10.0,512,3
50,0.0,0.4199999898672103,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,1024,3
51,0.0,0.4199999868869781,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,256,3
52,0.0,0.41999999880790706,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
53,0.0,0.4199999868869781,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,1024,3
54,0.0,0.4309999883174896,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,256,3
55,0.0,0.4359999805688857,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
56,0.0,0.41999999582767483,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,0.1,1024,3
57,0.0,0.8020000100135805,16,rect,0.8114034533500671,<function dropout at 0x7f41091aca60>,0.01,256,3
58,0.0,0.8209999978542327,16,rect,0.8201754689216614,<function dropout at 0x7f41091aca60>,0.01,512,3
59,0.0,0.7969999969005584,16,rect,0.815789520740509,<function dropout at 0x7f41091aca60>,0.01,1024,3
60,0.0,0.4199999898672103,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,256,3
61,0.0,0.4199999868869781,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,512,3
62,0.0,0.4200000017881393,32,rect,0.4210526645183563,<function dropout at 0x7f41091aca60>,10.0,1024,3
63,0.0,0.4200000017881393,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
64,0.0,0.41999999880790706,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,512,3
65,0.0,0.4200000017881393,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,1024,3
66,0.0,0.41999999880790706,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,256,3
67,0.0,0.4199999868869781,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
68,0.0,0.4200000077486038,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,1024,3
69,0.0,0.7840000033378601,32,rect,0.7105262875556946,<function dropout at 0x7f41091aca60>,0.01,256,3
70,0.0,0.7790000200271606,32,rect,0.8157894611358643,<function dropout at 0x7f41091aca60>,0.01,512,3
