,testAccuracy,dR,layerForm,nstart,activationFn,nlayers,learningrate,dropoutFn,valAccuracy
0,0.3312000036239624,0.0,cone,256,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
1,0.3287999629974365,0.0,cone,256,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3295668542385102
2,0.8463999629020691,0.0,cone,256,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.8435027956962585
3,0.843999981880188,0.0,cone,256,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8408662617206573
4,0.3312000036239624,0.0,cone,256,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.31261771321296694
5,0.3312000036239624,0.0,cone,256,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
6,0.840799868106842,0.0,cone,256,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8442560851573945
7,0.8424000144004822,0.0,cone,256,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.8580037355422973
8,0.3312000036239624,0.0,cone,256,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
9,0.3312000036239624,0.0,cone,256,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
10,0.8495998978614807,0.0,cone,256,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.8418078780174255
11,0.8479999899864197,0.0,cone,256,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8419961988925935
12,0.3312000036239624,0.0,cone,256,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
13,0.3312000036239624,0.0,cone,256,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
14,0.8519999980926514,0.0,cone,256,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.8354048669338228
15,0.848800003528595,0.0,cone,256,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.8593220114707948
16,0.3312000036239624,0.0,cone,256,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
17,0.3399999737739563,0.0,cone,256,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.33747644424438483
18,0.8423998951911926,0.0,cone,256,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.8367231428623199
19,0.8327999711036682,0.0,cone,256,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.8354048669338227
20,0.33119997382164,0.0,cone,256,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
21,0.3312000036239624,0.0,cone,256,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
22,0.8007999658584595,0.0,cone,256,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.8109227538108825
23,0.8367999792098999,0.0,cone,256,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.826365327835083
24,0.3312000036239624,0.0,cone,512,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
25,0.3312000036239624,0.0,cone,512,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
26,0.8464000225067139,0.0,cone,512,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.847645902633667
27,0.8384000062942505,0.0,cone,512,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8553671956062316
28,0.3312000036239624,0.0,cone,512,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
29,0.3287999629974365,0.0,cone,512,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.3295668661594391
30,0.8487998843193054,0.0,cone,512,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8491525292396546
31,0.8479999303817749,0.0,cone,512,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.8519773721694945
32,0.3312000036239624,0.0,cone,512,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
33,0.3312000036239624,0.0,cone,512,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
34,0.8383999466896057,0.0,cone,512,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.8386063933372497
35,0.8511999845504761,0.0,cone,512,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8487758398056031
36,0.3312000036239624,0.0,cone,512,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
37,0.33119997382164,0.0,cone,512,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
38,0.8487999439239502,0.0,cone,512,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.8403012871742249
39,0.8431999683380127,0.0,cone,512,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.8429378330707551
40,0.3312000036239624,0.0,cone,512,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
41,0.3312000036239624,0.0,cone,512,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
42,0.8295999765396118,0.0,cone,512,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.8410545825958252
43,0.8375999331474304,0.0,cone,512,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.843126118183136
44,0.3312000036239624,0.0,cone,512,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
45,0.3400000035762787,0.0,cone,512,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3419962346553803
46,0.8039999604225159,0.0,cone,512,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.6689265429973602
47,0.8311999440193176,0.0,cone,512,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.8320150375366211
48,0.3312000036239624,0.0,cone,1024,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
49,0.3312000036239624,0.0,cone,1024,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
50,0.8535999655723572,0.0,cone,1024,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.8450093805789948
51,0.845599889755249,0.0,cone,1024,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8553671896457672
52,0.3311999440193176,0.0,cone,1024,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
53,0.3399999737739563,0.0,cone,1024,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.357815432548523
54,0.8455999493598938,0.0,cone,1024,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8455743610858918
55,0.8439998626708984,0.0,cone,1024,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.851035737991333
56,0.3312000036239624,0.0,cone,1024,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
57,0.3312000036239624,0.0,cone,1024,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
58,0.8247999548912048,0.0,cone,1024,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.8380414009094238
59,0.8511999845504761,0.0,cone,1024,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8531073212623596
60,0.3312000036239624,0.0,cone,1024,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
61,0.3312000036239624,0.0,cone,1024,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
62,0.8456000089645386,0.0,cone,1024,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.8401129722595215
63,0.8527999520301819,0.0,cone,1024,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.8450093746185304
64,0.3312000036239624,0.0,cone,1024,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
65,0.3399999737739563,0.0,cone,1024,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.3414312362670898
66,0.8511999845504761,0.0,cone,1024,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.8370997726917266
67,0.8431999683380127,0.0,cone,1024,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.8421845078468322
68,0.3312000036239624,0.0,cone,1024,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
69,0.3400000035762787,0.0,cone,1024,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3414312601089478
70,0.7551999688148499,0.0,cone,1024,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.7472692787647247
71,0.8007999658584595,0.0,cone,1024,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.81450092792511
72,0.3312000036239624,0.5,cone,256,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
73,0.3312000036239624,0.5,cone,256,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
74,0.8335999846458435,0.5,cone,256,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.8463276386260987
75,0.8559999465942383,0.5,cone,256,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8627118468284608
76,0.3312000036239624,0.5,cone,256,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
77,0.3287999629974365,0.5,cone,256,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.33239173889160156
78,0.834399938583374,0.5,cone,256,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8435027956962586
79,0.8400000333786011,0.5,cone,256,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.8457626640796663
80,0.3312000036239624,0.5,cone,256,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
81,0.3312000036239624,0.5,cone,256,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
82,0.8431999683380127,0.5,cone,256,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.85160071849823
83,0.8288000226020813,0.5,cone,256,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8297551572322845
84,0.3312000036239624,0.5,cone,256,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
85,0.3312000036239624,0.5,cone,256,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
86,0.6200000047683716,0.5,cone,256,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.6318267464637757
87,0.564799964427948,0.5,cone,256,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.528060257434845
88,0.3312000036239624,0.5,cone,256,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
89,0.3312000036239624,0.5,cone,256,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
90,0.3312000036239624,0.5,cone,256,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
91,0.3232000172138214,0.5,cone,256,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.3438794761896134
92,0.33119997382164,0.5,cone,256,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
93,0.3312000036239624,0.5,cone,256,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
94,0.3312000036239624,0.5,cone,256,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
95,0.3287999629974365,0.5,cone,256,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.33069679737091073
96,0.3312000036239624,0.5,cone,512,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
97,0.3312000036239624,0.5,cone,512,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
98,0.8383999466896057,0.5,cone,512,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.8489641845226288
99,0.8463999032974243,0.5,cone,512,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8585686922073364
100,0.3312000036239624,0.5,cone,512,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
101,0.3312000036239624,0.5,cone,512,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
102,0.8240000009536743,0.5,cone,512,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8483991980552673
