,layerForm,activationFn,testAccuracy,dR,valAccuracy,dropoutFn,nstart,nlayers,learningrate
0,rect,3,0.21739131212234497,0.0,0.17142858058214186,<function dropout at 0x7f1b5ef25a60>,256,2,10.0
1,rect,3,0.21739131212234497,0.0,0.15714286416769024,<function dropout at 0x7f1b5ef25a60>,256,2,1.0
2,rect,3,0.6521738767623901,0.0,0.8142857670783995,<function dropout at 0x7f1b5ef25a60>,256,2,0.1
3,rect,3,0.6956522464752197,0.0,0.5714285969734191,<function dropout at 0x7f1b5ef25a60>,256,2,0.01
4,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,3,10.0
5,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,3,1.0
6,rect,3,0.695652186870575,0.0,0.7000000238418578,<function dropout at 0x7f1b5ef25a60>,256,3,0.1
7,rect,3,0.5652173757553101,0.0,0.7428571820259094,<function dropout at 0x7f1b5ef25a60>,256,3,0.01
8,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,4,10.0
9,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,4,1.0
10,rect,3,0.695652186870575,0.0,0.7000000357627868,<function dropout at 0x7f1b5ef25a60>,256,4,0.1
11,rect,3,0.6086956858634949,0.0,0.7714286088943481,<function dropout at 0x7f1b5ef25a60>,256,4,0.01
12,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,8,10.0
13,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,8,1.0
14,rect,3,0.5652173757553101,0.0,0.5857143193483352,<function dropout at 0x7f1b5ef25a60>,256,8,0.1
15,rect,3,0.695652186870575,0.0,0.8142857670783995,<function dropout at 0x7f1b5ef25a60>,256,8,0.01
16,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,16,10.0
17,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,16,1.0
18,rect,3,0.21739131212234497,0.0,0.17142858058214186,<function dropout at 0x7f1b5ef25a60>,256,16,0.1
19,rect,3,0.6521739363670349,0.0,0.814285773038864,<function dropout at 0x7f1b5ef25a60>,256,16,0.01
20,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,32,10.0
21,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,32,1.0
22,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,256,32,0.1
23,rect,3,0.6521739363670349,0.0,0.6571428894996643,<function dropout at 0x7f1b5ef25a60>,256,32,0.01
24,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,2,10.0
25,rect,3,0.21739131212234497,0.0,0.17142858058214186,<function dropout at 0x7f1b5ef25a60>,512,2,1.0
