,learningrate,testAccuracy,activationFn,nstart,valAccuracy,dR,nlayers,dropoutFn,layerForm
0,10.0,0.021295215934515,3,256,0.03296703472733497,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
1,10.0,0.021295215934515,3,256,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
2,10.0,0.021295215934515,3,256,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
3,10.0,0.021295215934515,3,256,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
4,10.0,0.02129521779716015,3,256,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
5,10.0,0.02129521779716015,3,256,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
6,10.0,0.02129521779716015,3,256,0.03296703472733497,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
7,10.0,0.021295215934515,3,256,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
8,10.0,0.02129521779716015,3,256,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
9,10.0,0.021295215934515,3,256,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
10,10.0,0.02129521779716015,3,256,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
11,10.0,0.021295215934515,3,256,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
12,10.0,0.021295215934515,3,512,0.12271063067018992,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
13,10.0,0.021295215934515,3,512,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
14,10.0,0.021295215934515,3,512,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
15,10.0,0.021295215934515,3,512,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
16,10.0,0.021295215934515,3,512,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
17,10.0,0.021295215934515,3,512,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
18,10.0,0.021295215934515,3,512,0.03296703472733497,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
19,10.0,0.02129521779716015,3,512,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
20,10.0,0.02129521779716015,3,512,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
21,10.0,0.021295215934515,3,512,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
22,10.0,0.021295215934515,3,512,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
23,10.0,0.021295215934515,3,512,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
24,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
25,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
26,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
27,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
28,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
29,10.0,0.021295215934515,3,1024,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
30,10.0,0.02129521779716015,3,1024,0.03296703472733497,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
31,10.0,0.021295215934515,3,1024,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
32,10.0,0.02129521779716015,3,1024,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
33,10.0,0.021295215934515,3,1024,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
34,10.0,0.02129521779716015,3,1024,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
35,10.0,0.021295215934515,3,1024,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
36,1.0,0.9766628742218018,3,256,0.9816850244998933,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
37,1.0,0.021295215934515,3,256,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
38,1.0,0.021295215934515,3,256,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
39,1.0,0.021295215934515,3,256,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
40,1.0,0.021295215934515,3,256,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
41,1.0,0.021295215934515,3,256,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
42,1.0,0.9740374684333801,3,256,0.9695970892906189,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
43,1.0,0.02129521779716015,3,256,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
44,1.0,0.021295215934515,3,256,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
45,1.0,0.02129521779716015,3,256,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
46,1.0,0.021295215934515,3,256,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
47,1.0,0.021295215934515,3,256,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
48,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
49,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
50,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
51,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
52,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
53,1.0,0.021295215934515,3,512,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
54,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
55,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
56,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
57,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
58,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
59,1.0,0.021295215934515,3,512,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
60,1.0,0.021295215934515,3,1024,0.03296703472733497,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
61,1.0,0.021295215934515,3,1024,0.03296703472733497,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
62,1.0,0.021295215934515,3,1024,0.03296703472733497,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
63,1.0,0.02129521779716015,3,1024,0.03296703472733497,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
64,1.0,0.02129521779716015,3,1024,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
65,1.0,0.021295215934515,3,1024,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
66,1.0,0.02129521779716015,3,1024,0.03296703472733497,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
67,1.0,0.02129521779716015,3,1024,0.03296703472733497,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
68,1.0,0.021295215934515,3,1024,0.03296703472733497,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
69,1.0,0.021295215934515,3,1024,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
70,1.0,0.021295215934515,3,1024,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
71,1.0,0.021295215934515,3,1024,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
72,0.1,0.9734540581703186,3,256,0.9844322919845581,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
73,0.1,0.9749125838279724,3,256,0.9844322681427001,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
74,0.1,0.9708285927772522,3,256,0.9811355590820312,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
75,0.1,0.976662814617157,3,256,0.9826007604599,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
76,0.1,0.021295215934515,3,256,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
77,0.1,0.021295215934515,3,256,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
78,0.1,0.96382737159729,3,256,0.9826007664203643,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
79,0.1,0.9556593298912048,3,256,0.9719780504703522,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
80,0.1,0.9658693671226501,3,256,0.9723443448543548,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
81,0.1,0.9410735368728638,3,256,0.9531135857105256,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
82,0.1,0.021295215934515,3,256,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
83,0.1,0.021295215934515,3,256,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
84,0.1,0.9737456440925598,3,512,0.9875458419322967,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
85,0.1,0.9705368280410767,3,512,0.9816850364208222,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
86,0.1,0.9740374088287354,3,512,0.9789377570152283,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
87,0.1,0.98016357421875,3,512,0.9847985386848451,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
88,0.1,0.02129521779716015,3,512,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
89,0.1,0.021295215934515,3,512,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
90,0.1,0.9600351452827454,3,512,0.9756410479545594,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
91,0.1,0.9305719137191772,3,512,0.9512820780277251,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
92,0.1,0.9358227252960205,3,512,0.9595238268375398,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
93,0.1,0.021295215934515,3,512,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
94,0.1,0.02129521779716015,3,512,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
95,0.1,0.021295215934515,3,512,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
96,0.1,0.9784131646156311,3,1024,0.9864468991756439,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
97,0.1,0.9725788831710815,3,1024,0.9826007664203643,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
98,0.1,0.972287118434906,3,1024,0.9829670727252958,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
99,0.1,0.9740375280380249,3,1024,0.9844322681427001,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
100,0.1,0.021295215934515,3,1024,0.03296703472733497,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
101,0.1,0.021295215934515,3,1024,0.03296703472733497,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
102,0.1,0.9684948325157166,3,1024,0.9791209161281585,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
