,layerForm,nlayers,activationFn,dR,testAccuracy,valAccuracy,learningrate,dropoutFn,nstart
0,rect,2,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
1,rect,2,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
2,rect,2,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
3,rect,2,3,0.0,0.8175000548362732,0.7850514888763428,1.0,<function dropout at 0x7fa8b7293a60>,256
4,rect,2,3,0.0,0.009999999776482582,0.008247422380372885,1.0,<function dropout at 0x7fa8b7293a60>,512
5,rect,2,3,0.0,0.009999999776482582,0.005670102918520571,1.0,<function dropout at 0x7fa8b7293a60>,1024
6,rect,2,3,0.0,0.8199999332427979,0.7536082088947295,0.1,<function dropout at 0x7fa8b7293a60>,256
7,rect,2,3,0.0,0.8075000047683716,0.7649484097957612,0.1,<function dropout at 0x7fa8b7293a60>,512
8,rect,2,3,0.0,0.8299999237060547,0.7804123461246492,0.1,<function dropout at 0x7fa8b7293a60>,1024
9,rect,2,3,0.0,0.7374999523162842,0.6381442904472351,0.01,<function dropout at 0x7fa8b7293a60>,256
10,rect,2,3,0.0,0.7699999809265137,0.7603092491626741,0.01,<function dropout at 0x7fa8b7293a60>,512
11,rect,2,3,0.0,0.8174999952316284,0.7757731497287751,0.01,<function dropout at 0x7fa8b7293a60>,1024
12,rect,2,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
13,rect,2,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
14,rect,2,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
15,rect,2,3,0.5,0.6399999260902405,0.5706185102462769,1.0,<function dropout at 0x7fa8b7293a60>,256
16,rect,2,3,0.5,0.009999999776482582,0.00721649448387325,1.0,<function dropout at 0x7fa8b7293a60>,512
17,rect,2,3,0.5,0.009999999776482582,0.005670102918520571,1.0,<function dropout at 0x7fa8b7293a60>,1024
18,rect,2,3,0.5,0.824999988079071,0.7747422218322754,0.1,<function dropout at 0x7fa8b7293a60>,256
19,rect,2,3,0.5,0.8250000476837158,0.7798968672752381,0.1,<function dropout at 0x7fa8b7293a60>,512
20,rect,2,3,0.5,0.8375000357627869,0.7747422218322755,0.1,<function dropout at 0x7fa8b7293a60>,1024
21,rect,2,3,0.5,0.67249995470047,0.6118556439876557,0.01,<function dropout at 0x7fa8b7293a60>,256
22,rect,2,3,0.5,0.7649999856948853,0.6768040716648103,0.01,<function dropout at 0x7fa8b7293a60>,512
23,rect,2,3,0.5,0.8025000095367432,0.734536063671112,0.01,<function dropout at 0x7fa8b7293a60>,1024
24,rect,3,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
25,rect,3,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
26,rect,3,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
27,rect,3,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
28,rect,3,3,0.0,0.009999999776482582,0.005670102918520571,1.0,<function dropout at 0x7fa8b7293a60>,512
29,rect,3,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
30,rect,3,3,0.0,0.8399999141693115,0.7623711109161379,0.1,<function dropout at 0x7fa8b7293a60>,256
31,rect,3,3,0.0,0.8224999904632568,0.7716494202613832,0.1,<function dropout at 0x7fa8b7293a60>,512
32,rect,3,3,0.0,0.7999999523162842,0.7804123222827912,0.1,<function dropout at 0x7fa8b7293a60>,1024
33,rect,3,3,0.0,0.7549999952316284,0.7345360338687897,0.01,<function dropout at 0x7fa8b7293a60>,256
34,rect,3,3,0.0,0.8075000047683716,0.7618556141853333,0.01,<function dropout at 0x7fa8b7293a60>,512
35,rect,3,3,0.0,0.7649999856948853,0.7587628543376923,0.01,<function dropout at 0x7fa8b7293a60>,1024
36,rect,3,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
37,rect,3,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
38,rect,3,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
39,rect,3,3,0.5,0.019999999552965164,0.07474226327612996,1.0,<function dropout at 0x7fa8b7293a60>,256
40,rect,3,3,0.5,0.009999999776482582,0.006185566773638131,1.0,<function dropout at 0x7fa8b7293a60>,512
41,rect,3,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
42,rect,3,3,0.5,0.8350000381469727,0.7654638588428498,0.1,<function dropout at 0x7fa8b7293a60>,256
43,rect,3,3,0.5,0.8149999380111694,0.7716494381427766,0.1,<function dropout at 0x7fa8b7293a60>,512
44,rect,3,3,0.5,0.8425000309944153,0.7860824465751648,0.1,<function dropout at 0x7fa8b7293a60>,1024
45,rect,3,3,0.5,0.684999942779541,0.5757731437683107,0.01,<function dropout at 0x7fa8b7293a60>,256
46,rect,3,3,0.5,0.7825000286102295,0.6819587349891663,0.01,<function dropout at 0x7fa8b7293a60>,512
47,rect,3,3,0.5,0.8274999856948853,0.7304123342037201,0.01,<function dropout at 0x7fa8b7293a60>,1024
48,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
49,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
50,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
51,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
52,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
53,rect,4,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
54,rect,4,3,0.0,0.8225001096725464,0.767010271549225,0.1,<function dropout at 0x7fa8b7293a60>,256
55,rect,4,3,0.0,0.8274999856948853,0.7943298578262329,0.1,<function dropout at 0x7fa8b7293a60>,512
56,rect,4,3,0.0,0.8374999761581421,0.7907215833663941,0.1,<function dropout at 0x7fa8b7293a60>,1024
57,rect,4,3,0.0,0.7649999856948853,0.7360824227333068,0.01,<function dropout at 0x7fa8b7293a60>,256
58,rect,4,3,0.0,0.7975000143051147,0.7608247041702272,0.01,<function dropout at 0x7fa8b7293a60>,512
59,rect,4,3,0.0,0.8224999904632568,0.7561855196952819,0.01,<function dropout at 0x7fa8b7293a60>,1024
60,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
61,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
62,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
63,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
64,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
65,rect,4,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
66,rect,4,3,0.5,0.7999999523162842,0.7561855256557464,0.1,<function dropout at 0x7fa8b7293a60>,256
67,rect,4,3,0.5,0.809999942779541,0.7711339712142945,0.1,<function dropout at 0x7fa8b7293a60>,512
68,rect,4,3,0.5,0.8125,0.7685566425323488,0.1,<function dropout at 0x7fa8b7293a60>,1024
69,rect,4,3,0.5,0.6049999594688416,0.4860824316740036,0.01,<function dropout at 0x7fa8b7293a60>,256
70,rect,4,3,0.5,0.7074999809265137,0.606700998544693,0.01,<function dropout at 0x7fa8b7293a60>,512
71,rect,4,3,0.5,0.7975000143051147,0.732474160194397,0.01,<function dropout at 0x7fa8b7293a60>,1024
72,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
73,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
74,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
75,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
76,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
77,rect,8,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
78,rect,8,3,0.0,0.7850000262260437,0.7097937583923339,0.1,<function dropout at 0x7fa8b7293a60>,256
79,rect,8,3,0.0,0.8125,0.7345360159873964,0.1,<function dropout at 0x7fa8b7293a60>,512
80,rect,8,3,0.0,0.8374999761581421,0.7938143789768219,0.1,<function dropout at 0x7fa8b7293a60>,1024
81,rect,8,3,0.0,0.747499942779541,0.7293814003467561,0.01,<function dropout at 0x7fa8b7293a60>,256
82,rect,8,3,0.0,0.8125,0.7536081850528716,0.01,<function dropout at 0x7fa8b7293a60>,512
83,rect,8,3,0.0,0.8075000047683716,0.7778349936008455,0.01,<function dropout at 0x7fa8b7293a60>,1024
84,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
85,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
86,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
87,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
88,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
89,rect,8,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
90,rect,8,3,0.5,0.01249999925494194,0.009793814178556206,0.1,<function dropout at 0x7fa8b7293a60>,256
91,rect,8,3,0.5,0.017500000074505806,0.013402061304077508,0.1,<function dropout at 0x7fa8b7293a60>,512
92,rect,8,3,0.5,0.5849999785423279,0.5025772809982301,0.1,<function dropout at 0x7fa8b7293a60>,1024
93,rect,8,3,0.5,0.06499999761581421,0.052577318251132966,0.01,<function dropout at 0x7fa8b7293a60>,256
94,rect,8,3,0.5,0.12999999523162842,0.11288659200072289,0.01,<function dropout at 0x7fa8b7293a60>,512
95,rect,8,3,0.5,0.24249999225139618,0.1649484485387802,0.01,<function dropout at 0x7fa8b7293a60>,1024
96,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
97,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
98,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
99,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
100,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
101,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
102,rect,16,3,0.0,0.7824999690055847,0.7056699991226195,0.1,<function dropout at 0x7fa8b7293a60>,256
103,rect,16,3,0.0,0.8075000047683716,0.7505154073238371,0.1,<function dropout at 0x7fa8b7293a60>,512
104,rect,16,3,0.0,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,1024
105,rect,16,3,0.0,0.7199999690055847,0.6747422397136689,0.01,<function dropout at 0x7fa8b7293a60>,256
106,rect,16,3,0.0,0.7925000190734863,0.6932989180088043,0.01,<function dropout at 0x7fa8b7293a60>,512
107,rect,16,3,0.0,0.8149999380111694,0.7649484157562257,0.01,<function dropout at 0x7fa8b7293a60>,1024
108,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
109,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
110,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
111,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
112,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
113,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
114,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,256
115,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,512
116,rect,16,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,1024
117,rect,16,3,0.5,0.014999999664723873,0.023711338918656115,0.01,<function dropout at 0x7fa8b7293a60>,256
118,rect,16,3,0.5,0.01249999925494194,0.01855669999495149,0.01,<function dropout at 0x7fa8b7293a60>,512
119,rect,16,3,0.5,0.007499999832361937,0.01288659749552608,0.01,<function dropout at 0x7fa8b7293a60>,1024
120,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
121,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
122,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
123,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
124,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
125,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
126,rect,32,3,0.0,0.7149999737739563,0.6798968672752381,0.1,<function dropout at 0x7fa8b7293a60>,256
127,rect,32,3,0.0,0.009999999776482582,0.0067010305821895615,0.1,<function dropout at 0x7fa8b7293a60>,512
128,rect,32,3,0.0,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,1024
129,rect,32,3,0.0,0.6025000214576721,0.5499999880790711,0.01,<function dropout at 0x7fa8b7293a60>,256
130,rect,32,3,0.0,0.6949999332427979,0.6185566484928132,0.01,<function dropout at 0x7fa8b7293a60>,512
131,rect,32,3,0.0,0.7524999380111694,0.6659793257713319,0.01,<function dropout at 0x7fa8b7293a60>,1024
132,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,256
133,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,512
134,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,10.0,<function dropout at 0x7fa8b7293a60>,1024
135,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,256
136,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,512
137,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,1.0,<function dropout at 0x7fa8b7293a60>,1024
138,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,256
139,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,512
140,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.1,<function dropout at 0x7fa8b7293a60>,1024
141,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.01,<function dropout at 0x7fa8b7293a60>,256
142,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.01,<function dropout at 0x7fa8b7293a60>,512
143,rect,32,3,0.5,0.009999999776482582,0.0051546390168368825,0.01,<function dropout at 0x7fa8b7293a60>,1024
