,nstart,valAccuracy,dR,nlayers,testAccuracy,layerForm,activationFn,learningrate,dropoutFn
0,256,0.6464880108833314,0.0,2,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
1,256,0.6464880108833314,0.0,2,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
2,256,0.8614140272140502,0.0,2,0.8586751818656921,rect,3,0.1,<function dropout at 0x7f17eb106a60>
3,256,0.8628927826881407,0.0,2,0.8609884977340698,rect,3,0.01,<function dropout at 0x7f17eb106a60>
4,256,0.6464880108833314,0.0,3,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
5,256,0.6464880108833314,0.0,3,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
6,256,0.8737984716892242,0.0,3,0.863722562789917,rect,3,0.1,<function dropout at 0x7f17eb106a60>
7,256,0.8632624566555024,0.0,3,0.8654049634933472,rect,3,0.01,<function dropout at 0x7f17eb106a60>
8,256,0.6464880108833314,0.0,4,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
9,256,0.6464880108833314,0.0,4,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
10,256,0.8738909125328064,0.0,4,0.8620400428771973,rect,3,0.1,<function dropout at 0x7f17eb106a60>
11,256,0.8630776166915893,0.0,4,0.8544690608978271,rect,3,0.01,<function dropout at 0x7f17eb106a60>
12,256,0.6464880108833314,0.0,8,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
13,256,0.6464880108833314,0.0,8,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
14,256,0.8652032911777496,0.0,8,0.8593060970306396,rect,3,0.1,<function dropout at 0x7f17eb106a60>
15,256,0.8711644649505617,0.0,8,0.87108314037323,rect,3,0.01,<function dropout at 0x7f17eb106a60>
16,256,0.6464880108833314,0.0,16,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
17,256,0.6464880108833314,0.0,16,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
18,256,0.6464880108833314,0.0,16,0.6483702063560486,rect,3,0.1,<function dropout at 0x7f17eb106a60>
19,256,0.8660350799560547,0.0,16,0.8618297576904297,rect,3,0.01,<function dropout at 0x7f17eb106a60>
20,256,0.6464880108833314,0.0,32,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
21,256,0.6464880108833314,0.0,32,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
22,256,0.6464880108833314,0.0,32,0.6483701467514038,rect,3,0.1,<function dropout at 0x7f17eb106a60>
23,256,0.8555452287197113,0.0,32,0.8609884977340698,rect,3,0.01,<function dropout at 0x7f17eb106a60>
24,256,0.6464880108833314,0.5,2,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
25,256,0.6464880108833314,0.5,2,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
26,256,0.8570240199565887,0.5,2,0.8614091277122498,rect,3,0.1,<function dropout at 0x7f17eb106a60>
27,256,0.835536003112793,0.5,2,0.8393271565437317,rect,3,0.01,<function dropout at 0x7f17eb106a60>
28,256,0.6464880108833314,0.5,3,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
29,256,0.6464880108833314,0.5,3,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
30,256,0.8540203273296357,0.5,3,0.8580442070960999,rect,3,0.1,<function dropout at 0x7f17eb106a60>
31,256,0.8285119891166688,0.5,3,0.8307046294212341,rect,3,0.01,<function dropout at 0x7f17eb106a60>
32,256,0.6464880108833314,0.5,4,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
33,256,0.6464880108833314,0.5,4,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
34,256,0.8556838750839232,0.5,4,0.8622503280639648,rect,3,0.1,<function dropout at 0x7f17eb106a60>
35,256,0.8275415778160095,0.5,4,0.8317561149597168,rect,3,0.01,<function dropout at 0x7f17eb106a60>
36,256,0.6464880108833314,0.5,8,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
37,256,0.6464880108833314,0.5,8,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
38,256,0.8523105025291443,0.5,8,0.8622503876686096,rect,3,0.1,<function dropout at 0x7f17eb106a60>
39,256,0.8252310335636139,0.5,8,0.8296530842781067,rect,3,0.01,<function dropout at 0x7f17eb106a60>
40,256,0.6464880108833314,0.5,16,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
41,256,0.6464880108833314,0.5,16,0.6483702063560486,rect,3,1.0,<function dropout at 0x7f17eb106a60>
42,256,0.6464880108833314,0.5,16,0.6483701467514038,rect,3,0.1,<function dropout at 0x7f17eb106a60>
43,256,0.6493992745876314,0.5,16,0.6483701467514038,rect,3,0.01,<function dropout at 0x7f17eb106a60>
44,256,0.6464880108833314,0.5,32,0.6483701467514038,rect,3,10.0,<function dropout at 0x7f17eb106a60>
45,256,0.6464880108833314,0.5,32,0.6483701467514038,rect,3,1.0,<function dropout at 0x7f17eb106a60>
46,256,0.6464880108833314,0.5,32,0.6483701467514038,rect,3,0.1,<function dropout at 0x7f17eb106a60>
